timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,2601373;541,697332426363;-140,915685819739;0,021146;210,09600;205,01980;197,84720;106,10260;76,84000;229,55500;114,15410;108,41180;130,76500
-495;-0,2459142;623,090576183806;-153,226805685543;0,01991731;207,82880;204,28330;200,00560;106,50740;76,82514;233,01980;115,55210;108,52260;131,60560
-490;-0,2296134;664,884456528659;-152,666363380598;0,01878023;206,45920;205,01160;201,32990;106,35510;77,06769;234,67630;114,48940;108,72510;131,60410
-485;-0,2125174;681,050465746989;-144,73508446339;0,01769817;205,49290;206,28450;201,81740;106,42660;77,00977;234,50910;115,25570;109,24620;131,94210
-480;-0,1957293;681,795436953493;-133,447317353255;0,01672608;204,72740;203,99370;203,49220;106,37880;76,78336;234,17360;115,75590;108,98350;131,77610
-475;-0,1796465;674,003340593505;-121,082335783679;0,01582748;204,23080;203,78110;203,98780;105,83930;77,20377;231,87000;113,70140;108,91360;132,10570
-470;-0,1659578;662,532050482992;-109,952334788039;0,01500219;203,59900;205,46930;202,31180;105,91230;77,03294;231,70060;114,66390;109,64640;129,77750
-465;-0,1570827;650,283905053437;-102,148377358043;0,01421356;204,06470;204,57310;202,31330;106,45600;77,53194;230,56460;115,00910;108,94970;130,60360
-460;-0,1463352;638,933312370069;-93,4984619800113;0,01347995;203,45260;204,10090;200,15250;106,84350;77,56911;228,42090;115,56320;108,24740;128,77140
-455;-0,1349037;629,187626188203;-84,8797621253286;0,01280141;204,38930;205,00500;200,15280;106,26020;76,91748;226,58520;115,92550;108,45130;128,76970
-450;-0,1235235;621,15645117516;-76,7274392527384;0,01219612;206,84130;203,17010;200,50750;107,17590;77,65524;225,12450;115,47700;108,23730;129,27080
-445;-0,1122972;614,571773115008;-69,0147073771845;0,01162761;206,81740;204,23400;199,16760;107,03260;77,86723;222,81570;115,41730;109,06930;126,10530
-440;-0,1015497;608,944597838131;-61,8381632392882;0,01111406;207,78860;204,92250;197,33330;107,39120;77,55157;220,33430;116,86880;108,35360;126,93250
-435;-0,09008403;603,740881618976;-54,3874111361742;0,01067394;205,71320;204,84160;195,66930;107,79130;77,28348;217,35960;117,18410;108,89720;124,60230
-430;-0,07915698;598,449593040375;-47,3714624029255;0,01027048;206,45070;202,68100;194,51890;107,17200;77,25318;214,71470;116,67960;109,90570;123,94090
-425;-0,07093177;592,654967448186;-42,0380641284078;0,009922028;210,35840;205,25180;192,68940;107,49560;77,58629;211,09860;116,24810;108,92670;123,59990
-420;-0,06516899;586,071011489306;-38,1936553273831;0,009591877;211,56700;204,09350;192,03460;108,35640;77,68249;208,13250;115,71980;110,01520;120,94220
-415;-0,05954301;578,554892851547;-34,4489005313716;0,009298384;214,69830;204,45440;190,54690;106,76420;78,03330;205,16190;116,97340;109,53020;122,43350
-410;-0,05330998;570,105358385341;-30,3923031039152;0,009023309;218,12490;202,56980;190,57090;107,03470;78,39289;201,21330;116,90790;109,82760;122,10380
-405;-0,04883827;560,847097164483;-27,3907989788157;0,00878495;219,48970;203,31560;187,24560;107,62600;78,69769;197,09500;116,55610;109,92920;121,27390
-400;-0,04559777;551,009590023609;-25,1248086718408;0,00856483;222,89920;202,77060;187,75530;106,17230;78,14462;194,10790;116,90900;109,39650;122,10460
-395;-0,0442212;540,89911544754;-23,9192095264034;0,008326411;226,08750;202,52830;185,93930;106,77680;78,86886;190,00040;117,71430;109,49420;121,26830
-390;-0,04316954;530,869287691962;-22,9173821864586;0,00812465;229,26770;203,24800;182,95070;106,80990;79,06708;188,18520;116,96990;109,74400;122,43810
-385;-0,04256248;521,291026557628;-22,187439122864;0,007904589;232,60390;203,33750;181,13440;107,63780;79,12592;183,73450;117,22060;110,98950;121,77620
-380;-0,04150227;512,524935308883;-21,2709463314024;0,007702827;237,47010;202,53340;180,98540;107,86280;79,54936;180,77050;116,74010;111,18340;122,27650
-375;-0,04230598;504,89649143101;-21,3601393599698;0,007482708;239,83560;205,00390;179,98160;107,40650;79,54867;176,81020;116,98850;111,05110;123,61080
-370;-0,04210078;498,675641084426;-20,9946305980171;0,007281065;242,20740;203,46690;177,83370;107,03390;80,44179;174,84380;116,26200;111,37520;122,77930
-365;-0,04358849;494,061297639244;-21,5353880539421;0,007060945;247,29640;205,98320;176,83290;108,79670;80,60428;172,87300;117,55700;112,06840;125,78760
-360;-0,04294724;491,171142994047;-21,094442621999;0,006840885;254,09740;204,69300;176,53700;109,16840;80,39230;169,73440;117,26540;113,02550;127,28880
-355;-0,04444351;490,03682424168;-21,7789542366149;0,006620765;257,70300;204,69660;177,71290;108,66970;80,87049;167,09780;115,90200;112,32900;128,78710
-350;-0,04568327;490,604386627076;-22,4124144313679;0,006400764;261,46480;205,28070;178,38930;109,35240;81,20549;164,79550;116,91450;113,31430;130,46070
-345;-0,04900072;492,7395703019;-24,1445934266684;0,006143928;265,48470;205,99690;179,22730;108,83640;81,22071;163,47780;117,71630;114,20980;133,13310
-340;-0,05293377;496,237413912118;-26,2677178959465;0,005887151;272,25920;205,30110;179,59760;108,93500;81,30017;163,31140;114,83580;114,13170;136,47250
-335;-0,05459249;503,135345061262;-27,467412581014;0,005612135;276,44210;205,87980;180,27760;108,81170;81,57144;160,50710;115,23350;114,37620;139,63930
-330;-0,05412224;508,064264407089;-27,4975741578572;0,005337;278,27830;206,25500;181,11350;108,82320;82,06058;160,51790;116,03770;115,12560;141,48340
-325;-0,05284827;513,593622590378;-27,1425346388039;0,005080283;282,65730;207,74800;183,29080;109,67850;82,48266;159,70300;115,84290;114,34140;146,14670
-320;-0,04994123;519,533444872222;-25,9461402966293;0,004823506;285,95410;207,45790;184,13510;108,94910;82,09633;158,20780;114,82760;115,61090;148,65060
-315;-0,04875277;524,606674987425;-25,5760257698391;0,004585087;288,71180;208,47710;184,97760;109,39280;82,31992;159,70050;114,93760;115,37720;152,16130
-310;-0,04755575;529,115415044152;-25,1624788168947;0,004346669;291,22260;210,63820;185,63930;109,85520;82,49698;159,04670;113,06940;115,00920;156,31970
-305;-0,04695724;532,266685800914;-24,993773910208;0,004108191;294,81760;210,81360;184,65080;109,47310;82,59779;157,88810;113,27250;114,56340;160,15510
-300;-0,04525577;535,885721118497;-24,2519190469259;0,00388813;297,55940;211,21960;185,15900;109,49000;82,99323;158,72050;113,24200;114,64820;163,48870
-295;-0,04200672;538,748394597026;-22,6310548059342;0,00366801;302,03830;211,06050;183,34660;109,10990;83,09888;157,56330;111,52640;115,61670;163,49160
-290;-0,03877478;541,032760404433;-20,9784260577677;0,003484666;304,46580;214,33230;182,50020;108,45950;82,94041;157,22940;113,16390;115,05820;165,65890
-285;-0,03586774;542,940604160921;-19,4740523610311;0,003301203;307,58230;215,06470;182,17730;109,04470;83,21078;156,41340;113,04190;115,63300;166,65860
-280;-0,0327555;545,348765823618;-17,863170078747;0,003136158;309,95220;215,46190;180,17930;108,66050;83,99171;155,26780;113,01850;115,94900;169,16810
-275;-0,029344;546,826144701337;-16,0460667310506;0,002989471;313,53980;217,21400;179,01570;110,13460;83,59397;154,43970;112,08070;115,78930;170,99700
-270;-0,02580425;546,973469000873;-14,1142413935581;0,002861083;314,40300;217,49710;178,52310;108,34180;83,59297;154,43510;112,83680;114,95220;173,15650
-265;-0,02329052;545,845244290825;-12,713018538575;0,002751052;315,53740;217,38340;176,69150;109,51340;83,69812;153,61190;111,75860;114,76360;174,82910
-260;-0,01965672;544,64564834551;-10,7059459104614;0,002641022;317,91980;219,40160;175,36480;107,94090;83,87579;153,28010;112,07350;116,34970;172,66990
-255;-0,01552701;542,916827525307;-8,4298760678667;0,002567649;319,75050;220,31830;174,36130;109,01740;84,06664;152,62690;111,48790;115,36520;174,83380
-250;-0,01203001;540,761211195094;-6,50536509263135;0,002512574;321,19900;222,00300;173,86510;107,98310;82,78030;152,76720;112,17870;115,21290;176,66490
-245;-0,01010624;536,591809200507;-5,4229244343689;0,002457678;323,32110;223,54070;171,85360;108,90070;83,97662;152,79050;111,38230;116,10730;176,66890
-240;-0,0112605;533,317018638446;-6,00541805038188;0,002402604;326,07030;224,02300;170,69300;108,63790;83,04794;152,27810;112,17050;116,50270;175,84550
-235;-0,0110895;529,56459760097;-5,87260721393393;0,002347529;328,26570;224,35400;167,54640;107,94640;84,02329;151,13720;112,59890;115,55010;176,83160
-230;-0,01027724;526,299933439045;-5,40891084551722;0,002292633;327,72030;226,34800;165,53160;107,90940;83,47006;152,44630;111,96170;116,28480;176,17150
-225;-0,008362014;522,950997884099;-4,37292371786755;0,002255857;329,80030;227,10140;164,20250;108,29150;83,77701;150,63700;111,85980;115,38720;178,00100
-220;-0,006780243;520,139452666203;-3,52667180647663;0,002219141;329,08530;227,43500;163,70210;108,15310;83,44810;149,97180;112,01590;115,81920;177,33530
-215;-0,003668;516,551333082756;-1,89471043863946;0,002200842;332,93350;228,20330;162,37480;107,12490;84,08923;148,82200;111,75550;115,32200;176,49950
-210;-0,00294124;514,157851581406;-1,51226176675515;0,002182484;329,76560;228,63660;163,36390;107,61940;83,12148;148,97240;111,12200;115,71210;177,50470
-205;-0,002607786;511,393456070584;-1,33360454509262;0,002182484;334,31010;230,26830;161,70470;108,00870;83,63895;149,31320;112,54350;115,52170;177,33350
-200;-0,004086956;510,172615663044;-2,08505301198558;0,002145886;332,42180;230,31370;160,36300;107,00470;83,64667;148,97980;110,70340;115,52570;177,33260
-195;-0,005762779;508,410830174714;-2,92985919494682;0,002127469;335,87660;230,86520;158,71250;108,68210;83,27969;149,63630;111,01040;115,94870;176,00240
-190;-0,00652374;506,53846845492;-3,30452497142282;0,002090812;335,65760;230,64450;159,37630;108,72840;83,24120;151,28870;110,95550;115,36680;174,83140
-185;-0,007207748;503,630021858875;-3,63003859348678;0,002054095;333,97940;232,06040;157,36390;107,45360;82,93164;149,62930;110,83880;116,25880;174,17330
-180;-0,008746769;501,312006959047;-4,38486063890576;0,002017438;333,73100;231,92770;157,19930;106,48190;83,70050;150,13270;111,43380;115,22970;173,66410
