timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,01510236;497,07898330366;-7,50706415617377;0,004199833;251,83410;95,28680;116,61420;134,65490;142,26440;211,19230;138,26440;24,46922;217,11310
-495;-0,01328546;515,315536921897;-6,84620235958052;0,004126489;251,83430;95,28691;115,11780;134,49930;142,27040;210,69350;138,09950;24,45554;214,65170
-490;-0,008548692;521,969868343618;-4,46215966420704;0,004089803;251,83450;95,28706;114,62070;134,35970;142,27410;211,85410;137,93890;24,44005;213,02130
-485;-0,0036509;521,478012148367;-1,903864068803;0,004071444;251,83460;95,28722;111,94960;134,23950;142,27450;210,52310;137,79000;24,42257;209,90720
-480;-0,0002992541;517,089970003601;-0,154741292277446;0,004071444;251,83480;95,28739;109,11840;134,14090;142,27050;211,68930;137,66000;24,40328;206,63440
-475;0,0001710023;510,843851101637;0,0873554946301938;0,004071444;251,83490;95,28755;106,29200;134,06560;142,26150;209,68660;137,55540;24,38269;202,36100
-470;0,0002137529;504,307776032975;0,107797263112324;0,004071444;251,83490;95,28769;104,79350;134,01430;142,24730;209,01380;137,48170;24,36169;199,40040
-465;-0,0001282518;498,348857033763;-0,0639141160415696;0,004071444;251,83490;95,28778;100,78580;133,98690;142,22800;205,67520;137,44330;24,34146;196,94670
-460;0,00000;493,463516841344;0,00000;0,004071444;251,83480;95,28782;98,78362;133,98260;142,20450;203,50890;137,44270;24,32342;193,99610
-455;0,00000;489,822814035996;0,00000;0,004071444;251,83470;95,28779;97,78432;134,00000;142,17810;201,83860;137,48110;24,30909;190,36540
-450;0,00000;487,417737020577;0,00000;0,004071444;251,83440;95,28768;96,96042;134,03730;142,15040;200,49760;137,55790;24,29992;190,05320
-445;0,00000;486,107953078098;0,00000;0,004071444;251,83420;95,28751;95,60822;134,09210;142,12320;199,83580;137,67100;24,29710;188,74000
-440;0,00000;485,667079425656;0,00000;0,004071444;251,83390;95,28728;97,28632;134,16190;142,09850;198,83060;137,81710;24,30138;187,10270
-435;0,00000;485,856196324005;0,00000;0,004071444;251,83360;95,28702;96,29001;134,24400;142,07770;197,66300;137,99150;24,31290;186,44160
-430;0,00000;486,433999127069;0,00000;0,004071444;251,83340;95,28674;96,28162;134,33600;142,06180;197,49670;138,18910;24,33110;186,26700
-425;-0,0001282518;487,185489111876;-0,0624823945021222;0,004071444;251,83320;95,28646;97,28001;134,43530;142,05150;197,16320;138,40410;24,35463;187,09770
-420;0,0004702564;487,934810938446;0,229454486588169;0,004071444;251,83310;95,28623;97,44701;134,54000;142,04660;196,32770;138,63090;24,38147;187,91550
-415;-0,0003847553;488,55036847815;-0,187972328032938;0,004071444;251,83310;95,28607;97,79240;134,64830;142,04610;197,32250;138,86410;24,40903;187,24820
-410;-0,0008122611;488,946810980493;-0,397152485123388;0,004071444;251,83320;95,28600;100,10970;134,75900;142,04860;196,82640;139,09890;24,43440;187,91250
-405;-0,00144497;489,080886029099;-0,706707102666272;0,004053116;251,83350;95,28604;100,12200;134,87140;142,05200;196,31770;139,33160;24,45459;187,91360
-400;-0,002094779;488,947346723672;-1,02423647863423;0,004053116;251,83380;95,28619;100,28360;134,98500;142,05420;196,48760;139,55930;24,46690;188,40430
-395;-0,003325996;488,571211459217;-1,6249856704357;0,004034817;251,83420;95,28646;100,77860;135,09990;142,05280;195,49450;139,78020;24,46918;187,23780
-390;-0,003026742;488,000019217378;-1,47704988227682;0,004016429;251,83470;95,28683;100,62630;135,21650;142,04550;193,15210;139,99340;24,46011;189,23050
-385;-0,002855739;487,295250859447;-1,39158810182827;0,003998071;251,83520;95,28726;99,12181;135,33520;142,03070;192,48730;140,19920;24,43940;188,89720
-380;-0,002607786;486,524707999296;-1,26875217933601;0,003998071;251,83560;95,28772;97,77861;135,45670;142,00710;191,14410;140,39830;24,40786;188,90690
-375;-0,001786974;485,755260344791;-0,86803224777317;0,003979743;251,83590;95,28817;97,44312;135,58140;141,97450;190,31430;140,59200;24,36740;187,42260
-370;-0,002641986;485,046843682278;-1,28148705508612;0,003961444;251,83610;95,28856;95,77371;135,70980;141,93330;189,81000;140,78160;24,32092;186,77010
-365;-0,003420047;484,447739199861;-1,65683395382056;0,003961444;251,83610;95,28883;95,11351;135,84190;141,88480;189,47860;140,96860;24,27203;183,96180
-360;-0,003702201;483,991283603281;-1,7918328647855;0,003924698;251,83590;95,28897;93,10651;135,97740;141,83130;188,13870;141,15370;24,22481;183,95630
-355;-0,006233035;483,694051184316;-3,01488210498544;0,003906399;251,83550;95,28893;92,60761;136,11560;141,77560;185,97200;141,33760;24,18343;183,79770
-350;-0,006267236;483,555470035543;-3,03055620241773;0,003869712;251,83490;95,28870;91,77651;136,25520;141,72060;185,96870;141,52010;24,15174;185,60950
-345;-0,005925231;483,558773557688;-2,86519747447821;0,003833026;251,83430;95,28828;92,78902;136,39470;141,66970;184,96930;141,70010;24,13298;182,97180
-340;-0,007558303;483,673133060299;-3,65574821152888;0,003814727;251,83350;95,28771;92,61691;136,53180;141,62590;183,80580;141,87640;24,12941;182,31820
-335;-0,007241949;483,934158431181;-3,50462646187653;0,003759652;251,83280;95,28702;90,60602;136,66410;141,59170;182,47050;142,04690;24,14219;183,13730
-330;-0,008276513;485,226250248702;-4,01598143841007;0,003722996;251,83210;95,28627;89,94041;136,78890;141,56900;183,63460;142,20930;24,17119;183,14510
-325;-0,00878952;485,961519737676;-4,27136851186762;0,003686339;251,83160;95,28553;89,10391;136,90340;141,55880;182,13280;142,36090;24,21509;181,66550
