timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;0,0001681523;401,46730602248;0,067507640943794;0,003924727;273,18780;215,80610;132,15650;108,51060;37,32152;138,97390;97,36642;131,80680;160,83290
-495;-0,000511582;388,89173763726;-0,198949992062572;0,003924727;273,00610;215,87830;129,15320;108,48860;37,25410;137,31740;97,28183;131,78790;158,66690
-490;0,0002622036;381,939999125378;0,10014604386493;0,003924727;272,76390;215,92740;126,80830;108,49890;37,17828;136,67380;97,21207;131,76840;155,99700
-485;0,0005685827;378,947157338578;0,21546280979027;0,003924727;272,45940;215,95360;125,81800;108,54560;37,09646;135,69130;97,16028;131,74690;154,49430
-480;-0,0006412588;378,645163038139;-0,242809560063204;0,003924727;272,09240;215,95820;124,46130;108,63150;37,01113;134,05340;97,12901;131,72240;153,15850
-475;-0,003582499;379,863117720382;-1,36085926546473;0,003906429;271,66370;215,94290;123,13460;108,75780;36,92455;135,03530;97,11995;131,69410;149,82690
-470;-0,007293249;381,921851104003;-2,78545141902838;0,003869772;271,17470;215,91050;124,13660;108,92380;36,83867;132,24520;97,13384;131,66140;147,49530
-465;-0,010833;384,239660385411;-4,16246737388823;0,003814757;270,62740;215,86440;123,46860;109,12670;36,75492;131,92250;97,17036;131,62430;145,32270
-460;-0,0109185;386,455618117602;-4,21951522475122;0,003759742;270,02420;215,80850;124,14560;109,36200;36,67426;130,92940;97,22832;131,58310;143,65990
-455;-0,01053374;388,324768264714;-4,09051354131117;0,003704727;269,36920;215,74670;123,30790;109,62370;36,59710;128,14290;97,30580;131,53860;142,82380
-450;-0,009088774;389,730160162543;-3,54216939028932;0,00366807;268,66860;215,68330;123,13370;109,90460;36,52338;128,80950;97,40053;131,49170;142,32230
-445;-0,008695469;390,636077833154;-3,39676382754219;0,003612995;267,93170;215,62210;124,79380;110,19730;36,45273;126,17090;97,51013;131,44380;142,32550
-440;-0,009217026;391,052343571664;-3,60433955685035;0,003576338;267,17160;215,56640;123,46440;110,49390;36,38454;126,66820;97,63246;131,39630;142,48990
-435;-0,01019174;391,04190706644;-3,98539705639338;0,003521323;266,40510;215,51890;124,30090;110,78770;36,31817;127,15400;97,76575;131,35060;141,49360
-430;-0,0110895;390,687110163859;-4,33252514779161;0,003466249;265,65190;215,48110;124,64240;111,07240;36,25308;128,31040;97,90867;131,30790;143,49620
-425;-0,0110895;390,083917435798;-4,32583604135503;0,003411353;264,93410;215,45350;123,96720;111,34350;36,18895;127,48040;98,06029;131,26940;143,82720
-420;-0,01019174;389,332012367673;-3,96797025589946;0,003356278;264,27390;215,43580;124,96440;111,59740;36,12577;128,48160;98,21987;131,23590;143,32570
-415;-0,00947353;388,526572427807;-3,68071789564288;0,003319502;263,69180;215,42630;123,13040;111,83200;36,06388;129,78510;98,38660;131,20770;142,49610
-410;-0,008011459;387,753548635758;-3,10647180918356;0,003264606;263,20490;215,42280;123,64160;112,04620;36,00398;130,78340;98,55931;131,18460;142,66430
-405;-0,009046024;387,084851922629;-3,50157866358503;0,00322783;262,82500;215,42270;123,97590;112,23930;35,94706;129,61240;98,73622;131,16630;143,16480
-400;-0,01232927;386,577217299605;-4,76621426585975;0,003172815;262,55820;215,42300;123,29080;112,41120;35,89438;131,09710;98,91481;131,15170;143,99910
-395;-0,01615972;386,270740814533;-6,2420273810594;0,003081143;262,40400;215,42130;123,96420;112,56140;35,84737;131,10010;99,09176;131,14000;142,48930
-390;-0,01893851;386,189116989077;-7,31384605587088;0,002989471;262,35630;215,41550;124,63310;112,68920;35,80753;130,09960;99,26303;131,13000;141,65700
-385;-0,01829725;386,340183321864;-7,06896312119695;0,002897739;262,40450;215,40450;124,30240;112,79330;35,77637;130,77260;99,42411;131,12090;141,99210
-380;-0,01548426;386,717579514822;-5,98803625636615;0,002824426;262,53450;215,38800;124,31470;112,87200;35,75528;130,76920;99,57027;131,11210;142,99470
-375;-0,01261997;387,302537882953;-4,88774747493824;0,002750993;262,73050;215,36720;125,47740;112,92320;35,74538;131,42980;99,69691;131,10370;141,99370
-370;-0,01297053;388,066116995078;-5,03342214519772;0,002696037;262,97610;215,34380;126,48480;112,94480;35,74744;128,79590;99,79987;131,09590;141,49870
-365;-0,01574077;388,971601668036;-6,12271052383738;0,002622664;263,25490;215,32050;124,98270;112,93530;35,76178;129,12620;99,87579;131,08980;141,16020
-360;-0,01888721;389,976979622751;-7,36557628519351;0,002512574;263,55090;215,30040;125,31130;112,89410;35,78809;129,79580;99,92225;131,08630;141,49540
-355;-0,02026378;391,037399845061;-7,92389464086798;0,002420902;263,84820;215,28680;123,98700;112,82200;35,82544;128,46950;99,93800;131,08670;142,82960
-350;-0,01752774;392,107528072147;-6,87275867954968;0,00232923;264,13010;215,28250;123,15890;112,72170;35,87218;128,13850;99,92309;131,09190;142,50050
-345;-0,0145865;393,143730623279;-5,73459101336374;0,002255857;264,37900;215,28960;124,33390;112,59780;35,92599;126,15740;99,87878;131,10250;142,33010
-340;-0,01604002;394,106029722066;-6,32146837783331;0,002182484;264,57560;215,30940;123,16220;112,45710;35,98392;127,32700;99,80762;131,11820;142,16780
-335;-0,01782699;396,120816635138;-7,06164324929856;0,002090812;264,69910;215,34200;124,00080;112,30770;36,04251;129,62510;99,71329;131,13800;142,66270
-330;-0,02076823;398,18449677378;-8,26958867467547;0,001980722;264,72780;215,38660;124,66550;112,15950;36,09795;127,65220;99,60043;131,16000;143,49880
-325;-0,02013553;399,352821771004;-8,04117877240082;0,00188905;264,64050;215,44110;123,49920;112,02250;36,14629;126,17360;99,47443;131,18170;142,49330
-320;-0,01598872;399,246917869362;-6,38344654761474;0,001797378;264,41850;215,50330;125,82370;111,90650;36,18367;125,67810;99,34114;131,19980;142,49510
-315;-0,01258577;398,216095838748;-5,0118569481354;0,001742303;264,04780;215,57030;126,33100;111,82000;36,20660;124,04560;99,20657;131,21090;141,33630
-310;-0,01190176;396,97935996064;-4,72475401628929;0,001687348;263,52210;215,63990;125,83090;111,76960;36,21223;124,70800;99,07655;131,21180;140,67370
-305;-0,01326123;396,720637388177;-5,26100417120455;0,001613975;262,84470;215,70990;124,48890;111,75920;36,19854;122,73330;98,95638;131,19990;141,50240
-300;-0,01509951;397,623377157801;-6,00391688517138;0,001540601;262,03000;215,77930;125,99340;111,78930;36,16460;121,41480;98,85066;131,17320;141,50530
-295;-0,01407349;397,878161557341;-5,59953535584263;0,001467228;261,10440;215,84770;128,17400;111,85740;36,11065;121,43030;98,76300;131,13140;141,49910
-290;-0,01160251;398,363588516637;-4,62201683411095;0,001412153;260,10580;215,91570;126,65870;111,95810;36,03815;119,61110;98,69598;131,07510;142,16570
-285;-0,010833;398,104540730203;-4,31266553303921;0,001357257;259,08120;215,98440;128,34970;112,08340;35,94973;120,10580;98,65110;131,00640;141,17250
-280;-0,01160251;397,413095596311;-4,61098873213305;0,001302183;258,08410;216,05520;129,17360;112,22350;35,84901;119,28000;98,62884;130,92870;142,50190
-275;-0,01381699;397,709246041092;-5,49514431588408;0,001228809;257,17050;216,12970;129,00570;112,36810;35,74033;121,42850;98,62875;130,84620;141,33780
-270;-0,01565526;397,947103670732;-6,22996709452494;0,001155496;256,39410;216,20870;131,34220;112,50690;35,62843;122,73090;98,64956;130,76380;140,17180
-265;-0,01377424;398,46912769318;-5,48860877798069;0,001082122;255,80200;216,29260;130,67180;112,63060;35,51812;121,08720;98,68926;130,68640;140,17060
-260;-0,009849735;399,384834599862;-3,93383459395065;0,001027048;255,43030;216,38110;130,67030;112,73180;35,41387;123,22760;98,74520;130,61860;141,17290
-255;-0,006318537;399,605930599101;-2,52492461200082;0,001008749;255,30050;216,47290;130,99110;112,80540;35,31953;122,56660;98,81408;130,56420;141,50910
-250;-0,006010732;399,661203806557;-2,40225646787304;0,0009720325;255,41780;216,56630;131,50080;112,84870;35,23808;122,89660;98,89198;130,52590;141,67170
-245;-0,00802001;398,64980786701;-3,19717531865762;0,0009353757;255,76970;216,65920;132,65870;112,86150;35,17147;122,72620;98,97444;130,50510;141,50920
-240;-0,009336728;397,480164558338;-3,71116399298899;0,000880301;256,32730;216,74930;133,31860;112,84570;35,12054;122,88160;99,05651;130,50140;140,67290
-235;-0,00883227;396,964880806808;-3,50610129112098;0,0008436441;257,04710;216,83470;134,47320;112,80510;35,08507;122,57490;99,13290;130,51330;141,84260
-230;-0,007336;396,997752153685;-2,91237566756;0,0008070469;257,87470;216,91420;133,64960;112,74470;35,06391;122,39490;99,19823;130,53750;144,67080
-225;-0,005583227;397,925308506187;-2,22170714195265;0,0007703304;258,74860;216,98700;132,99360;112,67010;35,05514;121,90580;99,24739;130,56970;144,17730
-220;-0,006275786;398,742432215203;-2,50242213586238;0,0007519722;259,60530;217,05340;135,15080;112,58730;35,05625;122,41610;99,27588;130,60500;144,34630
-215;-0,006138984;399,191478721818;-2,45063012332475;0,0007152557;260,38400;217,11440;133,83520;112,50200;35,06442;121,25520;99,28028;130,63770;144,84350
-210;-0,006480989;398,70293741256;-2,58398924766069;0,0006785989;261,03070;217,17160;132,15950;112,41970;35,07672;121,42250;99,25860;130,66250;142,67590
-205;-0,004950518;397,359954805954;-1,96713752277503;0,0006603003;261,50230;217,22680;132,66260;112,34530;35,09027;120,27240;99,21060;130,67460;142,17650
-200;-0,002299981;396,253999114706;-0,91137686404851;0,0006420016;261,76890;217,28180;130,84030;112,28300;35,10247;119,44990;99,13799;130,67010;143,16950
-195;-0,001923776;395,797876979596;-0,761426591470027;0,0006420016;261,81570;217,33800;132,16340;112,23640;35,11112;119,29740;99,04436;130,64640;141,84120
-190;-0,002299981;395,964010120808;-0,9107098947297;0,0006235838;261,64350;217,39610;131,32150;112,20820;35,11451;119,60940;98,93504;130,60260;142,83590
-185;-0,003197744;395,40830636906;-1,26441445393403;0,0006052256;261,26760;217,45590;131,31910;112,20030;35,11151;118,45030;98,81669;130,53920;141,50400
-180;-0,005549026;393,674147838991;-2,18450807344536;0,0005869269;260,71680;217,51630;130,49250;112,21380;35,10162;120,59920;98,69677;130,45870;142,33890
-175;-0,006224485;392,595273560092;-2,44370348050561;0,0005502105;260,03020;217,57520;131,48610;112,24840;35,08495;120,26060;98,58286;130,36470;141,83800
-170;-0,006352737;391,780427080014;-2,4888780083882;0,0005135536;259,25450;217,63000;131,00040;112,30260;35,06217;118,95070;98,48190;130,26210;141,00490
-165;-0,00507877;392,593136027646;-1,99389006075149;0,000495255;258,44010;217,67770;129,99120;112,37370;35,03447;120,59750;98,39961;130,15650;139,33910
-160;-0,003582499;393,739722706839;-1,41057218349454;0,0004768968;257,63750;217,71560;129,00690;112,45770;35,00339;120,42930;98,33979;130,05360;140,50480
-155;-0,002855739;393,959902599124;-1,12504669825418;0,0004584789;256,89420;217,74130;128,99280;112,54950;34,97073;118,78170;98,30402;129,95900;137,66950
-150;-0,004052755;393,558222973888;-1,59499524929334;0,0004401803;256,25090;217,75350;129,16430;112,64300;34,93834;118,78360;98,29152;129,87750;140,00180
