timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,1689817;1167,55588590956;-197,295534512957;0,04407096;435,89210;188,59610;447,51740;192,87850;135,93660;319,73350;180,88100;38,56325;304,95900
-495;-0,1604187;878,57253381935;-140,939476808657;0,04326397;433,48140;186,63550;444,87150;192,97770;136,05370;319,56170;180,87750;38,64081;302,45900
-490;-0,1663824;767,511655558492;-127,700443977811;0,04243875;431,49670;184,78700;442,37300;193,06960;136,14690;318,39780;180,87730;38,70445;300,29750
-485;-0,1788471;766,095276273038;-137,013886808847;0,04154009;430,00780;183,07770;441,89400;193,15030;136,21560;317,22700;180,87990;38,75286;299,79310
-480;-0,1916338;824,80654972805;-158,060778097854;0,04058641;429,06250;181,53320;440,38200;193,21630;136,26010;315,87850;180,88430;38,78526;301,45640
-475;-0,2010132;908,616974515209;-182,644038762291;0,03957766;428,68170;180,17560;440,54780;193,26520;136,28150;313,85680;180,88950;38,80155;303,12530
-470;-0,201911;994,750948827707;-200,851158656817;0,03856897;428,85590;179,02160;439,36940;193,29540;136,28190;311,86120;180,89440;38,80241;305,11850
-465;-0,1966185;1069,20567690586;-210,225596379363;0,03757864;429,54280;178,08060;439,36910;193,30630;136,26440;313,17790;180,89810;38,78929;305,94690
-460;-0,188949;1124,72544167903;-212,515777633664;0,03664327;430,66730;177,35350;438,70360;193,29810;136,23270;314,18510;180,89970;38,76439;304,78260
-455;-0,1848108;1158,84915416314;-214,167804014657;0,03572625;432,12430;176,83290;442,22110;193,27210;136,19100;315,37210;180,89840;38,73053;304,95570
-450;-0,1784067;1172,46503270698;-209,175657064241;0,03482759;433,78350;176,50280;444,40160;193,23020;136,14410;316,86660;180,89380;38,69102;305,62010
-445;-0,1662057;1168,51736669497;-194,214273367939;0,03398401;435,49640;176,33920;448,09160;193,17470;136,09650;319,19390;180,88580;38,64942;307,44760
-440;-0,145446;1151,05699896888;-167,416683929842;0,03326869;437,10550;176,31240;452,26990;193,10830;136,05250;321,18970;180,87450;38,60934;307,94670
-435;-0,1236432;1124,56886042436;-139,045337563602;0,03264517;438,45490;176,38800;457,93590;193,03370;136,01630;321,69610;180,86030;38,57422;310,44150
-430;-0,111237;1093,41431612801;-121,628143537701;0,03209502;439,40090;176,52970;460,08710;192,95350;135,99100;321,19710;180,84370;38,54707;312,60980
-425;-0,1102538;1061,48437058651;-117,032630185187;0,0315448;439,82320;176,70150;462,41640;192,87030;135,97900;319,69770;180,82540;38,53032;313,77220
-420;-0,1192912;1031,97767841173;-123,105880436748;0,03093952;439,63420;176,87000;463,74510;192,78600;135,98190;319,18410;180,80600;38,52561;314,43270
-415;-0,134784;1007,28247820952;-135,765598584829;0,03027928;438,78680;177,00670;466,56740;192,70260;136,00010;318,67640;180,78600;38,53373;313,60870
-410;-0,1491055;988,950368125052;-147,457921170468;0,02952737;437,27990;177,08960;468,07670;192,62150;136,03290;317,18370;180,76620;38,55457;313,60730
-405;-0,1539277;977,729860441817;-150,499758000825;0,0287571;435,16060;177,10460;470,41050;192,54380;136,07890;314,01820;180,74660;38,58711;313,60550
-400;-0,144497;973,653812624841;-140,690029845626;0,02802354;432,52260;177,04620;470,40510;192,47030;136,13560;310,03300;180,72770;38,62960;314,60550
-395;-0,1249685;976,154349391083;-121,988550834783;0,0273999;429,50250;176,91760;469,90370;192,40170;136,20020;308,01680;180,70950;38,67968;314,76720
-390;-0,112605;984,198707618765;-110,825727637533;0,02684975;426,27130;176,72980;472,05680;192,33820;136,26920;305,34370;180,69180;38,73460;317,09820
-385;-0,1146913;996,431046966591;-114,281930215459;0,02628124;423,02440;176,50090;473,88480;192,28020;136,33930;302,82470;180,67470;38,79148;317,92620
-380;-0,1308937;1011,31396726873;-132,374661864982;0,02562094;419,96940;176,25350;474,87320;192,22750;136,40720;301,83040;180,65810;38,84758;318,42320
-375;-0,1434795;1027,25999293725;-147,390764688581;0,02490568;417,31190;176,01340;474,04190;192,18020;136,47010;299,81990;180,64170;38,90054;318,25550
-370;-0,139974;1042,74861562267;-145,957661941941;0,02419037;415,24190;175,80660;472,71480;192,13790;136,52590;297,33490;180,62580;38,94852;318,09290
-365;-0,1177608;1056,424348463;-124,405338361054;0,02360356;413,92100;175,65710;470,04520;192,10040;136,57350;296,17410;180,61020;38,99044;315,26360
-360;-0,09264052;1067,17315578387;-98,8634723677527;0,02314502;413,47100;175,58490;469,04720;192,06710;136,61280;294,50300;180,59510;39,02596;311,93090
-355;-0,07609604;1074,17586039565;-81,7405286278272;0,02277821;413,96550;175,60370;466,70620;192,03780;136,64440;294,34500;180,58060;39,05549;309,10130
-350;-0,07774621;1076,93827201449;-83,727871184115;0,02237469;415,42450;175,72000;461,54240;192,01190;136,67020;292,51570;180,56720;39,08014;307,44580
-345;-0,09068254;1075,29880928467;-97,5108224222587;0,02193457;417,81270;175,93200;458,18950;191,98910;136,69250;290,51700;180,55480;39,10154;303,61560
-340;-0,1047475;1069,41527043167;-112,018549741847;0,02140272;421,04260;176,22980;454,86020;191,96890;136,71430;290,51520;180,54400;39,12166;301,78070
