timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,143585;450,776755875642;-64,7247653954551;0,03161818;331,24920;182,18660;246,88990;124,09470;20,70440;178,47810;137,80960;135,07800;118,05880
-495;-0,1337865;455,552750322508;-60,9468184314628;0,03093958;331,27970;183,09910;250,55280;123,65260;21,06052;177,98460;138,37480;135,16400;116,23540
-490;-0,1266301;464,269335492132;-58,7904607793679;0,03031605;330,07240;182,55500;254,88550;124,35320;20,70599;178,48430;136,14820;135,60930;115,07310
-485;-0,1218392;474,144303852862;-57,7693447376633;0,02971077;330,32890;182,18700;256,39390;124,23300;19,98784;175,65400;138,74450;135,73700;114,58080
-480;-0,1185217;483,34209291075;-57,2865351915503;0,0291056;329,94880;181,93170;258,39760;123,61640;22,13726;177,65470;138,31810;135,99740;113,58500
-475;-0,1166578;490,585737934831;-57,2306464405152;0,02853703;328,89680;181,80190;259,22450;123,66850;20,77646;175,31990;137,04070;136,13290;111,92060
-470;-0,107988;495,367655501416;-53,4937471431412;0,02798688;328,46140;181,32540;261,56940;124,28170;20,86242;173,32820;137,03170;136,53250;111,59310
-465;-0,09766798;497,512407143623;-48,591031520249;0,02749163;328,93860;181,08320;262,90450;124,42420;21,63558;172,00140;136,99180;135,63440;110,58380
-460;-0,08561232;497,152508880422;-42,562378496351;0,02708817;327,98930;181,31720;262,23260;124,39380;21,37124;171,67000;136,53870;136,14040;109,59160
-455;-0,07168418;494,598518935667;-35,4548889139888;0,026703;325,41930;181,55680;260,55000;126,10160;21,19442;169,34430;139,06650;135,32430;107,92950
-450;-0,06125304;490,289512217472;-30,0317212961047;0,02640963;326,61300;180,77200;258,73460;125,42920;21,32909;169,50700;139,26330;134,63770;108,08480
-445;-0,05259177;484,700935560176;-25,491279196584;0,02615285;325,59680;181,37390;255,21470;125,69320;20,96159;166,18190;139,25050;135,10490;105,76610
-440;-0,04439221;478,29656668616;-21,2326397384574;0,02591443;326,41170;182,86380;250,54530;124,94390;21,37830;164,19090;138,97630;136,30670;103,28230
-435;-0,04261378;471,512298992947;-20,0929217041638;0,02571273;324,28490;182,93180;245,52600;125,14290;20,72839;161,69360;138,97630;136,30670;99,96019
-430;-0,04124576;464,719941403046;-19,1677283854715;0,02551091;325,30340;185,53110;239,84470;125,43170;21,37658;161,68810;138,97630;136,30670;97,45529
-425;-0,04119446;458,218675214424;-18,8760719302802;0,02529085;322,99810;185,72300;232,83040;126,14430;20,71289;156,71070;138,97630;136,30670;94,30099
-420;-0,04197252;452,230179870078;-18,9812413644742;0,02508909;323,44470;186,38010;228,15260;126,53550;20,68107;154,38100;138,97630;136,30670;91,31199
-415;-0,04077551;446,897848292397;-18,2224862920041;0,02488738;323,59400;187,64450;222,81880;127,12880;21,10164;152,55900;138,97630;136,30670;88,16929
-410;-0,03945024;442,292857769268;-17,4485588756573;0,02468568;322,41680;188,47470;218,97000;126,61250;21,25348;150,23280;138,97630;136,30670;88,80449
-405;-0,03719301;438,421400855906;-16,3062105444967;0,02450222;324,15690;188,49260;215,47620;126,46430;20,77932;148,56340;138,97630;136,30670;87,47449
-400;-0,03202874;435,236585681756;-13,940078075262;0,02433717;322,56280;189,83560;213,62720;127,02860;21,05107;147,90340;138,97630;136,30670;85,98459
-395;-0,02708677;432,649899326692;-11,7190880380251;0,02420878;321,86710;190,37870;211,46040;126,99120;20,82080;145,74350;138,97630;136,30670;86,14259
-390;-0,02179425;430,544005391254;-9,38338254567248;0,02409875;320,93270;192,27420;210,61070;126,44620;21,21813;146,73900;138,97630;136,30670;85,99020
-385;-0,01675823;428,784758232038;-7,18567319788384;0,02400708;320,35370;194,04380;207,76390;127,02150;20,95337;146,07530;138,97630;136,30670;83,67729
-380;-0,01275677;427,233016385107;-5,4501149983034;0,02395207;318,78990;194,43220;206,42460;127,51210;21,11009;146,24530;138,97630;136,30670;82,15609
-375;-0,01044824;425,754915498662;-4,44839059100963;0,02389705;316,34590;194,57600;206,23870;127,07520;21,12036;144,91060;138,97630;136,30670;80,33019
-370;-0,0107475;424,230761568586;-4,55941867902481;0,02384198;315,04070;196,35760;205,89720;127,45810;20,55634;143,74390;138,97630;136,30670;79,32529
-365;-0,0147575;422,562151808187;-6,23596172392166;0,0237686;315,38160;195,61590;202,39950;127,63360;21,16537;142,08070;138,97630;136,30670;76,67639
-360;-0,01975077;420,677206915536;-8,30869878594622;0,02367693;314,00030;196,80420;202,39050;126,29890;20,88498;140,26320;138,97630;136,30670;76,34100
-355;-0,02328197;418,53386099124;-9,74429216616179;0,02354854;312,24220;196,54600;200,22040;127,78470;20,52823;140,09080;138,97630;136,30670;75,01260
-350;-0,0257615;416,121224716384;-10,7199078198372;0,02342021;313,28990;197,24290;204,04880;126,46970;20,75249;138,59660;138,97630;136,30670;76,31950
-345;-0,02883954;413,459107564758;-11,9239717434173;0,02329183;309,84400;197,09760;205,71010;127,41880;20,65801;137,92880;138,97630;136,30670;74,17929
-340;-0,03036146;410,595842824801;-12,4662907345246;0,02312678;312,11480;196,51450;205,71970;127,76360;19,57983;136,09880;138,97630;136,30670;72,70329
-335;-0,03215699;409,902826475159;-13,1812403795147;0,02296168;312,66380;195,74510;208,06280;128,47480;20,30240;136,43170;138,97630;136,30670;73,84019
-330;-0,03182353;405,12193779573;-12,8924115653128;0,02281493;309,41720;195,39590;210,54980;128,58170;21,44654;137,76780;138,97630;136,30670;72,86229
-325;-0,03177223;400,038985443753;-12,7101318141366;0,02264988;310,61390;195,88950;211,55270;127,16950;20,97496;137,09720;138,97630;136,30670;72,35770
-320;-0,0332685;395,637426030991;-13,1622651431437;0,02248484;308,04110;195,65050;212,70970;128,81100;21,07506;136,43640;138,97630;136,30670;73,01159
-315;-0,03569674;392,967416597296;-14,0276546850779;0,02230138;305,83630;194,80150;212,70760;126,97450;20,50623;135,10570;138,97630;136,30670;72,18769
-310;-0,03834727;393,254950648001;-15,0802552930877;0,02211803;308,03050;195,66310;210,88560;128,01110;20,30886;135,10470;138,97630;136,30670;70,68810
-305;-0,04333199;393,798043195652;-17,0640532104642;0,02189797;306,92210;196,06470;211,03610;129,41880;20,25604;135,43670;138,97630;136,30670;71,02229
-300;-0,047513;395,352056970065;-18,7843615784197;0,02165961;305,24290;195,54180;212,19760;129,23570;19,89125;135,26820;138,97630;136,30670;70,84869
-295;-0,05062524;398,228123152681;-20,1603944340005;0,02140278;305,55790;196,32020;211,36290;128,13810;20,18869;134,60730;138,97630;136,30670;69,52029
-290;-0,05276277;400,312554499682;-21,1215989581205;0,021146;302,95750;194,94840;210,69700;129,40630;21,62123;135,44890;138,97630;136,30670;68,20529
-285;-0,05454975;402,607153315444;-21,9621174365078;0,02087092;304,24490;195,21620;211,03940;129,49760;20,43020;134,27210;138,97630;136,30670;67,53659
-280;-0,05766199;404,281828828636;-23,3116938842619;0,02057749;304,18830;196,01100;211,69630;128,35300;20,69890;135,10760;138,97630;136,30670;68,36739
-275;-0,06044078;404,817393305269;-24,4674769560483;0,02028406;303,49970;196,14510;211,86570;129,57910;20,08538;135,26910;138,97630;136,30670;67,54019
-270;-0,06452773;406,242204439312;-26,2138872965384;0,01995391;303,71300;195,98320;212,02760;130,26040;20,86563;135,27740;138,97630;136,30670;67,69889
-265;-0,06747752;406,185680232344;-27,4084021356484;0,01962382;302,86770;195,97900;213,85950;129,71130;20,15955;134,77140;138,97630;136,30670;68,21369
-260;-0,07113697;405,633037376742;-28,8555050960634;0,01925701;303,32350;195,16800;213,53810;128,85670;20,72297;134,94080;138,97630;136,30670;69,85480
-255;-0,07242804;405,218814349955;-29,3492041382913;0,0189085;303,03380;195,80080;214,36230;127,81440;21,02778;136,77240;138,97630;136,30670;69,53690
-250;-0,07480497;404,67471743454;-30,2716802732763;0,01852345;302,46260;195,42090;215,69860;130,70740;20,46557;136,59770;138,97630;136,30670;71,67709
-245;-0,07455701;405,052621828532;-30,1995152207305;0,01815659;302,77170;196,15120;217,02890;129,70770;20,22790;136,93420;138,97630;136,30670;71,85769
-240;-0,07672875;406,315806494332;-31,1761029613857;0,01777142;304,33990;196,88370;216,52790;129,62580;20,63089;138,10020;138,97630;136,30670;71,35129
-235;-0,073531;408,216679615424;-30,0165818740601;0,01740474;303,01870;197,40680;216,85140;128,98260;20,01101;138,42870;138,97630;136,30670;71,34380
-230;-0,07467672;412,035010049813;-30,7694225658184;0,01701945;303,44120;196,26630;219,02720;129,59490;21,30405;139,93210;138,97630;136,30670;71,52439
-225;-0,07554884;415,970166350265;-31,4260599937145;0,01667106;302,13080;197,33820;219,35310;128,62960;20,87717;140,25660;138,97630;136,30670;73,01389
-220;-0,07829342;419,035780037839;-32,8077436778837;0,01624924;302,00360;196,68330;220,69030;128,80830;20,66631;140,42610;138,97630;136,30670;74,33789
-215;-0,07929378;421,438657949273;-33,4174651759335;0,01586407;301,55130;196,38240;221,02190;129,19290;19,93803;138,92500;138,97630;136,30670;73,18749
-210;-0,08146551;422,785161891475;-34,4424095811154;0,01546061;300,84970;197,26530;221,84820;129,77760;20,39935;142,25380;138,97630;136,30670;73,68259
-205;-0,08039675;423,563697125892;-34,0531436516234;0,01505721;302,79430;197,44450;221,35440;128,97430;20,00689;142,41760;138,97630;136,30670;74,85448
-200;-0,08261123;423,963744934572;-35,0241661094795;0,01463532;301,19640;197,71700;222,84090;129,97520;20,88150;142,75400;138,97630;136,30670;75,84660
-195;-0,08313279;423,540197945445;-35,2100769411791;0,0142318;301,30190;196,94770;224,01110;128,45310;20,87540;144,08390;138,97630;136,30670;76,17579
-190;-0,08363724;423,261433357584;-35,4004197668223;0,01380998;301,96030;196,59200;223,52210;129,40180;20,37139;143,74900;138,97630;136,30670;77,33009
-185;-0,08278223;423,589801674656;-35,065709095581;0,01338822;301,36330;198,35020;223,33980;127,89130;20,91563;145,08270;138,97630;136,30670;76,17490
-180;-0,08283354;424,108536597336;-35,1304082111479;0,01298469;301,09270;199,48240;224,16340;127,89190;21,27691;145,07930;138,97630;136,30670;76,67009
-175;-0,07975549;424,271802953449;-33,8380047377598;0,01258123;301,38570;198,83150;225,50420;128,42940;20,37297;143,74790;138,97630;136,30670;77,49478
-170;-0,07945623;423,612687617169;-33,6586687513729;0,01217771;300,81670;199,00190;224,99480;128,68040;21,11948;144,91670;138,97630;136,30670;76,67149
-165;-0,0803198;421,575322803552;-33,8608440253392;0,0117926;300,23070;199,18250;224,49440;128,71020;20,52725;145,24760;138,97630;136,30670;76,67879
-160;-0,08154246;420,517629122244;-34,2900435625266;0,01137078;299,91950;200,11540;223,15930;127,98510;20,66834;144,24600;138,97630;136,30670;77,00919
-155;-0,08133726;421,152185140628;-34,2553651516651;0,01096731;298,64090;199,94330;220,65490;128,48000;21,19139;144,41530;138,97630;136,30670;77,01538
-150;-0,08014024;424,313916578061;-34,0046206591959;0,01056385;301,68780;200,75340;222,16240;128,10850;19,82352;143,74540;138,97630;136,30670;78,00009
-145;-0,07903728;427,767320702318;-33,8095645511683;0,01017869;301,62480;202,12300;220,65070;129,05640;21,20137;145,57690;138,97630;136,30670;77,49259
-140;-0,07954174;428,388671090529;-34,0747781693641;0,009775281;302,09340;201,87540;220,31070;127,74850;20,97246;143,41710;138,97630;136,30670;77,33759
-135;-0,07907148;424,970537372913;-33,6030485010973;0,009371758;301,76610;201,62440;221,48270;128,71470;20,17166;141,25430;138,97630;136,30670;76,17799
-130;-0,07920828;419,129300241101;-33,1985113614161;0,008986652;302,08880;201,60440;220,31400;130,60540;20,92878;142,42160;138,97630;136,30670;76,67839
-125;-0,08039675;413,365357511849;-33,2332302798083;0,008583069;304,73230;201,16430;219,32850;129,06580;21,05450;141,59080;138,97630;136,30670;75,19080
-120;-0,0841075;410,994690646041;-34,5677353562116;0,008161306;305,70920;201,49140;220,16380;129,24130;20,22304;139,59620;138,97630;136,30670;76,83369
-115;-0,087519;412,453091106147;-36,0974798348446;0,007721186;303,35760;201,06080;220,32240;129,78070;20,27567;137,93790;138,97630;136,30670;76,33579
-110;-0,08820301;416,072471794515;-36,6988411926749;0,007281005;306,70010;201,04040;220,67710;128,21620;20,73358;137,43590;138,97630;136,30670;74,02390
-105;-0,08858775;421,707043648582;-37,3580808443824;0,006840885;307,49120;202,05200;221,33190;130,23130;20,20199;137,09970;138,97630;136,30670;75,17559
-100;-0,08798925;426,774177411482;-37,5515394647956;0,006400704;309,32430;199,92820;225,18550;130,14380;21,17502;138,26430;138,97630;136,30670;75,33759
-95;-0,08696324;428,64935519311;-37,2767352759675;0,005960524;310,22470;198,10080;227,86530;129,31100;20,13610;136,27400;138,97630;136,30670;75,65419
