timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,001102965;404,865805648423;-0,446552820441377;0,01100397;342,36450;233,89260;168,08240;0,00000;0,00000;89,73830;149,45020;67,70190;103,72850
-495;0,003599599;342,126770093503;1,23151923217107;0,01100397;340,94450;235,54640;167,40360;0,00000;0,00000;89,90880;147,69230;67,15628;103,38900
-490;-0,002983991;312,655438412664;-0,932961026502613;0,01100397;343,67010;236,60710;166,89720;0,00000;0,00000;89,25101;149,02400;67,66125;103,39570
-485;-0,01548426;304,901682136101;-4,72117749651791;0,0109306;342,86260;237,46030;167,56250;0,00000;0,00000;91,75100;148,02280;67,60373;105,04560
-480;-0,02930125;310,30887646805;-9,09243808369934;0,01078391;344,21020;236,97860;166,90650;0,00000;0,00000;93,58690;146,64370;67,67329;105,69990
-475;-0,04234873;322,555426224205;-13,6598120089175;0,01056385;343,22480;238,90090;166,56290;0,00000;0,00000;93,92561;146,43830;68,31335;105,87570
-470;-0,04581152;337,426207441138;-15,4580088430128;0,01034373;344,58730;241,18450;166,72090;0,00000;0,00000;96,42740;147,94800;67,71591;106,03610
-465;-0,04175022;352,111917981305;-14,7007494984067;0,01012367;345,64650;241,63770;168,38430;0,00000;0,00000;97,43130;147,40310;67,89904;107,68710
-460;-0,03502128;364,953795422878;-12,7811481380557;0,009958625;345,24550;240,21000;169,39590;0,00000;0,00000;98,77730;145,57080;68,41841;110,33130
-455;-0,029002;375,116139075972;-10,8791169178457;0,009811878;346,51080;242,10030;169,04870;142,10990;100,62270;100,10480;147,22210;67,98138;110,65920
-450;-0,02844624;382,374607318379;-10,877119631782;0,009665191;346,29140;242,34440;168,88380;142,07580;101,45000;101,11360;146,81460;67,47036;110,32060
-445;-0,03220829;386,894510285167;-12,4612109507484;0,009518445;343,03020;243,12290;171,03560;140,45180;101,18510;102,94660;146,36920;68,25051;110,99050
-440;-0,03607294;389,07439763671;-14,035058532937;0,009316742;347,33940;242,92870;169,72480;141,13470;102,08010;101,78860;146,66030;67,56356;113,29410
-435;-0,04018555;389,444802341462;-15,6500532038156;0,009133279;345,46490;245,09430;168,19870;141,13360;102,59720;101,78780;147,15960;67,86830;115,11320
-430;-0,03940749;388,566371878017;-15,312424833499;0,008931577;346,30300;244,84160;168,87570;140,66930;102,11470;102,78740;145,75260;66,82490;114,93040
-425;-0,03390121;386,971417348475;-13,1188006182011;0,008748114;346,54190;247,06620;166,86150;138,86750;101,57200;104,12270;145,67050;67,49167;116,92000
-420;-0,0293953;385,122626165299;-11,3207958103466;0,008619785;347,53660;248,00890;165,03170;139,76330;100,92520;104,79200;145,68790;66,74561;116,24840
-415;-0,02435073;383,387397122414;-9,33576404600363;0,008491397;348,38960;247,73620;165,70570;139,54830;100,21550;103,95080;145,10750;67,06592;116,08780
-410;-0,0252485;382,027992236766;-9,64563189084198;0,008363068;346,47310;248,53110;164,18380;140,65930;100,17090;104,78810;146,01460;67,37242;117,90860
-405;-0,02738602;381,200368026218;-10,4395625788167;0,00823462;346,52680;248,15210;164,69860;140,87290;101,51530;104,95740;145,41570;66,83503;118,06470
-400;-0,02690722;380,963206878711;-10,2506599910338;0,008087873;345,13970;250,44230;163,18210;139,76750;100,55960;104,12170;146,53820;67,60158;119,06690
-395;-0,02333327;381,290914764944;-8,8967634284572;0,007977903;344,21920;250,18340;163,34580;139,98490;100,97200;103,96080;145,77680;66,68702;118,72360
-390;-0,01744224;382,090916020666;-6,66452075143852;0,007886171;345,10340;252,14150;161,83800;139,76380;101,02150;103,12340;146,34880;67,03459;118,89360
-385;-0,01237202;383,222185054914;-4,74123205303207;0,007831156;343,91250;251,21210;162,67180;140,90070;101,25410;102,62100;144,19900;67,19460;119,38620
-380;-0,01014899;384,514617226819;-3,90243436881018;0,007776141;345,49550;250,71980;160,84080;139,76770;100,58090;102,78740;145,57080;67,03346;118,89160
-375;-0,01104675;385,787229745771;-4,26169525603539;0,007721066;344,89020;250,35530;160,84950;140,45360;100,81320;102,28380;145,19100;66,77642;118,55660
-370;-0,01250027;386,864729585298;-4,83591383556515;0,007666111;345,33580;251,74220;159,00980;139,53320;101,36050;100,95380;145,98740;66,96254;118,23110
-365;-0,01133746;387,591612682034;-4,39430247939193;0,007592738;344,82830;252,25770;160,33350;139,54270;100,36970;101,95040;145,19100;66,77642;118,55660
-360;-0,009772784;387,843345126785;-3,79030917086545;0,007556021;342,94790;251,55620;159,84180;140,92310;100,17810;101,61260;145,55320;67,06781;119,22130
-355;-0,00806276;387,534352671784;-3,12459665651433;0,007519364;344,17000;252,49720;159,00200;140,92310;100,17810;99,78140;146,07240;67,67959;116,59140
-350;-0,005198471;386,622715231051;-2,00984703270929;0,007482648;345,07870;250,67850;159,67420;140,23820;100,41380;101,11040;145,09760;67,10251;116,41890
-345;-0,003839002;385,111621979245;-1,4784445044043;0,007464349;342,36220;250,42330;159,84210;140,23820;100,41380;98,44760;144,69860;67,06308;116,08470
-340;-0,001923776;383,047778421402;-0,736898253520973;0,007464349;343,36650;250,09710;161,01560;140,23820;100,41380;97,11330;145,76240;66,59977;114,92960
-335;-0,002641986;382,683293665253;-1,01104397114885;0,007446051;343,57640;249,65230;162,01190;140,23820;100,41380;98,60191;145,45740;67,61835;117,08440
-330;-0,003283245;378,330092994675;-1,24215036913277;0,007427692;340,79070;248,88070;162,50900;140,23820;100,41380;97,10651;145,58500;67,30293;114,11010
-325;-0,003112243;373,857221861765;-1,16353437726234;0,007409394;341,62050;248,22390;161,01530;140,23820;100,41380;96,60681;146,43590;67,88554;113,12680
-320;-0,001539021;369,985071550171;-0,569414821676292;0,007409394;341,75470;249,49030;160,67650;140,23820;100,41380;96,26530;145,64840;68,08455;112,80010
-315;-0,00289849;366,808589971931;-1,06319091506219;0,007390976;342,39730;248,54570;162,02060;140,23820;100,41380;95,59261;146,07640;67,35468;112,46270
-310;-0,004352009;366,747756093464;-1,59608974220719;0,007372677;339,06680;248,30910;161,67340;140,23820;100,41380;93,42980;145,88090;67,45299;112,29880
-305;-0,005241222;367,90606757068;-1,92827731243136;0,00733602;339,61580;247,40580;162,51800;140,23820;100,41380;95,26080;146,40040;66,76057;110,31230
-300;-0,005677278;368,610830273209;-2,09270606544833;0,007317662;341,59300;246,36190;161,02880;140,23820;100,41380;92,75890;146,95720;67,48062;111,47640
-295;-0,007464252;368,465454908313;-2,75031901727208;0,007280946;339,83720;246,03990;162,68980;140,23820;100,41380;92,76320;147,47360;67,53469;109,82760
-290;-0,01014899;366,789036860001;-3,72253768115673;0,007225931;340,04830;246,90590;162,86280;140,23820;100,41380;92,58800;147,24030;67,23564;110,32010
