timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,7097581;359,063488028149;-254,848225735257;0,2088926;156,87540;148,92510;117,72070;130,97130;23,02683;101,07530;114,04410;132,45930;119,62820
-495;-0,7049397;337,450784780466;-237,882469615108;0,205353;154,90350;152,71770;121,03370;129,32580;23,93496;102,72400;114,03950;133,11740;119,63190
-490;-0,7067029;332,679139561669;-235,105316582692;0,2018317;154,40790;153,06060;123,85680;128,91340;24,37032;105,18860;112,93510;132,70630;120,80380
-485;-0,7110295;337,397873527;-239,899860105307;0,1982738;153,02390;154,24960;122,51930;127,67820;22,48375;105,82310;112,31160;131,94340;122,30660
-480;-0,7146303;346,511789428893;-247,627834745479;0,1946974;160,03150;155,56610;124,19740;128,80000;23,95006;108,13940;111,76960;132,21490;126,65120
-475;-0,7161005;356,443316017297;-255,249235053467;0,1911211;167,34410;156,83250;124,38180;127,16850;22,97839;106,97690;110,74390;133,43400;128,66320
-470;-0,7083983;365,18360471838;-258,695432656433;0,1875632;174,85780;156,98300;126,56030;126,95170;24,56617;108,63730;110,83790;132,92260;132,34120
-465;-0,6971252;371,592377209168;-259,046398379966;0,1840786;188,14230;156,12970;128,10800;126,25590;24,67787;108,14560;111,89140;132,41170;134,84540
-460;-0,6872666;375,29136381809;-257,925218012006;0,1806673;195,01680;156,65900;126,96270;126,62610;24,43130;106,00930;109,97530;133,80890;137,18980
-455;-0,682698;376,363725647518;-256,942757701835;0,1772377;206,01650;156,52360;127,48290;126,14250;25,24915;105,68810;111,20100;133,79120;138,19300
-450;-0,6807692;375,218855921968;-255,437441500042;0,1738266;208,29350;155,73380;126,99210;127,29040;24,31126;104,36660;111,13730;133,31010;138,69330
-445;-0,6836914;372,432696099578;-254,629025160763;0,1704153;210,00730;155,93990;124,16570;128,49300;25,12260;105,19910;110,32970;134,09970;138,85930
-440;-0,6856439;368,627481651666;-252,747188303824;0,167004;207,35200;152,76610;121,67870;127,66320;26,09225;107,34450;110,79450;133,92470;137,85750
-435;-0,6876944;364,422822760218;-250,611540694989;0,1635377;202,16920;154,18660;117,82690;128,93210;25,11141;107,33240;111,47410;133,16030;137,85650
