timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,02464999;8,45180286361431;-0,208336830569072;0,007336006;190,78690;112,37770;17,86356;109,82980;114,20940;-7,232097;95,00245;52,03810;13,22713
-495;-0,03910824;9,44675632418424;-0,369445961018081;0,007152602;194,12460;112,40620;19,02686;109,82980;114,20940;-6,906097;95,38671;51,77901;14,89272
-490;-0,04057458;10,0511815730186;-0,407822466336389;0,00695087;197,28230;112,38320;19,18696;109,82970;114,20930;-9,056697;95,72913;51,52092;13,88952
-485;-0,03383709;10,3781657858894;-0,351166904576968;0,006767467;200,18470;112,31530;18,87126;109,82970;114,20930;-9,376698;96,02057;51,27221;12,55982
-480;-0,02332472;10,5157096729899;-0,245275972495429;0,006639093;202,76810;112,21160;17,87226;109,82960;114,20920;-10,87000;96,25453;51,04160;13,72402
-475;-0,01144006;10,5254777305938;-0,120412060314885;0,006602407;204,98340;112,08360;18,37206;109,82950;114,20910;-9,218897;96,42731;50,83760;12,06372
-470;-0,005967982;10,4580253357195;-0,0624133018784863;0,00656572;206,79670;111,94380;19,53446;109,82930;114,20890;-9,388196;96,53812;50,66803;13,06262
-465;-0,011004;10,3475608286782;-0,113864562819835;0,00651072;208,19070;111,80520;19,36596;109,82920;114,20880;-8,389597;96,58887;50,53951;11,22793
-460;-0,01979352;10,2189414584221;-0,202268827548003;0,006419003;209,16440;111,67980;19,69246;109,82910;114,20870;-8,547297;96,58394;50,45694;11,06873
-455;-0,02268346;10,0883546763872;-0,22883879028781;0,006290615;209,73220;111,57790;21,04766;109,82900;114,20860;-8,550397;96,52972;50,42318;9,074225
-450;-0,01846825;9,96637332600064;-0,1840614981783;0,006198928;209,92250;111,50750;20,35986;109,82890;114,20850;-8,039297;96,43416;50,43874;7,241825
-445;-0,01228652;9,85906266004992;-0,121133548998112;0,006143913;209,77560;111,47330;22,86336;109,82890;114,20850;-5,563397;96,30627;50,50169;5,576225
-440;-0,008960523;9,76894160904572;-0,0875348217214769;0,006107226;209,34060;111,47680;22,18996;109,82890;114,20860;-6,233697;96,15565;50,60775;5,410625
-435;-0,01214972;9,6966598853339;-0,11781166639898;0,006033868;208,67230;111,51620;22,69006;109,82900;114,20870;-6,056798;95,99197;50,75052;6,417026
-430;-0,01638202;9,64132754020069;-0,157944463052356;0,005960509;207,82820;111,58640;22,69816;109,82920;114,20880;-6,875697;95,82462;50,92192;5,747825
-425;-0,01688648;9,60127338474832;-0,162131720924196;0,005868807;206,86430;111,67960;25,03136;109,82940;114,20900;-5,216897;95,66216;51,11271;3,750725
-420;-0,01433;9,57447226401469;-0,137202148498681;0,005795449;205,83260;111,78620;27,03236;109,82960;114,20920;-5,369997;95,51212;51,31318;2,921425
-415;-0,01250027;9,55882416646584;-0,119487891311304;0,005740419;204,77840;111,89560;26,68966;109,82980;114,20940;-2,743097;95,38051;51,51378;4,423525
