timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,5228596;335,622931001838;-175,483676706249;0,2347521;222,71600;209,23830;108,86310;141,23970;74,45982;149,08410;133,68660;107,68480;154,22880
-495;-0,5407849;317,253840782638;-171,566084661122;0,2320745;224,00360;209,47780;108,85080;141,24250;74,54465;146,58190;133,62400;107,75980;152,72420
-490;-0,5568377;329,167382298022;-183,292819538027;0,2292684;225,33150;209,73440;109,88070;141,24270;74,63657;145,75230;133,53930;107,84460;153,22000
-485;-0,5645086;355,050901168595;-200,429296486185;0,2264441;226,67230;209,99700;114,37770;141,24120;74,73117;144,08890;133,43650;107,93550;152,55320
-480;-0,561033;384,133151000401;-215,511379786476;0,2236379;228,00290;210,25270;115,87650;141,23900;74,82375;145,91180;133,32120;108,02880;150,89310
-475;-0,5451213;409,73214357519;-223,353700505747;0,2209053;229,30710;210,48740;119,89230;141,23770;74,90975;144,75100;133,20000;108,12100;148,57660
-470;-0,5274311;428,463756160046;-225,985088604323;0,2182827;230,57740;210,68640;120,54230;141,23920;74,98527;143,75230;133,07990;108,20920;145,58220
-465;-0,5136397;439,118533775752;-225,54870995007;0,2156969;231,81480;210,83540;121,38420;141,24520;75,04736;140,09000;132,96790;108,29180;142,77090
-460;-0,5135713;441,984893024583;-226,990751981883;0,2131476;233,02930;210,92140;121,38960;141,25760;75,09441;138,25520;132,86990;108,36830;136,17660
-455;-0,524353;438,273806913154;-229,810181689043;0,210525;234,23780;210,93300;123,04040;141,27820;75,12626;137,25390;132,79080;108,43940;133,83260
-450;-0,5409402;429,697648473965;-232,440740611341;0,2078106;235,46170;210,86150;124,53830;141,30820;75,14425;137,09200;132,73330;108,50690;132,53520
-445;-0,5515252;418,10931133342;-230,597843756263;0,2050595;236,72400;210,70090;125,87250;141,34860;75,15113;137,09860;132,69860;108,57350;134,03150
-440;-0,5511747;405,274770351663;-223,377200859883;0,2022903;238,04620;210,44870;127,21090;141,39950;75,15078;136,26630;132,68580;108,64210;133,22880
-435;-0,5389053;392,728187349463;-211,643299674813;0,1996126;239,44480;210,10580;130,03460;141,46080;75,14787;136,75860;132,69230;108,71570;134,69540
-430;-0,5243444;381,67144087117;-200,127297650139;0,1969717;240,92890;209,67650;130,54100;141,53150;75,14739;136,43030;132,71420;108,79710;132,55100
-425;-0,5108865;372,937095747707;-190,52854443305;0,1944408;242,49840;209,16830;129,72160;141,60990;75,15424;131,60040;132,74680;108,88800;131,38790
-420;-0,5055769;366,989089436723;-185,54121600263;0,1918916;244,14290;208,59170;126,04850;141,69430;75,17270;130,10090;132,78520;108,98930;129,07600
-415;-0,5088773;363,95018598474;-185,205981816994;0,1893605;245,84210;207,95950;126,37800;141,78210;75,20606;127,94180;132,82500;109,10070;128,72840
-410;-0,522224;363,652257316123;-189,907946582416;0,1867564;247,56680;207,28610;126,38700;141,87120;75,25634;127,60320;132,86230;109,22020;126,90630
-405;-0,533305;365,697085277783;-195,028075795351;0,1840786;249,28140;206,58730;128,36790;141,95920;75,32404;128,26720;132,89470;109,34510;126,08280
-400;-0,5374432;369,525666130572;-198,59907067694;0,1813825;250,94660;205,87880;127,19740;142,04430;75,40812;128,76170;132,92110;109,47150;124,91700
-395;-0,533057;374,486698983833;-199,622765552567;0,1787233;252,52220;205,17600;128,19280;142,12480;75,50609;128,75960;132,94170;109,59490;124,08090
-390;-0,5270891;379,902425610303;-200,242407093617;0,1761007;253,97130;204,49330;128,36460;142,19980;75,61417;128,09470;132,95830;109,71040;122,10200
-385;-0,5274994;385,127008271295;-203,154284284701;0,1734415;255,26260;203,84290;129,84240;142,26910;75,72755;128,25910;132,97330;109,81330;120,10810
-380;-0,5392901;389,596054634771;-210,105277396311;0,170764;256,37370;203,23520;129,00740;142,33280;75,84082;124,43470;132,98990;109,89950;118,45570
-375;-0,5574505;392,864751600348;-219,002652642661;0,1679761;257,29250;202,67800;130,00580;142,39180;75,94830;123,10640;133,01120;109,96540;115,98100
-370;-0,5787318;394,634118328957;-228,387294457319;0,1650785;258,01790;202,17640;129,00470;142,44700;76,04445;120,27630;133,04020;110,00830;111,51020
-365;-0,5877778;394,764938652323;-232,03406137448;0,1621441;258,56000;201,73330;129,00800;142,50010;76,12432;118,10690;133,07880;110,02670;112,84830
-360;-0,5781247;393,279693590755;-227,364708874517;0,1592281;258,93850;201,34980;132,35940;142,55250;76,18383;117,94230;133,12830;110,01990;114,16910
-355;-0,5521324;390,353308618987;-215,526686807887;0,1564952;259,18050;201,02530;136,02680;142,60570;76,22004;117,11600;133,18840;109,98800;116,30800
-350;-0,5239597;386,293962385236;-202,402460985274;0,1538543;259,31780;200,75890;137,53760;142,66090;76,23137;115,60980;133,25810;109,93220;118,30380
-345;-0,5067055;381,51557091704;-193,31605461567;0,1513418;259,38340;200,54920;139,54280;142,71890;76,21759;115,60600;133,33480;109,85400;119,61210
-340;-0,507629;376,503850135005;-191,12425832499;0,1487925;259,40840;200,39590;142,73020;142,77990;76,17985;113,94380;133,41550;109,75540;120,12400
-335;-0,5253363;364,855039479544;-191,671585027595;0,1461698;259,41890;200,29920;147,06740;142,84360;76,12045;113,27670;133,49660;109,63890;121,93910
-330;-0,5531498;363,998096870914;-201,345474203502;0,1434189;259,43350;200,26090;150,41310;142,90900;76,04270;114,94110;133,57410;109,50680;123,76900
-325;-0,5730459;371,0779096693;-212,644681299865;0,1405212;259,46140;200,28360;153,91830;142,97420;75,95055;115,43920;133,64450;109,36170;124,42890
-320;-0,5837336;385,801266020331;-225,205145893949;0,1376234;259,50140;200,37060;154,42620;143,03690;75,84825;115,94600;133,70450;109,20630;124,45510
-315;-0,5753202;399,364168985696;-229,762287806236;0,134744;259,54210;200,52540;157,75570;143,09430;75,74004;117,77390;133,75150;109,04300;130,24430
-310;-0,5605114;405,930125162268;-227,528467870895;0,1319196;259,56290;200,75070;160,27780;143,14320;75,62971;118,94270;133,78380;108,87410;133,07060
-305;-0,5498323;402,145101513165;-221,112372361213;0,1292053;259,53540;201,04790;163,94910;143,18050;75,52041;119,44800;133,80040;108,70180;135,71660
-300;-0,5492937;391,862348434866;-215,247511016605;0,126436;259,42640;201,41600;164,13830;143,20290;75,41428;115,78350;133,80120;108,52780;138,20500
-295;-0,5646241;381,697380544563;-215,515526234702;0,12363;259,20080;201,85130;165,16250;143,20770;75,31240;114,45300;133,78700;108,35380;140,70530
-290;-0,585683;378,364789074544;-221,601825907198;0,1206956;258,82500;202,34700;164,49150;143,19280;75,21473;112,45850;133,75920;108,18090;142,51790
-285;-0,6004405;381,929346414408;-229,325849455367;0,1176878;258,26990;202,89320;164,17100;143,15690;75,12017;109,29310;133,71980;108,01010;143,85190
-280;-0,599765;392,919562127284;-235,659412241221;0,1146985;257,51480;203,47700;165,84580;143,09970;75,02676;109,79210;133,67130;107,84210;146,50670
-275;-0,5779109;404,864782958291;-233,975780257379;0,1117824;256,54900;204,08380;166,35220;143,02180;74,93201;110,29590;133,61620;107,67750;149,31090
-270;-0,5473528;413,564573090042;-226,365733325788;0,109068;255,37390;204,69740;169,01280;142,92500;74,83321;110,63110;133,55740;107,51650;150,15140
-265;-0,5203002;417,639835195162;-217,298104491725;0,1064638;254,00380;205,30160;170,68100;142,81190;74,72778;109,46200;133,49770;107,35970;152,15140
-260;-0,5095955;417,668988985038;-212,842229038386;0,1039144;252,46500;205,88110;171,86110;142,68570;74,61372;109,62980;133,43950;107,20750;153,13780
-255;-0,5184705;417,252263240789;-216,332993506523;0,1013285;250,79520;206,42280;172,01700;142,55030;74,48986;107,78840;133,38510;107,06010;153,64510
-250;-0,5389822;419,257612716114;-225,972405513591;0,09863257;249,04030;206,91600;172,19060;142,40960;74,35607;108,63270;133,33660;106,91810;155,96860
-245;-0,5580062;426,83250453012;-238,175206629176;0,09584498;247,25250;207,35390;171,52980;142,26750;74,21339;107,29950;133,29530;106,78180;158,11110
-240;-0,5640939;437,008128947151;-246,513634922302;0,09300232;245,48650;207,73280;172,02390;142,12740;74,06397;106,80360;133,26240;106,65180;157,63160
-235;-0,5546033;446,742163259004;-247,764674345403;0,09025121;243,79640;208,05260;175,87060;141,99230;73,91093;107,46670;133,23900;106,52810;161,93520
-230;-0,5335187;450,710997394168;-240,462755887955;0,08757365;242,23220;208,31610;176,88400;141,86420;73,75811;107,80340;133,22560;106,41110;163,42840
-225;-0,5121948;446,433436488527;-228,660857455533;0,085006;240,83780;208,52850;178,73030;141,74440;73,60970;107,13660;133,22300;106,30060;164,25720
