timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,09134945;369,353954299495;-33,7402785990136;0,01366329;349,18180;208,93030;111,62740;154,55530;64,70614;99,43070;145,69080;87,21572;109,93550
-495;-0,07999916;351,880651333397;-28,1501589158459;0,01322311;349,07230;208,90730;111,78330;154,61980;64,72208;100,59310;145,65990;87,25546;109,92660
-490;-0,08194005;343,353143833877;-28,1343717008079;0,01280129;348,89810;208,84410;112,78860;154,68530;64,73659;100,58990;145,64200;87,29100;109,93490
-485;-0,08854501;340,915018880054;-30,1863235566773;0,01245284;348,67160;208,74380;111,94190;154,75000;64,74999;102,09230;145,63780;87,32146;110,92110
-480;-0,09372638;342,403108424171;-32,092204058819;0,01193929;348,40720;208,61230;111,10000;154,81230;64,76252;104,24990;145,64700;87,34597;111,23840
-475;-0,09723193;346,08074034272;-33,6500979903464;0,01142585;348,11980;208,45690;109,08490;154,87150;64,77422;105,41360;145,66870;87,36381;110,40800
-470;-0,09124685;350,842005536115;-32,0132271546126;0,01100397;347,82370;208,28600;109,25640;154,92730;64,78497;107,91890;145,70100;87,37446;111,07020
-465;-0,07331725;355,884428604884;-26,0924683826753;0,01063716;347,53220;208,10810;108,41990;154,97970;64,79451;110,08080;145,74170;87,37777;111,40150
-460;-0,06558795;360,695901332108;-23,6573034035064;0,01028872;347,25650;207,93120;108,57700;155,02950;64,80254;110,07890;145,78820;87,37403;113,55030
-455;-0,06714407;364,970413305342;-24,5055981749987;0,009976923;347,00610;207,76240;108,57580;155,07730;64,80885;111,07880;145,83750;87,36402;111,73700
-450;-0,07241949;368,574309064105;-26,6919632962188;0,009610176;346,78860;207,60730;107,56990;155,12380;64,81345;111,74530;145,88700;87,34906;110,23490
-445;-0,07847297;371,47236523984;-29,1505404205928;0,009206712;346,60960;207,47000;107,07850;155,16950;64,81676;111,91580;145,93420;87,33090;113,04980
-440;-0,07831052;373,692773796765;-29,2640745485991;0,008821487;346,47370;207,35310;107,58430;155,21460;64,81961;111,91430;145,97730;87,31167;113,71270
-435;-0,06828123;375,31103358334;-25,6266988141895;0,008473098;346,38370;207,25750;106,90850;155,25890;64,82334;115,40840;146,01510;87,29360;114,03690
-430;-0,05621701;376,417554576078;-21,161071271884;0,008197963;346,34140;207,18300;108,40340;155,30190;64,82971;116,90600;146,04720;87,27888;116,51400
-425;-0,04853901;377,105253746622;-18,3043158088424;0,007959604;346,34770;207,12810;109,06510;155,34280;64,84080;117,57410;146,07440;87,26938;117,34470
-420;-0,04371674;377,459507573595;-16,5013010861346;0,007739484;346,40230;207,09040;108,22770;155,38070;64,85877;120,40910;146,09780;87,26643;119,30980
