timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,003744951;641,930836789856;-2,40399973434287;0,005868733;341,94390;109,41060;103,71410;167,37920;129,89190;242,52230;157,85090;28,80785;251,46990
-495;-0,002885664;622,492964290114;-1,79630581328808;0,005850375;344,72490;109,71340;102,87790;167,00530;129,88170;243,35220;158,17180;29,25347;252,13720
-490;-0,005711478;613,945847576129;-3,50653822505917;0,005832076;348,05790;108,69880;100,54350;166,47850;130,25870;243,85870;158,17980;28,72016;249,47160
-485;-0,009640257;612,337929341738;-5,90309484862798;0,005777061;348,04520;109,64320;104,05620;166,41290;130,22870;244,52450;159,12260;28,62909;245,64750
-480;-0,01283373;614,874490127617;-7,89113034473492;0,005703688;352,38970;104,82180;100,90750;166,83470;130,87830;247,53060;158,53380;29,20297;247,14660
-475;-0,0144668;619,307253122313;-8,95939272599791;0,005648673;356,01990;105,81530;102,25310;166,03250;130,31270;249,00910;158,17120;28,95300;245,65030
-470;-0,01227797;624,430587613334;-7,66673866545525;0,005575359;357,32600;110,30950;102,40420;166,31810;130,29710;251,67120;158,70770;29,26452;244,81700
-465;-0,01053374;629,372043996147;-6,62964391797876;0,005520284;358,27820;109,57490;104,75450;165,66730;130,70100;253,50310;158,53590;29,80985;248,31960
-460;-0,009986537;633,694178523492;-6,32840999843909;0,005483627;359,26490;108,67930;103,42090;165,43210;130,86180;255,00350;158,11610;29,41332;248,98030
-455;-0,009165725;637,186893617984;-5,84027974986463;0,005428612;353,25630;110,81750;106,24370;165,90240;130,64050;254,83390;159,22150;29,44465;250,47220
-450;-0,01019174;639,84429667733;-6,52112601581008;0,005373657;354,85670;108,70920;103,91170;165,61050;130,96330;255,00600;158,88730;30,01475;253,64140
-445;-0,01314153;641,760420152512;-8,43371342997388;0,005318582;348,85320;110,24330;106,23800;165,93080;130,79430;255,33130;158,55260;29,71092;254,47340
-440;-0,01471475;643,061972469043;-9,46249695789381;0,005245209;343,56400;111,58530;107,05350;165,21920;130,78450;253,33300;158,23110;29,48015;256,46540
-435;-0,01521921;643,91125303811;-9,79981935828063;0,005153537;345,66350;111,96340;107,21930;165,39030;130,18070;252,48540;157,75850;28,98469;258,12270
-430;-0,01356904;644,45381299073;-8,74461652950248;0,005098462;341,42760;108,40930;106,89820;166,02110;129,89170;252,65000;157,16400;29,04959;260,28780
-425;-0,011175;644,813446912507;-7,20579173922377;0,005043447;335,55320;112,01890;108,20870;166,50950;130,38550;249,67380;157,17500;29,22349;261,45740
-420;-0,009593231;645,084763924771;-6,18844686711592;0,004988432;334,22890;112,05850;109,20110;165,83230;130,19920;252,65490;157,61150;29,50758;264,28290
-415;-0,01185901;645,329832996556;-7,6529740255855;0,004933417;331,64000;112,62190;109,20200;165,69810;130,15230;253,15460;157,77870;29,34091;265,77710
-410;-0,01211552;645,581584938084;-7,82155363007844;0,004878402;331,37870;109,98790;110,70830;165,87950;130,44700;253,99060;157,81140;29,05276;266,61150
-405;-0,01180771;645,846805436379;-7,62597273268506;0,004805028;329,06700;112,72330;111,19880;165,44890;130,41700;254,65160;157,38290;29,56548;266,44540
-400;-0,00951628;646,114342732678;-6,14860520125227;0,004768372;327,64740;109,60240;110,53530;166,08710;129,79480;257,29550;156,96130;29,68520;268,94600
-395;-0,006908495;646,361341445474;-4,46538387441499;0,004731655;326,41780;112,36920;111,52620;165,82570;130,08980;256,30520;157,53750;29,82350;269,44020
-390;-0,003539748;646,560527019546;-2,28866161858931;0,004713356;326,15060;114,37960;112,19210;165,65490;129,87750;257,12960;157,02130;29,62828;269,43490
-385;-0,003026742;646,685934623921;-1,95735111883439;0,004694998;324,73460;112,91170;111,52470;164,96710;129,84090;256,79230;156,88730;29,60483;268,77470
-380;-0,001881026;646,718324970329;-1,21649382578646;0,004694998;320,81610;113,44280;112,00920;165,54280;130,10830;256,47210;157,58390;29,30893;268,77070
-375;-0,001573222;646,648651692692;-1,01732158824747;0,00467664;319,61650;112,97660;113,01690;165,40850;129,95450;254,14060;156,94970;29,51818;267,77640
-370;-0,0008122611;646,480190064329;-0,525110724318297;0,00467664;319,00600;112,58520;112,34950;165,41150;129,95480;254,14200;157,94280;29,27496;267,27340
-365;-0,0003847553;646,229051896527;-0,248640032154517;0,00467664;316,54150;111,47810;112,33630;166,11690;130,51430;250,84060;157,44120;29,21381;266,94050
-360;0,0004702564;645,923194811279;0,303749541369593;0,00467664;317,57880;111,62330;111,67280;166,29920;129,89330;250,82350;157,28490;29,74432;266,61010
-355;-0,0001282518;645,600086916972;-0,0827993448550503;0,00467664;313,28340;111,91500;113,50350;166,38800;130,10260;248,99830;157,01340;29,52893;266,77520
-350;0,00000;645,303252372566;0,00000;0,00467664;312,93830;111,43350;111,82810;166,36440;130,02560;250,16130;156,93810;29,25110;266,60720
-345;0,00000;645,077984485544;0,00000;0,00467664;308,87320;114,43630;111,47340;165,82570;129,90130;251,81640;157,34250;29,19621;267,10850
-340;0,00000;644,966554349226;0,00000;0,00467664;308,68480;113,23090;112,15010;165,76090;129,87290;252,48080;157,33110;29,22408;265,94060
-335;0,00000;646,265322111519;0,00000;0,00467664;310,25950;112,90080;112,48950;165,78660;130,46530;251,33440;157,56840;29,53280;264,94690
-330;0,0001282518;646,145777413608;0,0828693306195054;0,00467664;308,63630;115,54320;112,47180;166,63420;130,22890;251,99590;157,27350;29,57659;265,44300
-325;-0,0004702564;646,406403000606;-0,303976773131934;0,00467664;311,71590;112,15100;111,66230;165,74160;129,89280;250,81840;157,23270;29,50225;266,10490
-320;0,0003847553;648,109772627775;0,2493636493638;0,00467664;309,01860;112,43040;110,81350;166,51310;129,85540;250,48910;157,66790;29,55076;264,77890
-315;0,0008122611;651,161122588182;0,528912863820578;0,00467664;303,97520;113,48920;110,79730;166,70210;129,64870;250,48640;156,97120;29,51947;263,27940
-310;0,001573222;656,787637842404;1,03327245966125;0,004694998;302,03790;113,73150;112,13000;166,31460;130,09580;248,00450;156,95740;29,24882;262,11520
-305;0,002009277;659,750547218449;1,32562192161056;0,004694998;301,09740;111,82800;110,29660;166,52120;129,97420;246,00690;157,17170;29,15574;262,94500
-300;0,002556485;659,675566746257;1,68645075295893;0,004713356;301,45290;114,01870;110,78920;166,36140;130,03660;249,33220;156,69360;29,70162;263,44790
-295;0,003924503;656,464580154396;2,57629766479063;0,004731655;300,83610;112,67570;109,45530;165,16700;129,91300;249,15370;156,67180;29,86402;263,78180
-290;0,007849007;650,357944608598;5,10466421744729;0,004768372;299,21010;115,31060;111,61850;165,24740;130,14040;249,32840;156,51750;29,50220;263,44750
-285;0,01036274;645,028293868122;6,68426153601897;0,004823327;297,60780;116,17610;111,27280;165,20050;130,29530;251,65820;156,84360;29,69553;265,27850
-280;0,0147575;643,381369198159;9,49470178906228;0,0048967;297,42010;116,92050;112,60640;164,88770;130,01380;250,97960;156,29800;30,02629;264,11330
-275;0,01561251;642,991208528593;10,0387089873325;0,004970074;297,53100;117,61230;111,93300;165,00120;129,89230;250,81300;156,84820;29,76423;263,78340
-270;0,01594597;644,842117601553;10,2826318423019;0,005061805;296,59460;114,84160;109,43610;165,25270;130,23260;250,15970;156,41890;29,68311;263,61220
-265;0,01433855;644,3886445446;9,23959618146087;0,00511682;296,41600;115,61440;110,76970;164,95550;130,35270;247,50120;155,84950;29,47779;262,78120
-260;0,01150846;641,869867663924;7,38693199009785;0,005190134;291,76670;115,96170;110,92470;165,26290;130,00270;245,33200;155,53560;29,38562;263,61240
-255;0,009217027;637,536545946089;5,87619103639893;0,00522691;290,55770;114,66910;110,09300;165,31490;129,84140;243,00360;155,67330;29,51055;264,27720
