timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,003437147;565,749982467474;-1,944565890189;0,001778841;0,00000;0,00000;99,67319;158,41750;26,79508;236,82440;197,02660;113,01580;159,46470
-495;-0,004181007;571,42473422906;-2,38913095511361;0,001760602;237,21350;367,93340;102,62110;158,68300;26,61296;238,46520;197,90640;113,54270;156,63650
-490;-0,003817627;572,239910457429;-2,18459868819956;0,001742244;239,98790;363,30080;102,45670;158,52630;27,07095;239,29900;197,20590;112,99290;155,30400
-485;-0,003090867;570,659573325862;-1,76383302653825;0,001723886;249,42420;363,32040;101,97200;157,85030;26,42604;239,10980;197,70640;112,94440;153,96760
-480;-0,002513734;568,361440405846;-1,42870971497491;0,001705527;252,62440;361,92990;101,63130;157,57840;26,66491;238,95290;197,92980;112,72440;154,97290
-475;-0,002265781;566,106601478346;-1,28267359496567;0,001705527;257,79270;360,70220;101,48360;159,14990;26,17168;237,47090;197,83300;112,84650;153,63370
-470;-0,002043478;564,531241379944;-1,15360716065622;0,001687169;252,50040;361,44410;100,27370;158,55830;26,61011;237,47600;197,38040;112,94430;152,80640
-465;-0,003796252;563,794682535669;-2,1403066794203;0,001668811;254,75060;358,01280;106,97880;158,46600;26,53542;236,16000;199,51120;113,63380;151,64070
-460;-0,004822266;563,90387560847;-2,71929450217391;0,001650572;248,95420;362,16640;107,97510;158,82830;26,40653;235,33870;199,25040;113,82890;152,30600
-455;-0,005454975;564,70688120258;-3,08046174467283;0,001613855;258,18810;359,84680;106,45280;159,04530;26,23663;233,85710;198,21520;113,74860;153,80670
-450;-0,005506275;566,013882500393;-3,11662831342564;0,001595497;250,41760;359,61830;110,72880;158,99620;26,38824;234,51930;197,77380;113,30610;155,79870
-445;-0,005711478;567,61127712684;-3,24189943702566;0,001558781;249,58330;360,01360;111,59360;158,29900;26,68411;235,83580;198,58040;113,76310;155,63480
-440;-0,005634527;569,277849853954;-3,20761150047462;0,001540422;253,49740;358,66680;111,77270;159,72750;26,52073;236,33130;197,40140;113,42380;156,80080
-435;-0,00511297;570,840990320624;-2,91869286283393;0,001503825;255,83390;360,33490;110,75840;158,75170;26,70034;238,62580;198,65520;113,81630;154,63860
-430;-0,004608513;572,163172328653;-2,63682147549279;0,001485467;257,38000;359,71290;111,95360;158,63040;26,42978;239,11660;198,66640;112,79710;154,63100
-425;-0,005207021;573,155512228194;-2,98443295794893;0,001467109;260,40890;359,62650;109,74160;158,11350;26,02908;240,74350;198,68640;113,50640;152,97380
-420;-0,004599963;573,776958494052;-2,63935277001068;0,001430392;272,98330;357,73560;111,33640;157,68970;26,59114;242,56110;199,51730;112,76700;151,63770
-415;-0,005420774;574,028325199882;-3,11167794823143;0,001412034;271,85830;354,04180;115,78640;158,60900;25,70595;241,72120;200,35340;113,06320;151,46920
-410;-0,003539748;573,946067104412;-2,03162471120901;0,001393795;270,95090;359,44560;115,28130;158,90690;25,84792;240,41420;198,90480;112,76880;151,63530
-405;-0,002385483;573,591811229078;-1,36829332108778;0,001375437;269,75000;359,36650;113,56160;158,56250;26,41420;241,25130;199,47310;113,26170;152,13710
-400;-0,002351282;573,044514501003;-1,34738936349;0,001375437;265,99460;359,25970;115,59150;159,13440;26,52341;241,25590;199,47090;112,91520;152,14040
-395;-0,00144497;572,390467297054;-0,827086930388088;0,001357079;271,51460;358,55160;114,58110;159,21500;26,41429;240,26900;198,19330;112,18920;154,29590
-390;-0,0008122611;571,715057596633;-0,464381913958372;0,001357079;270,05830;359,58170;114,74800;158,99190;26,37644;240,59340;198,99500;113,50650;152,97000
-385;-0,0003847553;571,094959068487;-0,219731794120589;0,001357079;267,15830;356,05770;112,85840;158,88900;26,46901;240,76200;198,36990;113,30440;155,80110
-380;0,0004702564;570,592522388018;0,268324807618835;0,001357079;268,71660;356,25440;113,55130;157,90520;26,75751;241,09310;198,54440;112,89390;156,13490
-375;-0,0001282518;570,25136384849;-0,0731357388051688;0,001357079;270,23810;358,03960;114,23940;158,88430;26,57661;240,76280;197,77170;112,96780;155,80200
-370;0,00000;570,093908452724;0,00000;0,001357079;262,88700;357,72620;112,83250;158,30600;26,50632;243,38790;197,35270;112,55970;156,13340
-365;0,00000;570,120664343444;0,00000;0,001357079;270,67650;353,88160;114,06670;158,27570;26,38030;242,56460;198,48010;112,69770;153,13340
-360;0,00000;570,311171522224;0,00000;0,001357079;273,55930;359,99020;110,64460;158,78420;26,32481;242,07060;197,84950;112,33720;154,79990
-355;0,00000;570,62646587147;0,00000;0,001357079;274,19470;359,08790;113,91140;158,18480;26,07080;242,38850;198,29430;113,28660;152,80670
-350;0,00000;571,012832495875;0,00000;0,001357079;264,74910;360,78090;111,13140;157,82900;26,21412;242,06270;197,27510;112,53010;154,30650
-345;0,00000;571,406576740435;0,00000;0,001357079;266,37120;362,21490;110,44840;158,19200;26,50596;242,40290;196,73700;112,04950;154,96470
-340;0,00000;571,739502561097;0,00000;0,001357079;262,53740;364,20920;108,36890;157,55930;26,77504;241,91370;196,89030;113,13590;156,97300
-335;0,00000;571,04543309576;0,00000;0,001357079;260,81410;360,88200;104,91400;157,90080;27,08273;241,09970;197,18600;113,30270;156,97380
-330;0,00000;571,637991875755;0,00000;0,001357079;259,16540;363,12120;106,97200;157,90490;27,05054;238,47140;196,26570;112,24540;160,79690
-325;0,00000;571,724214561617;0,00000;0,001357079;256,78850;359,00000;104,21310;157,74350;26,72230;235,50880;195,75770;113,73100;162,64030
-320;0,00000;571,504157179986;0,00000;0,001357079;243,36220;363,04310;104,01160;157,79710;27,44286;236,01700;195,50580;114,04820;163,80080
-315;0,00000;571,50315963734;0,00000;0,001357079;238,97990;361,50570;107,42000;158,69190;27,48845;234,71150;195,81140;114,35720;164,97370
-310;0,00000;570,319204753203;0,00000;0,001357079;242,76570;359,64310;106,74140;158,67170;27,19338;232,40220;194,82400;114,57820;165,80920
-305;0,00000;569,018994873767;0,00000;0,001357079;240,97600;363,78780;105,02770;158,25780;27,24558;233,87990;195,00750;114,46970;167,80280
-300;0,00000;568,466653624406;0,00000;0,001357079;238,28570;360,56450;106,21350;157,51430;27,15164;234,69890;194,72870;114,31310;167,80450
-295;0,00000;567,569446600297;0,00000;0,001357079;251,58890;361,68680;105,40530;157,87020;27,16774;236,50810;195,11620;114,22520;167,47180
-290;-0,0001282518;567,76602009823;-0,0728169891048026;0,001357079;249,24790;369,34220;105,39790;157,31420;27,78543;238,82190;193,76350;114,37460;168,64040
-285;0,0004702564;567,950351139136;0,267082309576475;0,001357079;247,05590;364,25740;101,95680;157,22250;27,36260;238,64360;193,87340;114,28860;168,30400
-280;-0,0002565035;569,299850106296;-0,146027410993643;0,001357079;242,82310;362,31790;101,26040;156,98230;27,17756;239,29460;193,42660;114,14190;170,13890
-275;-0,001282518;571,133358118825;-0,732488561191666;0,001357079;242,82310;362,31790;98,67130;156,69900;27,35646;240,61240;194,43910;114,25150;169,97200
-270;-0,001188466;571,660749849615;-0,679399520655518;0,00133872;237,68590;360,90900;101,40630;156,65610;27,99578;239,80590;193,65780;114,39790;171,13800
-265;-0,001068765;570,571709104581;-0,609806863723366;0,00133872;229,02870;367,15660;102,58770;156,94390;28,04090;238,49540;193,38170;114,70540;171,14100
