timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,1511376;1103,20805980144;-166,736179035603;0,01588245;397,36050;702,84930;475,89420;143,77340;46,81425;353,11650;143,90580;89,98888;304,48470
-495;-0,1440025;1052,49167912288;-151,561422553169;0,01514886;397,74470;695,78660;475,22400;143,73970;46,82548;353,94890;143,75740;90,11082;304,98130
-490;-0,1423096;1035,47391678511;-147,35784843484;0,01445192;398,02150;690,02500;476,92380;143,69220;46,82974;355,44400;143,59620;90,22832;306,64200
-485;-0,1432401;1040,28742216154;-149,010887318173;0,01373667;398,21180;685,46290;480,36080;143,63070;46,82828;356,61120;143,42480;90,34206;309,93910
-480;-0,1445397;1058,06832748257;-152,932912335521;0,01300307;398,34150;681,97720;478,80610;143,55530;46,82275;358,27150;143,24570;90,45264;313,42590
-475;-0,1455316;1081,85592496262;-157,444164203968;0,01228781;398,44050;679,43240;482,95550;143,46690;46,81521;360,09970;143,06150;90,56049;314,41640
-470;-0,1412992;1107,22395464063;-156,449892892768;0,01157254;398,54160;677,68850;486,90930;143,36730;46,80790;360,10380;142,87480;90,66577;316,57030
-465;-0,1355022;1131,03225849564;-153,257412697247;0,01089397;398,67790;676,60800;491,04670;143,25850;46,80315;361,59810;142,68810;90,76821;319,38860
-460;-0,1306885;1151,4182923468;-150,477164231885;0,01025207;398,88120;676,06110;498,46590;143,14330;46,80312;364,10460;142,50380;90,86718;324,68880
-455;-0,1234295;1167,38225966351;-144,089392400546;0,009628519;399,17920;675,93070;504,48800;143,02480;46,80966;364,43700;142,32460;90,96165;327,32250
-450;-0,1157942;1178,64074538074;-136,479803535968;0,009041637;399,59340;676,11470;506,04350;142,90620;46,82411;362,27550;142,15260;91,05035;328,65750
-445;-0,1046705;1185,35891876248;-124,072146079916;0,008528113;400,13780;676,52780;513,13710;142,79050;46,84718;358,94690;141,99010;91,13183;327,50780
-440;-0,09472674;1187,97423155149;-112,532929927405;0,008051276;400,81770;677,10170;514,48680;142,68060;46,87881;356,45170;141,83900;91,20467;327,00480
-435;-0,08590302;1187,12707642566;-101,977803130756;0,007629439;401,62930;677,78450;517,77630;142,57880;46,91825;356,78270;141,70100;91,26764;324,20140
-430;-0,07727595;1183,52189444148;-91,4577837762836;0,007225975;402,56070;678,53950;524,50690;142,48680;46,96399;354,78930;141,57710;91,31989;323,69460
-425;-0,06803328;1177,86979866238;-80,1343445921325;0,006895855;403,59230;679,34360;526,90300;142,40570;47,01393;351,62450;141,46830;91,36102;318,89140
-420;-0,06304001;1170,83848923617;-73,8096702190297;0,006584063;404,69890;680,18520;532,44910;142,33590;47,06554;350,95720;141,37470;91,39116;317,73090
-415;-0,06171474;1163,01584229967;-71,7752230666605;0,006272301;405,85170;681,06270;535,33340;142,27730;47,11602;349,95760;141,29630;91,41099;317,88910
-410;-0,0657675;1154,89287635053;-75,9544132869113;0,005942181;407,02020;681,98340;540,67710;142,22890;47,16257;349,28570;141,23230;91,42165;317,89290
-405;-0,06700726;1146,8525290999;-76,8474466519696;0,005612046;408,17480;682,96170;541,36360;142,18980;47,20255;348,79430;141,18170;91,42462;318,88450
-400;-0,06465598;1139,17340540419;-73,654371026642;0,005281925;409,28850;684,01900;545,34140;142,15850;47,23375;346,79600;141,14300;91,42162;317,57120
-395;-0,05531925;1132,03552092905;-62,6233587425106;0,00500682;410,33900;685,18270;546,53960;142,13360;47,25451;343,30670;141,11460;91,41435;318,24730
-390;-0,04346024;1125,53264182224;-48,915921034994;0,004786745;411,31020;686,48520;546,21110;142,11380;47,26387;339,81350;141,09460;91,40441;317,75050
-385;-0,03131053;1119,68595287075;-35,0579580991307;0,004640043;412,19260;687,96260;541,42620;142,09760;47,26167;336,81800;141,08090;91,39312;317,91940
-380;-0,02370947;1114,46052658182;-26,4232736073939;0,004511654;412,98420;689,65230;537,66110;142,08420;47,24851;334,48870;141,07150;91,38145;317,43590
-375;-0,02005002;1109,78109529461;-22,2511379036864;0,004419953;413,68920;691,58970;535,59360;142,07250;47,22577;331,16550;141,06460;91,36997;318,08940
-370;-0,01778424;1105,54746858503;-19,6613250383631;0,004328251;414,31770;693,80400;529,78220;142,06220;47,19545;327,17190;141,05840;91,35887;316,11690
-365;-0,01300473;1101,64845004263;-14,3266385146789;0,004254892;414,88330;696,31270;523,96030;142,05290;47,16009;322,02220;141,05130;91,34805;312,64950
-360;-0,008917772;1097,97378376183;-9,79147996807391;0,004218206;415,40130;699,11710;520,17780;142,04460;47,12255;321,18680;141,04210;91,33715;312,62740
-355;-0,004309259;1094,42378336031;-4,71615556571719;0,004199862;415,88620;702,19610;512,93970;142,03720;47,08583;318,69540;141,02960;91,32581;311,47960
-350;-0,001957977;1090,91644359078;-2,13598908830854;0,004181519;416,34870;705,50270;505,89360;142,03120;47,05285;316,19350;141,01320;91,31370;311,13890
-345;-0,0009832635;1087,39198575197;-1,06919280962802;0,004181519;416,79390;708,96140;499,51390;142,02670;47,02620;315,52700;140,99240;91,30070;309,98440
-340;-0,00004275058;1083,81491240725;-0,0463337219175376;0,004181519;417,21910;712,46800;494,36610;142,02410;47,00797;314,69340;140,96700;91,28700;312,47240
-335;0,0003420047;1085,53940060766;0,371259558380311;0,004181519;417,61250;715,89250;485,46200;142,02380;46,99953;312,53010;140,93690;91,27309;313,78560
