timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,2738545;891,255807719843;-244,074440032653;0,04981142;345,18840;772,81620;289,26950;114,84000;84,13628;310,02800;131,29250;106,69520;241,22860
-495;-0,2711142;896,103770171502;-242,946465923654;0,04847264;344,20140;769,91860;291,51440;115,79280;84,29312;310,69800;131,45070;106,37010;242,71470
-490;-0,271127;920,864873778893;-249,671365577226;0,0471155;343,56550;771,27800;290,65050;115,86140;84,13721;312,52540;131,46660;106,76230;243,05740
-485;-0,2693928;954,532699526012;-257,144232632666;0,04573995;345,43990;769,29430;292,21770;115,89390;84,15334;316,86600;131,67400;106,78680;246,20580
-480;-0,2634633;989,57135592325;-260,715731209613;0,04443783;342,38850;757,13070;299,74860;115,29670;84,09859;320,52860;131,47770;106,91990;248,36450
-475;-0,2510058;1020,65390763524;-256,190034339031;0,04319072;345,12270;762,23160;297,38840;115,26330;83,96762;323,85710;132,24740;106,49810;249,34820
-470;-0,2393947;1045,04713703421;-250,178763409694;0,04198033;341,78600;758,13360;299,93530;115,28750;84,12501;324,19310;131,80680;106,50230;247,35800
-465;-0,2288695;1061,31795961369;-242,903325465711;0,04084319;338,90280;752,86490;302,14730;116,05720;83,87045;324,85640;131,32360;106,92490;246,87040
-460;-0,2187975;1069,26734585227;-233,952996481667;0,03974277;338,82690;765,85720;296,09420;115,98630;84,09866;325,85690;132,13780;106,54100;246,03620
-455;-0,2113418;1069,42747946334;-226,014705865234;0,03869742;338,13740;761,75040;298,85930;115,96970;83,43148;327,51540;131,80550;106,18830;244,86210
-450;-0,2077935;1062,87411142225;-220,858314067208;0,03765202;337,29160;755,93900;302,10670;116,15810;83,44815;326,18060;131,35860;106,61910;242,88490
-445;-0,20174;1050,95649423563;-212,019960014203;0,03664333;336,81410;753,93550;305,04150;116,21520;83,27309;324,01670;131,40650;106,37080;241,71780
-440;-0,193207;1035,09689857766;-199,987943039575;0,03567135;338,86340;748,79580;306,78130;115,73620;83,60524;320,52210;131,32770;106,04840;239,72020
-435;-0,1813993;1016,72129110922;-184,432497870588;0,03477263;337,52120;756,71600;303,32980;115,75180;83,57253;316,85260;131,65960;106,12330;238,07010
-430;-0,1719257;997,128261643639;-171,43201846568;0,03391069;337,39210;753,16710;304,52400;115,69480;84,36705;311,36250;131,91440;106,42170;234,43340
-425;-0,1650172;977,444706134929;-161,29523931396;0,03308535;337,29330;748,81600;306,41370;116,10250;83,95430;307,86370;131,56950;106,60250;235,76100
-420;-0,1618195;958,592123569314;-155,118902370461;0,03227836;341,04010;746,04210;307,31830;116,33540;84,66199;304,03670;132,66360;107,30210;235,95300
-415;-0,1572537;941,271856332646;-148,018519956502;0,03148973;343,21220;744,51920;308,90750;116,35880;84,95277;302,37020;132,76040;107,39380;238,93750
-410;-0,153543;925,969758297882;-142,176166785544;0,03071952;346,09000;746,75020;307,38980;116,11980;85,18603;299,38070;132,87020;107,75640;239,11580
-405;-0,147746;912,968719035133;-134,887493118561;0,02998585;346,44040;750,68870;305,30670;115,66830;85,26057;295,70970;132,19290;107,79020;239,27650
-400;-0,1449245;902,374681472426;-130,776186813008;0,02925229;347,80370;751,83850;304,47930;115,79810;85,53429;295,37540;132,32940;107,76660;237,61970
-395;-0,1458735;894,144613702356;-130,432044732033;0,02853703;345,24280;751,53930;302,21440;116,28400;85,09949;292,54020;131,99750;107,46440;233,63640
-390;-0,1521322;888,11894733977;-135,111509822285;0,02776676;345,29320;764,39370;295,14450;115,94080;84,56672;292,20340;131,45970;107,29590;230,31100
-385;-0,1590065;884,053609252875;-140,57028316673;0,02697814;339,77760;767,64220;294,23440;116,22060;84,60201;292,70270;132,13120;106,70630;226,65590
-380;-0,1633927;881,652116437428;-144,055540952202;0,02615285;339,46230;771,32810;290,96890;116,32780;83,83460;290,03430;132,24310;105,47660;224,30570
-375;-0,1616912;880,594472062886;-142,38442357436;0,02534592;342,48740;774,48910;289,09550;115,91450;83,61125;289,86140;131,87510;105,82320;222,82070
-370;-0,1588355;880,562826498143;-139,864647404363;0,02455729;338,49220;777,18580;287,50950;116,09100;83,45780;291,02890;131,75740;106,05770;222,33070
-365;-0,1541415;881,262809350963;-135,839171176045;0,02378702;340,15890;776,81260;287,53300;115,81420;83,57173;292,52840;133,12210;105,74900;225,97260
-360;-0,1482932;882,440108605941;-130,859888757681;0,02303499;341,33780;780,22790;285,47440;115,68970;84,07483;292,03540;132,43670;106,01640;229,62110
-355;-0,1446338;883,892083074807;-127,84065099291;0,02231979;343,42350;780,18740;284,80460;115,33420;84,02358;289,70200;131,79000;106,57250;233,61010
-350;-0,1407093;885,474414262243;-124,594463009779;0,02162284;344,19280;784,92050;281,37590;115,90260;84,73811;287,87450;131,67340;107,11980;235,61320
-345;-0,1421029;887,103010813415;-126,059950321298;0,02088928;347,31400;793,49320;277,43970;115,14710;85,19561;285,71180;131,64040;107,29280;237,43830
-340;-0,1490798;888,751551662085;-132,494938238505;0,02017397;351,18470;788,16270;280,57230;114,99010;85,17984;282,04860;131,61360;107,57260;239,26840
-335;-0,158485;891,977124188569;-141,364964491453;0,01936704;351,81450;790,97300;279,69550;115,54420;85,74146;279,88510;131,82470;107,37280;242,41240
-330;-0,1648462;892,687270259869;-147,156144569901;0,01854169;352,44260;784,62240;282,98420;114,51940;86,28984;278,72250;131,71970;108,06770;244,74960
-325;-0,1648462;896,109386281603;-147,720268635865;0,01771647;353,27150;781,75960;284,71010;114,26410;86,76440;276,89520;132,07070;108,12310;246,57730
-320;-0,153714;901,52766365552;-138,57742072135;0,01694614;358,34490;785,45990;283,03510;114,10840;86,71455;275,23160;132,06920;108,72870;249,08120
-315;-0,1434368;909,401505617695;-130,441601608881;0,01623088;358,84230;778,06810;287,68300;113,64230;87,59341;273,07470;131,78800;108,83650;251,73260
-310;-0,137084;915,197892613294;-125,459005716205;0,01555228;361,60760;769,72700;291,85040;113,84530;87,67912;273,40480;131,91750;109,13530;255,38870
-305;-0,13870;920,723619338866;-127,704358954087;0,01485544;363,30770;766,91380;294,79240;113,78830;87,58059;271,90300;131,63620;109,17370;257,70820
-300;-0,1431375;924,91823414263;-132,390490103135;0,01414019;363,82490;755,08650;301,66960;113,91950;87,90297;272,40730;131,31640;109,62880;261,20060
-295;-0,1455657;926,149862898546;-134,815696915372;0,01340652;364,58430;743,41210;307,37030;114,20340;87,80829;275,40350;132,10090;109,86000;263,53190
-290;-0,1436505;926,088380783048;-133,033073760404;0,01269126;368,11450;732,68610;313,95440;113,80970;87,90598;278,40410;132,38290;109,83830;267,17610
-285;-0,1399398;930,711619003543;-130,243558583311;0,01199436;368,73360;728,58010;319,29170;114,57950;87,75756;278,56850;132,60640;109,75010;268,83270
-280;-0,1351175;937,864267005065;-126,721863707626;0,01131582;369,63390;720,60110;323,44750;114,10960;87,46544;278,90040;132,43800;109,55710;268,82800
-275;-0,131706;945,793914433316;-124,566723060639;0,01065546;368,48790;716,30680;327,38750;114,24210;87,21523;279,39220;131,79270;109,24800;267,65330
-270;-0,1301328;951,663983203351;-123,842673297769;0,01001364;370,52470;713,99290;329,82970;114,36940;87,34163;279,89740;131,97200;109,63740;267,66800
-265;-0,1272257;957,592999303508;-121,830475850083;0,009371758;369,48520;707,67570;335,30950;114,86180;87,08235;280,72840;132,46570;108,93220;266,98630
-260;-0,1232157;963,952833007351;-118,774152833521;0,008748114;369,49930;708,66500;334,96700;114,75070;87,09622;278,56250;132,20430;109,42020;264,34440
-255;-0,1168288;972,606907618259;-113,628488829545;0,008179665;370,12760;710,06520;333,42470;114,67660;87,07677;275,89720;132,56120;109,19330;261,52500
-250;-0,1073467;979,451270646052;-105,140871730306;0,007629454;369,24730;709,64070;333,24360;114,89810;86,53951;274,55480;132,34040;108,80740;257,36950
-245;-0,09946351;984,900608654563;-97,9616660122138;0,007134259;370,03030;712,86240;331,86660;115,17760;86,55664;273,88860;132,69500;108,50230;254,21540
-240;-0,09370928;984,540514190378;-92,2605823630986;0,00667578;369,02540;708,10470;334,09510;115,25100;86,12853;273,71510;133,07540;108,32090;251,72650
-235;-0,08917772;979,468061902444;-87,3467266905229;0,006217241;372,42470;710,96670;331,37270;115,43140;85,81161;272,88880;132,37200;108,26840;249,89820
-230;-0,08969928;971,770555487442;-87,1671128350907;0,005777121;371,38310;712,16170;330,68470;115,28190;85,75524;271,22020;132,65390;107,94220;247,23820
-225;-0,08854501;964,241842265394;-85,3787997284692;0,00533694;370,01930;713,89480;329,26120;115,48430;85,84376;271,55030;132,70720;107,70460;246,07110
-220;-0,08512496;959,450456283526;-81,6731818962747;0,00489676;371,48660;714,85320;328,94430;115,30680;85,09969;272,37600;132,66770;107,96240;244,75310
-215;-0,07967854;957,655702913605;-76,3046048241355;0,004511714;373,27170;717,81580;326,71860;115,64580;85,67841;272,38100;132,64140;107,61210;244,07930
-210;-0,07233398;957,75994126761;-69,2785942956747;0,004144847;372,93140;717,97400;326,39030;115,93700;85,06985;273,71190;132,57810;107,19630;242,08090
