timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,1354082;886,160986219337;-119,993452941895;0,02908725;110,75710;-564,54900;98,22226;151,22940;12,74089;276,78720;129,46190;125,32780;411,07510
-495;-0,1300644;908,163022209621;-118,119654628793;0,0284453;110,75330;-564,54150;100,80540;151,19660;12,73593;275,95400;129,43420;125,32390;411,58420
-490;-0,121262;913,162255159649;-110,731908359884;0,02782178;110,74850;-564,53380;102,52710;151,17070;12,73115;273,62820;129,41200;125,32520;411,40500
-485;-0,1132164;907,652226357212;-102,761087678828;0,02727157;110,74300;-564,52660;103,93720;151,15030;12,72768;274,46070;129,39410;125,33270;411,58050
-480;-0,108501;896,480924784829;-97,2690541858377;0,02672142;110,73740;-564,52090;106,48700;151,13400;12,72679;272,29270;129,37910;125,34660;412,41680
-475;-0,1079965;882,650314078921;-95,3231595325511;0,02618951;110,73210;-564,51720;106,35960;151,12040;12,72975;271,79510;129,36530;125,36640;411,24390
-470;-0,1117842;868,618958472077;-97,0978937325938;0,025621;110,72790;-564,51620;106,17910;151,10830;12,73768;271,96260;129,35090;125,39120;410,91390
-465;-0,1146913;855,759222642881;-98,1481075249728;0,02505243;110,72520;-564,51840;104,43470;151,09670;12,75144;271,63840;129,33410;125,41950;410,41280
-460;-0,1176325;844,930839161246;-99,3913332275138;0,02446562;110,72440;-564,52370;104,61260;151,08480;12,77153;270,80100;129,31360;125,44960;408,61330
-455;-0,1172478;836,490595196861;-98,0766422143789;0,02387869;110,72590;-564,53190;103,45230;151,07220;12,79801;270,63860;129,28840;125,47940;408,26970
-450;-0,1124682;830,523423008754;-93,4075031976436;0,02331012;110,72970;-564,54250;102,41870;151,05860;12,83055;269,97680;129,25820;125,50710;406,94310
-445;-0,1061155;826,902872894062;-87,747207322387;0,02277827;110,73560;-564,55470;103,45900;151,04410;12,86838;267,31660;129,22350;125,53100;405,76840
-440;-0,102456;825,344034560451;-84,5614861371157;0,02228308;110,74330;-564,56730;98,70726;151,02900;12,91047;266,15320;129,18550;125,54980;405,44020
-435;-0,1034222;825,525907909144;-85,3777136526153;0,02175122;110,75210;-564,57910;95,43987;151,01360;12,95554;267,81480;129,14620;125,56290;408,40710
-430;-0,1071843;827,095965519477;-88,6516678265834;0,02121943;110,76130;-564,58880;96,64997;150,99860;13,00227;268,31570;129,10800;125,57020;407,92440
-425;-0,1097835;829,717269744026;-91,0892591668841;0,02066922;110,77000;-564,59520;92,93806;150,98450;13,04935;268,48670;129,07370;125,57230;410,09230
-420;-0,1100827;833,088878530533;-91,7087100681321;0,02011901;110,77710;-564,59730;88,84807;150,97210;13,09562;267,65190;129,04620;125,57010;408,58850
-415;-0,1109378;836,955673182979;-92,8499835984193;0,0195688;110,78190;-564,59440;80,44185;150,96210;13,14009;267,31680;129,02810;125,56500;406,11280
-410;-0,1087147;841,114449474385;-91,4415283738735;0,01901865;110,78350;-564,58640;76,32456;150,95520;13,18201;267,49060;129,02190;125,55840;406,94260
-405;-0,1059445;845,410522486203;-89,5665896071384;0,01848674;110,78160;-564,57350;75,64086;150,95190;13,22086;268,81180;129,02900;125,55180;408,09460
-400;-0,1045423;849,735507283554;-88,8332840763725;0,01797324;110,77580;-564,55650;76,66276;150,95270;13,25628;270,31700;129,05060;125,54650;409,41750
-395;-0,10603;854,019065888502;-90,5516366878157;0,01744133;110,76650;-564,53690;73,92087;150,95780;13,28807;271,64060;129,08660;125,54340;410,24580
-390;-0,1096125;858,220821487865;-94,0717208111719;0,01689118;110,75430;-564,51630;74,39686;150,96730;13,31609;273,47000;129,13620;125,54280;411,73770
-385;-0,1095697;862,320658580111;-94,4842488238243;0,01634097;110,74000;-564,49680;74,08546;150,98130;13,34028;273,29920;129,19810;125,54480;413,06030
-380;-0,1056025;866,31039263043;-91,4845324432031;0,01580912;110,72500;-564,48040;73,74335;150,99940;13,36056;275,79140;129,26990;125,54870;415,05340
-375;-0,1017293;870,1855317258;-88,5233536960371;0,01531392;110,71070;-564,46920;75,79106;151,02140;13,37691;278,29190;129,34920;125,55380;420,49460
-370;-0,09736872;873,938595609331;-85,0942890824145;0,01481873;110,69870;-564,46500;72,70286;151,04700;13,38929;279,78540;129,43310;125,55860;423,49650
-365;-0,09455574;877,553948438241;-82,9777613227003;0,01434189;110,69040;-564,46870;72,03757;151,07560;13,39777;280,78430;129,51900;125,56190;427,48090
-360;-0,08991303;881,004364446961;-79,2137667677565;0,01390177;110,68710;-564,48080;70,80566;151,10720;13,40250;280,45190;129,60420;125,56230;430,30410
-355;-0,08585172;884,249387568841;-75,9143317130305;0,01346159;110,68960;-564,50100;68,02346;151,14140;13,40379;280,95930;129,68670;125,55880;430,81480
-350;-0,08373129;887,235438082541;-74,2893705655971;0,01305813;110,69820;-564,52810;69,58857;151,17850;13,40212;276,30270;129,76470;125,55060;431,15930
-345;-0,08154246;889,897538390755;-72,5644376046985;0,0126363;110,71270;-564,55980;74,59986;151,21830;13,39818;274,63800;129,83710;125,53740;431,31950
-340;-0,07792576;892,162455057233;-69,5224415018879;0,01225114;110,73230;-564,59330;75,61945;151,26110;13,39281;274,63860;129,90340;125,51940;431,49810
-335;-0,07374476;897,966496407958;-66,2203209791372;0,01188433;110,75530;-564,62560;79,08145;151,30720;13,38702;273,96940;129,96320;125,49730;432,81060
-330;-0,06900799;903,513732597797;-62,3496670872388;0,01153588;110,77970;-564,65300;81,47237;151,35680;13,38190;273,47360;130,01680;125,47200;432,48760
-325;-0,06722102;905,956256815957;-60,8992993385145;0,01120579;110,80330;-564,67240;84,56067;151,40980;13,37852;274,96830;130,06460;125,44520;432,64610
-320;-0,06482698;904,75389529682;-58,6524655418288;0,0108757;110,82350;-564,68080;89,19797;151,46600;13,37789;274,46730;130,10690;125,41820;431,15250
-315;-0,06291176;898,824994234681;-56,546661360336;0,01056385;110,83790;-564,67630;88,50606;151,52490;13,38084;275,79990;130,14430;125,39290;430,46560
-310;-0,0587735;890,19206343101;-52,3197056966176;0,01027042;110,84430;-564,65800;92,66177;151,58560;13,38792;274,29740;130,17690;125,37070;427,64070
-305;-0,05386573;883,916129583855;-47,6127912385942;0,009995341;110,84140;-564,62650;95,94936;151,64690;13,39936;275,46540;130,20490;125,35310;424,48480
-300;-0,04973603;879,904390947941;-43,7629477396273;0,009756923;110,82840;-564,58360;99,50546;151,70680;13,41503;273,13510;130,22820;125,34100;423,48130
-295;-0,04576022;880,048738601787;-40,2712261046225;0,009518445;110,80580;-564,53260;101,91370;151,76370;13,43442;273,13180;130,24660;125,33540;419,16860
-290;-0,04465726;883,686611086874;-39,4630216192909;0,009298384;110,77480;-564,47790;106,35420;151,81520;13,45667;270,80430;130,25960;125,33630;416,68440
-285;-0,04542677;884,805419743959;-40,1938510781883;0,009078324;110,73780;-564,42470;108,61360;151,85920;13,48064;270,14240;130,26680;125,34380;414,86250
-280;-0,04584572;882,867003054945;-40,4756776289705;0,008839905;110,69790;-564,37870;113,39620;151,89360;13,50495;270,30790;130,26790;125,35740;416,01930
-275;-0,04461451;877,342599901312;-39,1422082107744;0,008619845;110,65910;-564,34540;115,99420;151,91650;13,52814;271,47000;130,26260;125,37600;416,51500
-270;-0,03996325;870,26075734542;-34,778443618793;0,008418024;110,62530;-564,32940;114,26110;151,92670;13,54874;271,46840;130,25090;125,39840;414,53300
-265;-0,03373876;865,098085853592;-29,1873370742237;0,008252978;110,60060;-564,33420;117,34710;151,92350;13,56542;271,96590;130,23300;125,42320;414,52920
-260;-0,02874549;861,929486718151;-24,7765874829562;0,008106291;110,58840;-564,36130;121,47560;151,90700;13,57711;273,29250;130,20960;125,44870;414,02130
-255;-0,02554775;860,04100482256;-21,9721122215843;0,007977903;110,59130;-564,41030;121,66050;151,87820;13,58307;273,79650;130,18180;125,47330;412,04050
-250;-0,02695852;861,029234949895;-23,2120726667657;0,007849574;110,61050;-564,47840;125,96360;151,83900;13,58301;271,95980;130,15100;125,49540;408,39000
-245;-0,02861724;859,40200062908;-24,5937140566848;0,007702827;110,64570;-564,56040;127,32770;151,79230;13,57710;270,45740;130,11920;125,51360;405,57270
-240;-0,03181498;854,727703501479;-27,1931484453375;0,007537723;110,69480;-564,64940;128,87890;151,74150;13,56600;268,13420;130,08850;125,52700;401,91140
-235;-0,03160978;848,750049725775;-26,8288031067932;0,007391036;110,75430;-564,73690;125,40500;151,69070;13,55078;266,30730;130,06150;125,53490;399,74360
-230;-0,03031871;842,205392743716;-25,5345840121406;0,00722599;110,81910;-564,81380;128,16110;151,64420;13,53289;265,14030;130,04050;125,53720;396,59740
-225;-0,02824104;839,066510670058;-23,6961073480672;0,007097542;110,88300;-564,87110;127,31120;151,60650;13,51403;264,64890;130,02800;125,53410;394,77640
-220;-0,02742022;837,472112921088;-22,9636735054074;0,006950855;110,93940;-564,90080;130,45040;151,58150;13,49599;261,81170;130,02580;125,52630;392,79550
-215;-0,02695852;835,65206202031;-22,5279421130936;0,006822526;110,98180;-564,89720;125,98130;151,57270;13,48054;260,48290;130,03570;125,51490;388,64490
-210;-0,0292585;835,969222366991;-24,4592058835904;0,00667578;111,00420;-564,85710;126,83930;151,58290;13,46930;260,48950;130,05830;125,50130;388,29850
-205;-0,02870274;835,329514940852;-23,9762482895438;0,006529093;111,00250;-564,78110;126,33790;151,61370;13,46359;260,81990;130,09400;125,48690;387,48660
-200;-0,02878824;833,573757359891;-23,9971246682492;0,006382346;110,97430;-564,67330;125,49660;151,66550;13,46437;259,98160;130,14190;125,47340;389,13380
