timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,5297292;1038,27003489227;-550,001922069921;0,08032921;298,76790;235,46950;415,53570;117,24850;128,42900;489,89340;120,81050;25,60529;398,77190
-495;-0,5034747;1175,54484582669;-591,857071120391;0,07779831;294,20100;234,72950;408,42620;117,07080;128,49520;483,09430;121,16190;25,74636;397,61550
-490;-0,4910144;1246,27279129081;-611,937847770186;0,07535908;285,36520;234,84390;399,02410;116,97100;128,41140;479,10440;121,04450;25,34148;398,77590
-485;-0,4811273;1274,21868326816;-613,061394084673;0,07291986;282,06840;234,25240;394,67330;117,29300;128,09530;475,77270;121,03910;25,71961;401,10190
-480;-0,4668834;1276,57523708516;-596,011779019298;0,07060902;272,20620;235,59610;391,60780;116,89280;128,05980;472,61290;120,69380;25,19451;401,09410
-475;-0,4452546;1264,86737070981;-563,188038122826;0,06837155;264,71260;235,75520;382,57470;116,70330;128,21090;469,79790;120,37800;25,21920;401,75950
-470;-0,4180898;1247,18472382311;-521,43522459047;0,06628078;259,59760;234,26950;376,17220;116,48540;128,06230;467,46440;120,72490;25,27636;402,92180
-465;-0,3938808;1228,3786374879;-483,834774606097;0,06430006;254,82940;235,88350;369,40910;116,00390;128,23580;464,97470;120,36060;25,21856;404,91980
-460;-0,3789898;1211,19802228695;-459,031626572528;0,06242937;251,23470;234,99850;365,07160;116,23890;127,83280;465,62290;119,69100;25,24917;407,57530
-455;-0,3769759;1196,81734056548;-451,171271751734;0,06055871;247,56110;235,17470;360,21770;115,63230;128,58350;461,67150;120,32900;25,28668;410,06350
-450;-0,3803874;1185,44351069769;-450,927786077329;0,058633;243,01240;236,15560;359,46300;115,65600;128,27250;460,32560;120,00420;25,38808;411,56300
-445;-0,3774262;1176,65298812615;-444,099675975627;0,05674398;236,58640;234,77710;355,43930;114,86770;128,22610;456,99600;119,66940;25,18257;413,88650
-440;-0,3611298;1169,67448558414;-422,404292720989;0,05492833;229,64480;234,81350;350,38810;114,87760;127,89110;454,48940;119,31840;25,13239;414,71280
-435;-0,3354254;1163,66172176364;-390,321725193525;0,05325937;226,99290;235,80110;349,66730;114,59090;127,95850;450,34110;119,91340;24,84355;414,21310
-430;-0,3095289;1157,80360454251;-358,373671849522;0,05171883;218,73410;235,91850;341,86260;114,60980;128,14350;446,20090;119,88410;24,68559;414,70170
-425;-0,2915522;1151,43298927475;-335,702814508396;0,05026996;214,45850;234,39280;336,82940;114,41800;127,92100;442,03910;119,78360;24,80550;412,71340
-420;-0,280715;1144,07814121021;-321,159934231801;0,04885778;215,15440;234,61870;334,60780;113,69430;128,16820;437,89340;119,61860;24,87163;410,55150
-415;-0,2742419;1135,47706187347;-311,395388005584;0,04748228;209,89210;234,51530;329,76150;113,92590;128,18660;432,08960;119,27890;24,62820;403,89890
-410;-0,2691842;1125,57123747572;-302,985966060234;0,04614347;208,60010;235,09180;321,34990;113,64970;128,23450;424,95720;119,52960;25,07772;398,75450
-405;-0,2632482;1114,47673381305;-293,384019871483;0,04482296;206,12460;234,60350;306,40580;113,33520;128,57030;417,49970;119,46130;24,98788;389,60710
-400;-0,2555033;1102,449810246;-281,679519928333;0,0435392;204,84690;234,16450;294,75560;113,44180;128,76840;409,70990;119,30390;24,85077;381,12550
-395;-0,2517603;1089,84261367641;-274,379111147968;0,04229206;202,32520;236,93640;283,40440;112,99700;128,73230;403,89650;119,20740;25,05120;372,82360
-390;-0,2477278;1077,0593809297;-266,817563902795;0,04106328;199,69750;235,86960;272,57080;112,93200;128,87810;397,92620;119,22630;24,97762;366,50070
-385;-0,2399847;1064,51341101979;-255,466901972567;0,0398345;196,82450;234,33890;265,54620;112,77100;129,03910;394,77810;119,20430;25,02217;359,52300
-380;-0,2258855;1052,59014788283;-237,764880063887;0,03871578;193,76760;234,82990;256,61290;112,06420;129,05800;391,45410;118,81500;25,25208;355,20110
-375;-0,2100593;1041,61617474504;-218,801126903619;0,03767037;185,69220;234,68380;249,51470;111,79820;128,92330;386,96770;118,62530;24,87674;354,19820
-370;-0,2025095;1031,83654898639;-208,956715730476;0,03666168;173,46970;234,86040;245,47350;111,41180;128,90050;378,66390;118,73260;24,90090;357,02010
-365;-0,2048522;1023,40072197591;-209,645934899434;0,03563464;163,01900;234,20040;240,41290;111,41550;128,26330;373,16100;118,83930;24,48641;359,84440
-360;-0,211034;1016,35718012084;-214,485897026977;0,03457093;151,95820;233,97060;234,86560;111,34630;128,52880;373,00790;118,62790;24,93965;362,84450
-355;-0,2164633;1010,65641109377;-218,770019947857;0,0335072;155,59620;233,66880;234,03870;111,17170;128,54180;373,17200;117,96090;24,46006;361,34000
-350;-0,2138897;1006,16137578573;-215,207564353036;0,03242514;158,30970;236,20550;234,56970;111,18020;129,02400;374,02320;118,15660;24,60049;360,34530
-345;-0,199004;1002,66433169637;-199,53417054647;0,03141645;175,72760;237,50060;236,75560;110,58410;129,13150;378,99890;118,06950;24,70012;361,00270
-340;-0,1811855;999,908579589785;-181,16895103534;0,03051776;183,48970;236,12110;236,65160;110,74680;129,28350;381,00150;117,76590;25,11294;360,34890
-335;-0,1692923;997,839355769494;-168,926526225085;0,02969247;196,63060;234,65550;236,26230;110,51330;129,40840;382,66430;117,78740;25,08941;360,67860
-330;-0,173328;983,417953342448;-170,453831595781;0,02881217;201,90890;237,32090;236,64720;110,25430;129,71680;383,17440;117,74020;25,21641;362,01260
-325;-0,1846398;979,064869840962;-180,774309737665;0,02789515;204,86960;235,81010;238,55350;110,25540;129,50750;383,99380;117,35270;25,36306;362,01560
-320;-0,1885557;983,157322608421;-185,379935338931;0,02694148;204,81200;238,30410;240,94230;109,96180;129,87110;382,51520;116,82910;25,07967;360,84330
-315;-0,178706;992,122086833735;-177,298153699656;0,02604282;200,12870;236,05810;240,56140;109,68920;129,86330;385,16680;117,06250;25,54633;362,51220
-310;-0,1631875;997,518628932864;-162,782594952412;0,02523586;203,19040;235,40970;243,50560;109,61620;130,03770;382,01900;116,78290;25,93686;364,17680
-305;-0,150388;994,864395670939;-149,615669983383;0,02448392;208,84390;237,60500;239,78200;109,23910;130,12000;380,35990;116,60460;25,49113;364,33600
-300;-0,1508155;984,760265994586;-148,517121681683;0,02373198;215,26440;239,52310;244,97720;109,43000;130,15430;382,68720;116,72030;25,57261;363,17510
-295;-0,1628455;970,919715444993;-158,109927165372;0,02292502;216,66310;238,66340;241,74000;109,50600;130,50530;382,86850;116,58050;25,50918;362,01010
-290;-0,1750807;962,86794066521;-168,579627380194;0,02204469;223,20860;239,56810;243,84530;109,33040;130,21410;388,16520;116,12120;25,96136;363,84120
-285;-0,1765684;965,505647476653;-170,477839030692;0,02114603;232,28890;240,11820;248,90140;108,76340;130,63860;388,51020;115,90850;26,05959;364,50980
-280;-0,166257;974,071776163856;-161,946265720601;0,02032074;235,49380;240,73220;247,54750;108,55950;130,73860;391,83200;115,91480;25,91834;366,50430
-275;-0,1519698;982,742490570784;-149,347154220917;0,0195688;238,39870;239,71680;248,60430;108,53130;130,86540;393,66270;115,79880;26,20919;370,49640
-270;-0,1462497;988,94167039789;-144,632470720099;0,01883522;242,54250;241,20980;249,31680;108,28790;130,84300;397,14580;115,50550;25,77547;372,65310
-265;-0,1523118;991,845462386426;-151,069747853888;0,01808327;243,44680;242,55500;250,87850;108,49040;130,66070;401,12270;116,01640;25,85145;376,64000
-260;-0,1602377;994,261404435743;-159,318198503796;0,01727629;243,85350;242,01100;252,93010;108,72410;130,54220;404,10580;115,43170;26,59762;380,96910
-255;-0,158827;996,75522046167;-158,311610491711;0,01646933;240,89100;241,19880;251,53860;108,58510;131,09780;403,79620;115,29600;26,62045;382,63190
-250;-0,1474468;995,623093742115;-146,8014028639;0,01573572;239,60550;240,74760;252,37980;108,43390;130,90780;404,78250;115,76420;26,09173;382,29770
-245;-0,1300473;992,374017975465;-129,055537956931;0,01509386;240,23010;238,73410;253,75850;108,53790;131,17270;403,96280;115,40770;26,16193;384,28490
-240;-0,1195905;987,204297540592;-118,060240166474;0,01448864;236,25790;241,69680;255,44030;108,50000;130,84640;401,96090;115,38150;25,78580;384,77960
-235;-0,1201548;983,516801520438;-118,174255694642;0,01390174;236,56110;240,74940;256,10040;108,53190;130,77840;400,95990;115,58640;25,97038;386,11550
-230;-0,1269692;987,565604590544;-125,390445618703;0,01325983;231,90800;240,90200;258,13080;108,38390;130,69930;399,79530;115,72930;25,87923;386,44430
-225;-0,131022;998,365907683111;-130,807883915565;0,01259959;222,82940;244,33310;259,94700;108,22640;130,95370;397,81430;115,71400;25,97246;388,10790
-220;-0,1277815;1009,96043678563;-129,054251977888;0,01195771;217,86100;244,63710;259,22770;108,31780;130,51210;396,13320;115,79820;25,88420;389,43920
-215;-0,1181028;1015,33138142736;-119,913439827674;0,01137084;214,09500;243,22910;260,36640;108,48370;130,61320;393,81680;115,69870;25,93038;389,77480
-210;-0,1107668;1009,51040992555;-111,820194363388;0,01082063;214,69620;244,05350;260,21240;108,19160;130,30270;393,13660;116,20310;25,84232;392,09590
-205;-0,1102538;1000,24344410649;-110,280589819296;0,01027042;208,25870;242,00000;260,16420;108,09980;130,39190;393,47040;116,12510;25,86597;392,76120
-200;-0,1144775;993,772209933834;-113,764565832585;0,009701878;204,69370;242,52170;259,95950;108,33730;130,39210;393,47380;116,37540;25,72206;393,92110
-195;-0,1148537;992,198373922969;-113,957670923601;0,00911501;205,08200;243,70230;259,44290;108,50300;130,71040;393,32350;116,49470;25,58780;393,91820
-190;-0,1104248;998,484633671603;-110,257421432477;0,0085648;201,00210;242,37320;262,31840;108,48210;130,54720;393,81320;116,13080;25,53568;394,75450
-185;-0,1004468;1009,4247542732;-101,393454036639;0,008069605;203,19150;242,52220;266,60290;108,45950;130,72210;393,49070;116,05700;25,89527;397,41390
-180;-0,09348697;1014,1814683779;-94,812754657288;0,007592767;204,65760;242,92010;267,64440;108,82290;130,18020;395,12880;116,42020;25,81954;398,57970
-175;-0,09217881;1009,91591721734;-93,0928432893322;0,007152617;200,05780;243,00670;268,98590;108,83640;130,48160;393,81470;116,15310;25,47000;399,89890
-170;-0,09122119;995,246352843549;-90,7875589302146;0,00667578;197,72690;240,51900;269,14430;108,76700;130,18530;391,47890;116,20410;25,55155;401,73180
-165;-0,0882885;984,235143822148;-86,8966477279174;0,0062356;200,70490;241,38310;269,32400;109,17060;130,24010;391,32040;116,67850;25,47754;402,89870
-160;-0,08304729;985,935930675258;-81,8792996225117;0,005832136;195,50550;241,47060;270,30790;109,25110;129,95740;390,14560;117,15040;25,66348;404,05900
-155;-0,07506147;997,505853673234;-74,8742595658639;0,005447;192,96610;241,25770;272,00610;108,52150;130,01500;386,32330;117,27700;25,45477;403,22680
-150;-0,06964925;1007,74271445528;-70,1885228996611;0,005098552;190,27080;238,38620;268,89670;109,21300;129,97510;383,00910;117,08360;25,47430;401,90230
-145;-0,06730652;1009,18533775552;-67,9247488476966;0,004768401;192,90930;238,42320;271,48940;108,88990;129,88560;379,02310;117,06740;25,21981;397,57420
-140;-0,06683626;999,239200598562;-66,7854107083383;0,004438311;196,45830;238,38580;271,53610;109,69670;129,67410;376,19890;117,20430;25,25907;395,91600
-135;-0,06669946;985,580704458442;-65,7377008862244;0,004089862;194,12000;238,29220;269,77890;109,49490;129,71880;372,21760;117,66090;25,07219;393,58610
-130;-0,06432253;979,465617469442;-63,0017056865147;0,00377804;200,53140;240,59900;270,18940;108,98220;129,91740;368,40170;117,48510;25,46635;390,59770
-125;-0,0582605;983,719774352399;-57,3120015796419;0,003484637;201,49290;240,05870;271,91420;109,31340;129,98440;365,58790;117,85240;25,31914;386,60960
-120;-0,05395124;991,765662227265;-53,5069831061316;0,003209502;201,86590;239,04250;268,98180;109,72720;129,42200;362,91760;118,22300;25,03731;381,45070
-115;-0,05413079;996,394770223042;-53,9356346577055;0,002952754;204,17520;240,43760;274,84670;109,19270;129,70860;357,44770;118,57860;24,84353;379,12960
-110;-0,05667872;993,074435896763;-56,2861930750248;0,002659321;204,31210;238,23630;275,87920;109,68020;129,54390;356,28660;118,40990;25,10359;377,30360
-105;-0,05911551;984,465998552899;-58,1972098639522;0,002365887;204,89130;238,21180;273,29980;109,80230;129,68330;351,64680;118,75720;25,06214;375,80620
-100;-0,05855975;980,35534468965;-57,4093652885938;0,002072424;208,66780;239,34630;277,62070;110,12440;129,64260;349,32210;118,45130;25,05881;374,80760
-95;-0,051352;983,179409811626;-50,4882307075392;0,001815677;208,23730;239,38880;280,54230;110,03690;129,26340;348,31200;119,00370;24,71684;374,63640
-90;-0,04277623;991,165931473855;-42,3983450393624;0,001595587;203,72140;237,84280;280,83960;110,51140;129,13380;347,64720;118,99840;24,86452;373,47640
