timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,4344589;795,501159114671;-345,612568524085;0,0672161;326,11570;270,45700;242,44310;111,01650;121,03280;314,31550;112,57310;30,81351;289,07610
-495;-0,4190055;823,66588215137;-345,120500607672;0,06512535;331,19780;270,98710;238,35520;111,04430;120,91900;309,16850;111,75950;30,42253;283,25020
-490;-0,4114365;853,669203182975;-351,230692357763;0,06307119;327,94580;267,88900;230,41120;110,83550;121,29430;303,87250;111,98420;30,70314;278,92970
-485;-0,406585;881,544710591741;-358,422845457557;0,06103551;333,53180;268,77990;215,33170;110,22920;121,08560;300,04920;111,03010;30,51536;274,60530
-480;-0,4006424;905,00333418586;-362,582711167597;0,05903643;337,56570;271,63890;204,85030;109,95990;121,61000;294,42290;111,04830;30,85099;271,61790
-475;-0,3915927;922,72519998642;-361,332451482889;0,05707401;338,68260;271,31120;199,16960;109,81020;120,89600;292,24350;110,84000;31,17961;271,28330
-470;-0,3769269;934,647402334721;-352,293723540087;0,05518508;342,57770;272,64610;192,30260;109,87250;120,87500;292,07770;111,91110;30,66105;273,27370
-465;-0,3578857;941,197448619349;-336,841107742737;0,05340606;344,06880;273,43690;190,76610;108,51020;121,38730;291,91960;110,86180;30,51456;274,59910
-460;-0,338006;943,1629400648;-318,79472623479;0,05170041;347,71530;273,87120;184,59090;108,30680;121,08430;293,72970;110,23010;30,67782;276,59720
-455;-0,3197497;941,50193183073;-301,044925281763;0,05012316;349,63250;273,64430;181,15450;108,72340;121,04740;299,03760;110,72370;30,54196;280,42190
-450;-0,305199;937,249031650826;-286,047454680077;0,04858267;349,97900;272,79370;182,70570;108,75990;121,26770;301,53400;110,40560;30,92614;282,91890
-445;-0,294202;931,351154134903;-274,005411495959;0,04711545;356,13720;271,88740;184,98090;108,90260;121,51540;302,87080;110,17740;30,81487;283,08110
-440;-0,286066;924,616614271974;-264,501368221064;0,04568493;351,90550;272,77520;190,28240;109,80180;121,43840;307,18780;110,99020;31,14255;288,57270
-435;-0,2792896;917,700547819831;-256,304246655249;0,04429108;353,11040;272,85800;195,13310;109,32690;121,00630;308,49460;111,66800;30,55205;287,24310
-430;-0,2721708;911,070089969393;-247,966670222571;0,04293388;352,48360;270,78660;199,60290;110,41010;120,87850;308,82980;111,40990;31,03371;288,74470
-425;-0,2632636;905,012776951568;-238,256968665922;0,04159504;354,83420;270,63850;202,03290;110,86090;120,64260;309,65290;112,21690;31,03675;290,40970
-420;-0,2522048;899,653704748986;-226,896994068401;0,04036635;353,01580;268,59260;208,56560;110,83090;121,16080;307,68440;111,95920;30,86805;288,57860
-415;-0,2380455;894,976292958191;-213,045060816691;0,03915584;349,58310;269,82620;210,93340;110,41220;120,77910;308,00160;112,15400;30,54796;286,41470
-410;-0,2244691;890,853683269054;-199,969096466046;0,03803712;346,98760;267,99470;207,66900;111,07510;120,79100;309,49600;112,28380;30,77537;288,57390
-405;-0,2106315;887,078237101177;-186,846637877638;0,03699178;348,70260;268,86310;207,33670;111,22530;120,94360;308,67470;112,34840;30,88144;287,57600
-400;-0,1988925;883,396131895131;-175,70089745806;0,03598309;351,88360;269,73980;202,36140;111,34680;120,98810;308,34670;112,15120;31,01058;287,25220
-395;-0,1895558;879,536876183694;-166,721305357645;0,03504771;353,11450;267,16660;199,61950;110,93400;121,21130;309,51230;111,95680;30,95156;286,08220
-390;-0,1831024;875,24150439611;-160,258842604377;0,03413063;358,59590;269,57070;196,54030;111,22920;121,04320;309,50710;111,85680;30,59105;283,42110
-385;-0,1757684;870,285342053938;-152,968694542332;0,03325033;360,61840;271,66320;192,06980;110,83790;121,34460;308,52040;112,64470;31,08887;282,26340
-380;-0,166847;864,496897893362;-144,238693232147;0,03240675;360,81320;271,38930;188,29450;111,42670;121,28530;305,20640;111,84510;31,13558;277,60720
-375;-0,1559798;857,770655470473;-133,794879484934;0,03163648;365,20790;271,36490;184,69920;111,43680;121,30550;299,73470;112,78890;31,39579;275,28020
-370;-0,1474895;850,074577684607;-125,377088734734;0,0309028;360,01790;271,31710;185,03070;111,91820;120,98980;295,08390;113,38670;31,01736;270,12790
-365;-0,1417695;841,452110544284;-119,292232017839;0,03018767;358,95140;266,62540;188,29030;112,45670;121,37550;288,30320;113,87070;30,87980;264,47090
-360;-0,136058;832,01906081058;-113,2028550121;0,02950907;353,87750;269,13810;186,52510;113,69030;120,91720;282,65540;114,50270;31,59266;260,15370
-355;-0,1272685;821,955875457257;-104,609078888384;0,02886719;352,58460;268,57420;188,58140;114,34190;120,59850;278,17350;114,27580;31,39997;252,50610
-350;-0,1183165;811,495999000252;-96,0133760254373;0,02828026;351,32920;267,10490;189,61140;114,96800;120,73030;272,21500;114,77270;31,09218;247,34720
-345;-0,1146058;800,911121396466;-91,7890315834437;0,02771169;353,25910;264,31080;188,24020;115,65080;120,51180;268,56270;115,30700;31,31307;240,53480
-340;-0,1130667;790,494225555471;-89,3786056384596;0,02714318;352,63750;262,86360;188,24550;115,84880;120,56280;264,09010;115,77600;31,59429;237,54270
