timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;0,00000;641,798168349087;0,00000;-0,0002934486;377,20610;303,10460;272,88020;105,12810;134,04820;173,39750;126,68790;-3,620047;157,44130
-495;0,00000;636,432441482252;0,00000;-0,0002934486;377,27270;303,08160;274,08430;105,33870;134,06090;173,40920;126,98350;-3,585806;157,44470
-490;0,00000;634,207889393212;0,00000;-0,0002934486;377,34150;303,01990;271,85900;105,54100;134,07160;174,41170;127,28000;-3,550081;157,10710
-485;0,00000;633,997305481012;0,00000;-0,0002934486;377,39220;302,92100;275,48660;105,73150;134,07820;175,23210;127,57400;-3,513778;157,10920
-480;0,00000;635,020139417006;0,00000;-0,0002934486;377,40230;302,78980;275,85550;105,90790;134,07880;177,54810;127,86310;-3,477863;156,62150
-475;0,00000;636,410665348615;0,00000;-0,0002934486;377,34920;302,63460;271,59130;106,06860;134,07150;175,89540;128,14580;-3,44334;156,95170
-470;0,00000;637,873789213953;0,00000;-0,0002934486;377,21210;302,46580;270,72420;106,21340;134,05520;175,55830;128,42120;-3,411239;156,28270
-465;0,00000;639,094148619819;0,00000;-0,0002934486;376,97370;302,29560;273,46480;106,34260;134,02900;176,38750;128,68890;-3,382586;157,28330
-460;0,00000;639,946433428204;0,00000;-0,0002934486;376,62270;302,13690;271,41670;106,45730;133,99300;174,07260;128,94900;-3,358351;156,61770
-455;0,00000;640,361974781429;0,00000;-0,0002934486;376,15510;302,00210;274,85410;106,55940;133,94800;175,21750;129,20140;-3,339388;157,77520
-450;0,00000;640,368161293558;0,00000;-0,0002934486;375,57510;301,90230;273,87100;106,65100;133,89550;175,89160;129,44600;-3,326346;159,27960
-445;0,00000;640,031259907033;0,00000;-0,0002934486;374,89550;301,84610;278,86430;106,73450;133,83770;174,90460;129,68260;-3,319577;158,11110
-440;0,00000;639,420616887774;0,00000;-0,0002934486;374,13740;301,83910;276,65170;106,81240;133,77720;175,71660;129,91080;-3,31906;156,94930
-435;0,00000;638,635203717415;0,00000;-0,0002934486;373,32880;301,88300;279,23520;106,88730;133,71700;176,21910;130,13020;-3,324347;156,44310
-430;0,00000;637,76489513607;0,00000;-0,0002934486;372,50280;301,97580;278,53430;106,96150;133,66000;175,72940;130,34030;-3,334562;155,61410
-425;0,00000;636,893289647859;0,00000;-0,0002934486;371,69530;302,11120;278,72130;107,03730;133,60880;177,05150;130,54100;-3,348444;157,44470
-420;0,00000;636,092779878963;0,00000;-0,0002934486;370,94260;302,27980;282,87680;107,11670;133,56560;177,05680;130,73250;-3,364444;153,62230
-415;0,00000;635,420280882803;0,00000;-0,0002934486;370,27790;302,46920;280,12990;107,20160;133,53190;178,06250;130,91550;-3,380857;154,61900
-410;0,00000;634,917207166496;0,00000;-0,0002934486;369,72960;302,66530;281,17470;107,29370;133,50830;178,05740;131,09150;-3,395975;152,62530
-405;0,00000;634,607694294501;0,00000;-0,0002934486;369,31820;302,85350;281,88620;107,39430;133,49460;177,90920;131,26280;-3,40824;154,45290
-400;0,00000;634,501421357327;0,00000;-0,0002934486;369,05540;303,02010;283,59630;107,50510;133,48970;179,89270;131,43210;-3,416385;152,79030
