timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,06173185;461,6655013764;-28,4994629997965;0,0180831;333,10970;256,89830;123,95100;110,58120;131,62220;141,27760;140,57330;21,60382;172,68750
-495;-0,06423703;465,938121451345;-29,9304794546432;0,01777136;332,33230;256,98350;124,27810;110,62510;131,62410;138,94580;140,63850;21,63183;174,18710
-490;-0,06488683;466,655339145038;-30,279787546861;0,01744127;331,59070;257,15520;125,76170;110,70110;131,62330;136,96990;140,71540;21,66373;176,67710
-485;-0,06463033;465,611654794293;-30,0926349778723;0,01711118;330,89900;257,40860;126,24910;110,80750;131,61950;136,10900;140,80270;21,69743;179,33900
-480;-0,06423703;464,05301963066;-29,8093855078638;0,01679921;330,26750;257,73510;126,73930;110,94060;131,61290;133,79390;140,89830;21,73075;182,84370
-475;-0,06350172;462,577486705675;-29,3744644733982;0,01646924;329,70310;258,12240;127,72340;111,09520;131,60410;133,44860;140,99990;21,76166;184,33540
-470;-0,06530579;461,715019461727;-30,1526646811254;0,01615739;329,21040;258,55580;129,03920;111,26460;131,59400;132,77700;141,10460;21,78846;187,49640
-465;-0,06793923;461,657292129125;-31,3646395259387;0,01580894;328,79170;259,01880;129,86290;111,44150;131,58370;131,43850;141,20940;21,80989;191,65870
-460;-0,06926449;462,459908468215;-32,0320521917932;0,01546049;328,44760;259,49410;129,84000;111,61830;131,57460;128,77510;141,31130;21,82520;195,31960
-455;-0,07097452;464,052897288268;-32,9359308264151;0,01511216;328,17740;259,96440;130,15900;111,78810;131,56770;128,77080;141,40740;21,83416;197,31860
-450;-0,06917899;466,322736772521;-32,2597376342942;0,01476359;327,97810;260,41320;131,48360;111,94460;131,56410;128,77030;141,49530;21,83697;199,14850
-445;-0,06840948;469,111861883244;-32,0916996078541;0,01441514;327,84520;260,82510;129,64070;112,08280;131,56430;128,27640;141,57320;21,83426;199,97890
-440;-0,06850354;472,238526161506;-32,3500077649599;0,01408505;327,77110;261,18670;129,97560;112,19930;131,56840;128,28010;141,63990;21,82689;202,31310
-435;-0,06875148;475,536693872781;-32,693854927773;0,01373649;327,74570;261,48690;130,79980;112,29200;131,57590;127,78260;141,69510;21,81590;204,31330
-430;-0,06776822;478,850042997357;-32,4508166521608;0,01338816;327,75570;261,71700;132,78630;112,36050;131,58600;128,60130;141,73910;21,80242;209,46980
-425;-0,06816152;482,044749393754;-32,8569066964708;0,01305807;327,78500;261,87150;133,13950;112,40600;131,59730;127,59850;141,77290;21,78758;209,64040
-420;-0,06679351;485,013380875522;-32,3957455538994;0,01272786;327,81580;261,94740;134,46560;112,43060;131,60840;129,08760;141,79820;21,77245;211,13300
-415;-0,06669946;487,674102382235;-32,5275993405095;0,01237941;327,82930;261,94520;135,30270;112,43780;131,61790;128,59720;141,81690;21,75805;214,46130
-410;-0,06522029;489,970393903066;-31,9560116627576;0,01206756;327,80760;261,86820;137,11300;112,43170;131,62440;128,24730;141,83140;21,74531;216,29360
-405;-0,06034672;491,866906304437;-29,682556298985;0,01175582;327,73540;261,72250;138,76770;112,41740;131,62710;126,41140;141,84400;21,73502;218,95530
-400;-0,05561851;493,347313924029;-27,439241792037;0,01148081;327,60210;261,51670;141,91730;112,40020;131,62560;125,92000;141,85690;21,72790;221,12620
-395;-0,05259177;494,409768647337;-26,001883422479;0,01122391;327,40340;261,26170;142,72780;112,38600;131,61980;124,58330;141,87220;21,72449;223,95150
-390;-0,04925722;495,063296705818;-24,3854427177885;0,01096725;327,14260;260,96950;143,88570;112,38100;131,61050;123,24650;141,89170;21,72523;225,45340
-385;-0,04935127;495,323771674335;-24,4448586471993;0,01072884;326,83160;260,65340;143,68620;112,39100;131,59880;121,09450;141,91690;21,73038;227,28020
-380;-0,04789775;495,210988714207;-23,7194929191961;0,0104903;326,49030;260,32670;146,49980;112,42200;131,58600;118,76200;141,94910;21,74006;231,44210
-375;-0,04494796;494,745937699613;-22,2378215433925;0,01025188;326,14510;260,00230;148,80420;112,47900;131,57360;117,24410;141,98930;21,75421;232,60020
-370;-0,04316954;493,948939325078;-21,3235480519881;0,01005018;325,82700;259,69220;150,11560;112,56600;131,56300;115,24260;142,03830;21,77264;234,93310
-365;-0,04069;492,838492692052;-20,0536008855355;0,009848475;325,56850;259,40670;150,77280;112,68580;131,55550;112,25940;142,09640;21,79502;233,43450
-360;-0,03761196;491,430852791056;-18,4836791021037;0,009646654;325,39930;259,15440;150,92090;112,83890;131,55160;109,76610;142,16360;21,82088;234,27100
-355;-0,03433727;489,740291484714;-16,8163438030185;0,009481668;325,34310;258,94130;151,73570;113,02370;131,55160;107,59850;142,23960;21,84964;233,27190
-350;-0,03024176;487,779954946681;-14,7513258730545;0,009334922;325,41410;258,77140;153,38870;113,23620;131,55510;105,92940;142,32340;21,88060;231,93930
-345;-0,02857449;485,5632058441;-13,8747215470465;0,009188294;325,61510;258,64640;151,21910;113,46990;131,56130;102,27490;142,41310;21,91296;229,61220
