timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,2241898;869,024392235283;-194,82636454876;0,03559795;260,66790;159,34250;398,99330;133,27110;15,12117;266,39400;139,28200;145,03180;231,06800
-495;-0,2182132;885,29112306016;-193,182222826036;0,03449754;258,36070;160,22840;393,32390;133,32660;15,04233;265,24470;139,35200;144,95000;232,40330
-490;-0,2151651;887,588709277194;-190,978114645838;0,03343382;256,63740;161,08890;387,82320;133,36710;14,98035;261,95120;139,43220;144,88880;232,06610
-485;-0,2128851;883,185403182099;-188,016990974768;0,03237011;255,58350;161,89900;381,14790;133,39820;14,93919;261,29970;139,52240;144,85130;232,56190
-480;-0,2101362;877,016587531189;-184,292947258938;0,03130639;255,23820;162,64440;375,64890;133,42550;14,92159;258,66740;139,62160;144,83910;230,40200
-475;-0,206605;871,647001066539;-180,086643786158;0,03027935;255,59240;163,32310;370,31300;133,45420;14,92889;258,67300;139,72780;144,85240;231,56560
-470;-0,2029798;868,831985228404;-176,355313346957;0,02927065;256,59160;163,94520;369,64030;133,48850;14,96088;259,16150;139,83810;144,88930;232,23250
-465;-0,2009277;869,048951418118;-174,616038076843;0,02826194;258,14270;164,53230;368,45720;133,53100;15,01585;259,14680;139,94920;144,94650;232,89470
-460;-0,2013125;872,233878058083;-175,591575973806;0,02725324;260,12310;165,11510;368,30360;133,58290;15,09073;261,59290;140,05700;145,01970;233,40100
-455;-0,1983285;877,84578717389;-174,101840481959;0,02626288;262,39370;165,73050;367,82420;133,64330;15,18131;263,23230;140,15740;145,10360;232,56560
-450;-0,1961482;885,168232847786;-173,624174586367;0,02527253;264,81070;166,41790;371,34530;133,71010;15,28259;263,21350;140,24620;145,19250;232,56420
-445;-0,1985508;893,411708382977;-177,387615321494;0,02430052;267,23810;167,21550;372,71800;133,77970;15,38912;264,05040;140,31970;145,28090;231,73260
-440;-0,2051515;901,780970426687;-185,001718365056;0,02327345;269,55760;168,15630;378,92900;133,84760;15,49540;263,72100;140,37480;145,36410;234,40250
-435;-0,2029285;909,613377697905;-184,586448192504;0,02224642;271,67660;169,26500;383,79640;133,90920;15,59619;264,71590;140,40930;145,43780;235,90250
-430;-0,1877007;916,376497727733;-172,00451972124;0,02129275;273,53260;170,55570;388,31880;133,95980;15,68686;264,70120;140,42210;145,49910;236,23550
-425;-0,1626831;921,705928681578;-149,945945938248;0,02050413;275,09410;172,03010;392,84970;133,99580;15,76362;265,36750;140,41370;145,54630;237,23720
-420;-0,141855;925,407864657898;-131,273717107045;0,01978888;276,35910;173,67740;393,03390;134,01450;15,82362;265,37350;140,38530;145,57860;236,41060
-415;-0,1349892;927,447350276717;-125,195413361069;0,01911028;277,35060;175,47480;391,21220;134,01470;15,86505;264,54280;140,33960;145,59630;236,40990
-410;-0,141778;927,929929518822;-131,560078389101;0,01841336;278,11040;177,38950;390,40740;133,99690;15,88712;263,56290;140,28020;145,60030;235,73540
-405;-0,152004;927,072662235148;-140,918725884261;0,01764309;278,69170;179,38110;388,08210;133,96290;15,88992;261,76730;140,21150;145,59210;234,40330
-400;-0,161221;925,176556680801;-149,157890418998;0,01683612;279,15140;181,40430;386,28800;133,91620;15,87431;259,62150;140,13800;145,57340;234,89410
-395;-0,162247;922,594058334135;-149,688129452198;0,01602916;279,54350;183,41290;383,13290;133,86130;15,84178;257,83180;140,06460;145,54580;234,40140
-390;-0,152517;919,698708016761;-140,269669546339;0,01525888;279,91310;185,36250;380,98990;133,80350;15,79424;254,54530;139,99580;145,51060;234,74290
-385;-0,139726;916,855851938204;-128,108606649595;0,01456197;280,29190;187,21410;380,66750;133,74840;15,73395;256,84760;139,93570;145,46920;237,40860
-380;-0,1268068;914,397903784872;-115,95185534336;0,01393841;280,69600;188,93590;383,01280;133,70130;15,66332;258,81040;139,88740;145,42240;240,41280
-375;-0,1190775;912,60316478755;-108,670480974898;0,01333319;281,12520;190,50580;387,68940;133,66730;15,58486;261,42710;139,85350;145,37100;243,41670
-370;-0,114905;911,679879864043;-104,756589715746;0,01276463;281,56440;191,91180;392,02440;133,65030;15,50112;265,71660;139,83510;145,31560;249,09180
-365;-0,113024;911,755524893056;-103,050245361441;0,01219611;281,98640;193,15260;394,37350;133,65320;15,41461;268,66980;139,83270;145,25690;253,59540
-360;-0,1068423;912,871472871782;-97,5332472719124;0,01166426;282,35560;194,23620;396,69710;133,67730;15,32781;269,00120;139,84560;145,19600;256,27260
-355;-0,1006092;914,982918298936;-92,0557202737798;0,01115073;282,63340;195,17860;397,19930;133,72270;15,24310;271,46000;139,87190;145,13400;259,93960
-350;-0,09179405;917,963736292195;-84,2636113364764;0,01071057;282,78250;196,00210;397,86020;133,78780;15,16278;273,42220;139,90930;145,07260;259,94250
-345;-0,08426995;921,615789286108;-77,6645152551335;0,0102704;282,77250;196,73210;397,34500;133,86970;15,08901;275,54360;139,95470;145,01350;261,43990
-340;-0,07908002;925,682049561571;-73,2029605126929;0,009885266;282,58390;197,39490;398,82710;133,96460;15,02376;278,32870;140,00460;144,95900;260,77350
-335;-0,07792576;934,514992122625;-72,8227926596003;0,009500131;282,21130;198,01560;397,97910;134,06750;14,96875;280,30730;140,05560;144,91120;261,77810
-330;-0,07518972;939,290200209597;-70,6249714562503;0,009114981;281,66600;198,61540;396,15330;134,17330;14,92537;280,94920;140,10440;144,87200;261,78450
-325;-0,07331725;942,180366117453;-69,0780739858833;0,008748189;280,97570;199,21080;396,14250;134,27650;14,89456;280,29760;140,14790;144,84310;261,44220
-320;-0,06726377;944,810383885438;-63,5515060721013;0,008418068;280,18360;199,81230;394,32770;134,37170;14,87675;279,79910;140,18380;144,82560;261,28020
-315;-0,06141549;945,571214214235;-58,07271682916;0,008106276;279,34570;200,42470;394,82620;134,45420;14,87174;278,98290;140,21030;144,81970;259,60790
-310;-0,05570401;943,491731541171;-52,5562716067328;0,007831186;278,52600;201,04760;394,48380;134,52010;14,87868;278,81270;140,22660;144,82510;261,60790
-305;-0,05041149;938,353510827965;-47,3037964626834;0,007574424;277,79190;201,67630;391,49700;134,56640;14,89607;277,82010;140,23260;144,84030;258,76880
-300;-0,04551227;932,585486305984;-42,4440829205481;0,007354349;277,20730;202,30360;390,83720;134,59150;14,92181;277,64650;140,22890;144,86340;258,43860
-295;-0,03923649;928,741862810627;-36,4405664691211;0,007152602;276,82720;202,92110;388,32730;134,59500;14,95336;275,33840;140,21700;144,89150;255,10310
-290;-0,03241349;923,27603233508;-29,9265996834453;0,006987542;276,69160;203,52070;388,00500;134,57820;14,98790;274,67530;140,19900;144,92160;255,09770
-285;-0,02388903;914,509276643205;-21,8467355951202;0,006877512;276,82090;204,09590;387,50080;134,54340;15,02258;274,67260;140,17740;144,95030;252,75830
-280;-0,01607422;906,99309355046;-14,5792060297253;0,006785795;277,21280;204,64210;386,17050;134,49460;15,05477;274,00620;140,15490;144,97470;252,09630
-275;-0,009858285;905,11869961658;-8,92291822821532;0,006749123;277,84110;205,15710;382,16570;134,43640;15,08228;269,90890;140,13420;144,99180;251,08990
-270;-0,004984718;906,17379653228;-4,51702111463054;0,006712437;278,65600;205,64070;377,16240;134,37460;15,10359;269,27300;140,11790;144,99960;248,91930
-265;-0,001239767;906,777690684641;-1,12419301751488;0,006712437;279,58700;206,09380;371,32010;134,31530;15,11796;265,31970;140,10820;144,99700;246,58490
