timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;0,01500546;724,762233167139;10,8753874567425;0,01524054;344,66680;122,45140;151,38600;142,64810;19,71686;263,23530;144,05710;159,02660;264,90880
-495;0,01389394;687,08473346224;9,54631403479172;0,01531389;340,86630;120,73250;150,04310;142,89010;19,55956;265,36590;143,29040;158,63330;263,07980
-490;0,01105958;672,068996938184;7,43279823527222;0,01536892;336,15960;122,17200;150,18700;142,18210;18,71855;265,99230;144,05850;158,74210;259,73770
-485;0,007725031;671,135732093802;5,18454406030085;0,0154056;327,76230;121,35860;149,16220;142,16280;18,67799;267,95810;143,26940;158,34020;258,56900
-480;0,004779515;678,073830334436;3,24086430994168;0,01542394;325,20530;122,43480;148,31210;142,24970;18,99168;269,12030;143,93250;158,13600;256,73380
-475;0,002983991;688,157700268102;2,05345634774223;0,01544227;314,58010;121,86050;147,94640;142,24310;18,52377;268,77480;143,97920;158,34470;254,06180
-470;0,002641986;698,560347399947;1,84558676295726;0,01546061;307,73420;120,47700;149,10150;142,33400;18,16679;268,27350;144,19900;158,66020;252,05840
-465;0,002351282;707,396767001878;1,66328942255999;0,01546061;303,61610;119,93720;145,24490;142,84230;18,39457;269,26770;143,85860;158,45500;250,38980
-460;0,00144497;713,727361824617;1,03131447246684;0,01547895;300,28320;120,73430;146,23140;141,98260;18,71582;270,25890;143,98760;158,24790;248,54850
-455;0,0008122611;717,206648753843;0,582559076985102;0,01547895;297,49440;120,18670;145,39150;142,67020;18,29655;269,26380;144,48480;158,46040;247,04940
-450;0,0003847553;717,966077081848;0,276241230516616;0,01547895;295,47390;120,99310;146,38510;141,02540;17,86882;272,68690;144,02100;158,46130;246,55180
-445;-0,0004702564;716,41844256321;-0,336900385534031;0,01547895;296,47710;120,59450;145,88980;141,69050;18,01973;276,30780;143,98120;157,92940;248,88610
-440;0,0001282518;713,112930807548;0,0914579856401466;0,01547895;290,38400;119,60840;146,04030;141,08340;17,91975;280,72820;143,18090;157,41270;252,55370
-435;-0,0001282518;708,685616393761;-0,0908901747919798;0,01547895;287,44130;122,16430;147,86030;140,26980;18,12597;283,35970;142,95770;158,24180;254,89910
-430;0,0003420047;703,755663160977;0,24068773235364;0,01547895;284,89400;123,29720;149,84300;140,75190;18,23594;285,99000;142,99490;158,33920;258,74040
-425;-0,00004275058;698,886285711147;-0,0298777978079279;0,01547895;284,53500;122,75170;151,02150;140,58710;18,17268;286,97080;142,22810;157,73690;263,41010
-420;-0,0008550117;694,5513000901;-0,593849475739949;0,01547895;285,13640;123,91270;152,02020;140,90920;18,43540;288,62330;143,03020;158,83510;262,58010
-415;-0,002299982;691,114457350882;-1,58955052256938;0,01546061;289,43150;123,64270;152,36260;140,26310;18,18002;288,28100;142,57110;158,33380;264,08040
-410;-0,004523012;688,823246882614;-3,11555572415045;0,01544227;288,83280;123,41200;151,70130;140,43150;18,82014;288,30510;143,09320;158,23350;264,74470
-405;-0,007250499;687,808354906933;-4,98695384270248;0,0154056;291,29470;122,62630;151,71030;140,18810;18,66208;286,49260;142,85670;158,73570;262,24790
-400;-0,01087575;688,094134697627;-7,48353884087257;0,01535057;291,95230;121,58360;151,04770;140,58970;18,60969;287,31350;142,76570;158,63490;262,41590
-395;-0,01509951;689,611161099548;-10,4127881807541;0,01527721;288,95810;122,65230;155,53960;140,34880;18,40836;286,15740;142,94920;158,63640;262,07820
-390;-0,01757049;692,213394489535;-12,1625287786938;0,01518551;287,81340;121,65320;153,87320;140,26320;18,61420;288,62230;142,77890;158,13630;261,74010
-385;-0,018511;695,696255500244;-12,8780356927799;0,01509381;284,18360;121,78220;153,19350;140,10240;17,98630;289,91460;143,26070;158,23840;259,23470
-380;-0,01876751;699,816231172891;-13,1338057681088;0,01500212;281,15100;123,03600;154,51140;140,02420;18,04379;293,36120;142,17770;157,93520;259,57260
-375;-0,01876751;704,309463233289;-13,21813266062;0,01491041;275,62960;122,67740;152,49330;140,25320;17,49902;296,45990;142,92770;157,83070;257,23550
-370;-0,01688648;708,909334500492;-11,9709839903136;0,01481871;276,59730;123,16720;154,33630;139,94530;17,13249;299,72850;142,85110;157,93210;256,06960
-365;-0,01480025;713,36212640681;-10,5579395593865;0,01474535;271,51790;124,79900;155,14650;139,33380;17,01290;303,32780;142,14240;158,13960;254,06810
-360;-0,01361179;717,440304545505;-9,76564390506323;0,01469033;268,96290;124,07530;156,97170;139,41320;17,17045;305,13720;142,56140;157,72940;257,56990
-355;-0,01197871;720,953104935633;-8,63609082577475;0,01461697;272,02170;125,31020;158,31380;139,11220;17,29413;304,48520;142,74010;158,13700;257,57200
-350;-0,01031999;723,754226118086;-7,46913701436812;0,01456195;274,46210;124,87180;160,32940;139,63040;16,81149;300,69680;141,90370;158,13660;259,74570
-345;-0,01037129;725,746563569025;-7,52692933826174;0,01452527;282,02920;124,71470;162,02440;139,94390;17,49067;298,09900;142,60740;158,13590;261,07610
