timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,01498836;632,556531544024;-9,48098194533069;0,005758643;453,28700;185,04280;107,67800;164,41980;129,16690;250,85080;146,11170;23,01074;174,78180
-495;-0,009695833;601,396374659647;-5,83103838707172;0,005703568;459,32430;184,50240;107,69450;165,11880;129,61780;251,19690;146,70230;23,96705;176,62120
-490;-0,0128038;591,864729491346;-7,57811737692915;0,005648732;457,26800;186,57640;110,02680;164,73750;129,13270;252,34770;146,47890;23,20271;175,61830
-485;-0,01790822;595,032362026336;-10,6559700896022;0,00555706;457,29570;187,11190;110,02050;165,09530;129,24370;251,52280;146,73010;23,30897;175,95380
-480;-0,02081098;604,58095976671;-12,5819248376843;0,005446911;457,73650;185,17980;110,53080;164,84450;129,42230;252,18990;146,35420;23,46367;179,27300
-475;-0,01962252;615,928913800948;-12,0860763136915;0,005355239;452,97710;185,92170;111,69140;164,87320;129,17800;251,84940;146,54440;23,49633;181,26910
-470;-0,01368874;626,421243505376;-8,57491581884192;0,005281806;442,36430;187,45000;112,67060;165,62890;129,14720;250,68820;146,24310;23,32711;182,60170
-465;-0,007849008;634,446157435046;-4,97977272743522;0,005245209;441,14640;187,08980;113,83420;165,46130;129,14040;251,52120;146,58010;22,84950;184,09170
-460;-0,004223758;639,326526761678;-2,70036041290389;0,00522697;434,83170;186,61430;116,99940;165,43090;128,55380;252,66480;147,14290;23,33225;185,92230
-455;-0,003368746;640,975881991515;-2,15928501388091;0,005208492;427,19000;186,94380;119,31280;165,32460;129,29190;252,85160;147,61790;23,10800;186,58950
-450;-0,003668;639,745529174057;-2,34658674374714;0,005190134;427,02620;185,80710;121,99800;165,21410;129,21680;252,18750;147,37760;23,43318;186,26030
-445;-0,002727487;636,220915690651;-1,73528449642064;0,005171895;427,54930;185,05530;122,50770;164,58100;128,88800;252,00550;148,05110;23,15319;185,09930
-440;-0,001068765;631,080600318113;-0,67447662668131;0,005171895;427,22190;184,06270;122,16380;165,66510;129,10920;250,35630;147,59130;23,02680;187,25640
-435;0,00008550117;625,035976321199;0,0534413077063188;0,005171895;421,67880;183,27790;123,32410;165,87730;129,28670;249,20000;147,17410;23,16549;188,42150
-430;0,0003420047;618,738532780083;0,211611475644484;0,005171895;415,14540;182,97420;124,81240;165,65110;128,91610;248,69090;147,75850;23,34124;189,25420
-425;-0,0001282518;612,744493281438;-0,0785855572751304;0,005171895;410,40480;184,20570;123,96390;165,31300;128,64660;245,52360;147,11420;23,10212;190,08460
-420;0,00000;607,489696129242;0,00000;0,005171895;403,67400;184,17170;123,93750;165,93220;128,46560;244,02380;147,16230;22,84179;192,24200
-415;0,00000;603,277776686574;0,00000;0,005171895;396,37950;184,75190;121,24120;165,65920;128,64230;240,20370;147,25910;22,19660;193,06720
-410;0,00000;600,282790930004;0,00000;0,005171895;386,23200;183,93150;122,72380;165,67900;127,96050;238,19340;147,61340;22,35849;196,39750
-405;0,00000;598,557508026846;0,00000;0,005171895;378,91280;183,47940;121,37490;166,07820;127,15780;235,34960;147,38450;22,00496;199,55280
-400;0,00000;598,051309400331;0,00000;0,005171895;370,54010;183,65570;121,83780;166,10910;127,18460;231,35900;147,72020;21,81631;200,04580
-395;0,00000;598,629431135689;0,00000;0,005171895;363,95220;183,13260;122,49410;166,60280;127,16930;227,04410;147,29440;21,58577;202,21080
-390;0,00000;600,095303346909;0,00000;0,005171895;350,71690;181,87510;122,29590;166,69620;127,26470;224,38480;147,62480;21,27169;202,70670
-385;0,00000;602,212421664474;0,00000;0,005171895;344,58170;182,07880;123,11050;166,54800;126,59030;221,21120;147,41890;20,95150;202,04230
