timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,003927354;455,826829515297;-1,7901932279576;0,007079184;230,00320;97,30401;104,85530;146,39580;35,75025;142,21450;139,38860;124,60160;109,15370
-495;-0,006483839;450,829606469484;-2,92310647354752;0,007042527;229,31630;97,12552;104,51950;146,37780;35,77003;141,38240;139,37450;124,65050;109,98810
-490;-0,007873232;448,806263226371;-3,53355618040854;0,00700587;228,92680;96,95419;104,02000;146,36000;35,76814;142,03100;139,33400;124,67160;109,65010
-485;-0,008503092;448,469151444786;-3,81337415462943;0,006969154;228,84600;96,79482;105,84830;146,34180;35,74588;140,22370;139,26770;124,66430;107,81480
-480;-0,00878097;448,956782512432;-3,94227602971723;0,006914139;229,06660;96,65211;105,68820;146,32340;35,70557;141,22950;139,17840;124,62990;107,81520
-475;-0,009345277;449,490072056729;-4,2006094393931;0,006877482;229,56410;96,53058;104,19150;146,30560;35,65035;139,24240;139,07130;124,57080;104,31610
-470;-0,009635981;449,812000204317;-4,33438007100416;0,006822407;230,29890;96,43420;104,67900;146,28970;35,58380;140,23560;138,95350;124,49110;102,82550
-465;-0,01220102;449,733873145932;-5,48721043939814;0,006767452;231,21990;96,36631;103,19670;146,27780;35,50973;137,09380;138,83340;124,39580;104,32300
-460;-0,0144155;449,248864346743;-6,47614573934186;0,006694078;232,26880;96,32925;104,19870;146,27240;35,43183;134,63490;138,72000;124,29060;102,49130
-455;-0,01658723;448,423372275763;-7,43810025345897;0,006602407;233,38420;96,32418;105,86330;146,27600;35,35348;134,13920;138,62210;124,18120;100,82490
-450;-0,01757904;447,406178159519;-7,86497122425429;0,006529033;234,50670;96,35094;106,53460;146,29090;35,27752;134,29550;138,54770;124,07350;100,48840
-445;-0,01922921;446,369610916074;-8,58333619105131;0,006418943;235,58190;96,40788;106,86140;146,31870;35,20620;133,32380;138,50280;123,97260;99,99470
-440;-0,02111879;445,476253950762;-9,4079187571218;0,006327271;236,56350;96,49187;107,36720;146,36040;35,14117;132,97770;138,49100;123,88290;98,99629
-435;-0,02276896;444,888907691161;-10,1296580991009;0,006198823;237,41470;96,59837;109,34870;146,41550;35,08356;135,43810;138,51340;123,80760;97,99620
-430;-0,02363252;444,738169883366;-10,5102849052623;0,006088853;238,10880;96,72158;110,85350;146,48240;35,03410;137,74110;138,56830;123,74890;98,49570
-425;-0,02640276;445,121315275299;-11,7524315758584;0,005960464;238,62860;96,85466;111,35690;146,55850;34,99329;140,20160;138,65150;123,70770;97,66199
-420;-0,02789048;446,098087940142;-12,4418904871992;0,005813777;238,96450;96,99010;112,53730;146,63980;34,96152;142,16760;138,75680;123,68390;98,99529
-415;-0,0294295;447,688182404028;-13,1752409083613;0,005667031;239,11300;97,12006;111,88190;146,72160;34,93925;143,64390;138,87630;123,67670;102,32200
-410;-0,02981426;449,873429445845;-13,4126425166054;0,005520284;239,07420;97,23676;115,20540;146,79870;34,92701;145,77790;139,00170;123,68440;104,48540
-405;-0,03024176;452,599596914116;-13,6874097781493;0,005373597;238,85110;97,33294;116,54530;146,86600;34,92544;148,25330;139,12460;123,70530;106,98650
-400;-0,03134473;455,782487294938;-14,2863780941421;0,005208552;238,44790;97,40226;118,05460;146,91830;34,93520;148,90850;139,23740;123,73730;109,98870
-395;-0,03024176;459,313150502023;-13,8904394751525;0,005061805;237,87070;97,43970;119,88650;146,95160;34,95680;150,38980;139,33390;123,77860;111,48640
-390;-0,02831799;463,064704117807;-13,113060401304;0,004915059;237,12850;97,44196;120,54220;146,96260;34,99051;151,05560;139,40950;123,82720;115,48540
-385;-0,02755703;466,898847961628;-12,8663443717798;0,00478673;236,23490;97,40775;120,87650;146,94960;35,03606;151,87720;139,46170;123,88170;117,64870
-380;-0,02861724;470,673034712887;-13,4693639633057;0,004639983;235,20990;97,33799;121,71000;146,91220;35,09256;151,22020;139,48990;123,94050;120,81680
-375;-0,02844624;474,246996813686;-13,4905434865425;0,004493296;234,08230;97,23592;121,20840;146,85180;35,15832;151,56800;139,49510;124,00240;120,81360
-370;-0,02610351;477,488971100837;-12,464136598028;0,004364848;232,89030;97,10704;121,03780;146,77130;35,23083;151,08130;139,47980;124,06590;123,64960
-365;-0,0222645;480,281243952277;-10,6932236415524;0,004254878;231,68160;96,95881;119,68440;146,67490;35,30684;149,43770;139,44740;124,12970;123,81910
-360;-0,01872476;482,524889670873;-9,0351607007274;0,004163146;230,51180;96,80029;119,18400;146,56790;35,38243;149,09880;139,40150;124,19200;126,48430
-355;-0,01650173;484,14358461954;-7,98920467177605;0,004071414;229,44110;96,64148;118,51600;146,45630;35,45336;148,13180;139,34600;124,25120;125,97940
-350;-0,01762179;485,086407263845;-8,54809141053507;0,003998041;228,53030;96,49261;116,67300;146,34650;35,51533;148,29020;139,28410;124,30530;126,48050
-345;-0,01731399;485,329569452706;-8,4029897889803;0,003906369;227,83520;96,36337;115,83770;146,24460;35,56438;147,48710;139,21900;124,35250;125,98700
-340;-0,01568946;484,877053925141;-7,60746140932752;0,003814697;227,40110;96,26213;116,34080;146,15600;35,59726;146,81580;139,15280;124,39120;126,15090
