timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,1068736;826,181139564795;-88,2969570918662;0,01619422;254,54930;124,05990;330,85690;158,62360;21,14194;309,13390;155,52620;130,55450;231,69200
-495;-0,09780193;864,705325234547;-84,5698535222249;0,01569904;255,86240;124,53860;327,68900;158,31290;21,88469;309,48900;155,18850;130,89160;230,69380
-490;-0,09168433;882,097172647752;-80,874485989089;0,01524054;257,74560;124,56370;330,03450;158,97980;21,71417;305,87500;155,38860;131,18010;232,19400
-485;-0,08615525;886,045905487844;-76,3375087222752;0,01481872;259,42740;124,05240;331,88100;158,53910;21,99039;304,40320;155,32260;130,61850;233,19560
-480;-0,08005475;882,193840910318;-70,6238023081039;0,01441524;260,68440;125,28500;333,88240;158,52010;21,89448;302,09820;155,58580;131,51860;232,19910
-475;-0,073018;874,14360012913;-63,8282154574912;0,01404844;262,33400;124,38080;331,06740;158,55760;21,76459;300,29020;156,11430;131,74320;233,20390
-470;-0,06935;864,660238983533;-59,9641849022012;0,01369998;262,48330;123,80750;328,73300;158,53110;22,43765;299,49090;155,84430;131,24240;235,70160
-465;-0,0656478;855,335748399714;-56,1509070979271;0,0133882;263,89140;123,75170;328,40410;158,46290;22,97784;298,19720;156,27480;132,00220;236,54080
-460;-0,06430543;847,114843766683;-54,4740834825651;0,01303974;264,80120;124,46730;329,40370;158,85920;22,99272;296,88840;156,18380;131,59580;237,87330
-455;-0,06364707;840,392436112963;-53,4885163773066;0,0127463;265,52170;124,03710;329,57340;158,62580;22,55990;295,55760;156,32610;131,72520;240,03970
-450;-0,06043223;835,252336893903;-50,4761569274744;0,01243452;266,44920;124,06020;328,07400;159,04820;22,95424;295,08010;156,19080;132,10730;240,54500
-445;-0,05271147;831,548622533958;-43,8321489022929;0,01215942;266,84580;124,74370;327,23330;158,84280;23,17229;293,44560;155,48590;131,89230;239,53630
-440;-0,04717954;828,987049714829;-39,1112293474341;0,01193934;269,23530;124,34190;326,42250;158,82340;23,35531;290,00140;155,81230;132,22400;237,53960
-435;-0,0400915;827,243593864807;-33,1654338127485;0,0117376;271,04070;123,75610;324,59700;158,83370;23,20270;287,36950;156,25720;132,20830;235,37410
-430;-0,03833872;825,98409176024;-31,6671762968079;0,01153586;271,42320;124,27560;322,75460;158,83630;23,13961;283,58980;156,96020;132,57080;232,53770
-425;-0,03886028;824,910833334347;-32,05626672261;0,01135246;272,23070;124,24860;320,41740;159,36000;23,48296;278,35070;157,14630;132,48710;228,70740
-420;-0,03893723;823,783966812076;-32,0758673434291;0,01115072;273,67670;123,82330;320,09810;159,85000;23,39209;276,04940;156,90140;132,67490;225,20270
-415;-0,04111751;822,429642401147;-33,8162601068337;0,01094898;273,48770;123,78480;318,25850;159,75040;23,48043;272,76800;157,32950;132,62110;223,70280
-410;-0,04081826;820,743179402884;-33,5013060502065;0,01074724;273,30860;123,48710;317,09220;159,63150;23,63045;273,26490;156,90470;132,25440;222,52570
-405;-0,03769746;818,682138674054;-30,8622414149531;0,0105455;274,16380;124,22750;321,92890;159,49280;23,75236;274,09070;156,92370;132,68680;222,20270
-400;-0,0327213;816,259601297416;-26,7090733209295;0,01039878;274,50670;124,43700;324,26510;160,40700;23,26138;274,24510;157,00400;132,64080;223,86920
-395;-0,02694997;813,531604349818;-21,9246512217911;0,01025206;273,39480;123,78950;325,92970;160,20280;23,32200;276,86750;157,15410;131,83850;226,02860
-390;-0,02311951;810,584787574184;-18,7403277385855;0,01014202;273,29610;124,19290;327,76510;159,22300;23,69225;280,32590;157,24020;132,08890;226,20170
-385;-0,02222175;807,522851985625;-17,9445731801446;0,01003198;273,23240;123,92300;325,09160;159,59380;23,46555;279,66210;156,88830;132,42530;224,03500
