timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;0,0006241585;10,1756634458086;0,00635122686037779;0,02974746;315,05280;206,24090;83,46047;145,75330;92,66508;58,83887;148,32400;70,05891;21,45828
-495;-0,001547571;9,68925493184223;-0,0149948106726624;0,02974746;316,85610;207,63650;83,63828;145,73840;92,69106;56,00647;148,58320;69,98156;24,75258
-490;0,0001368019;9,4123535107631;0,00128762740431486;0,02974746;317,86310;209,19390;81,64987;145,72850;92,74295;54,33918;148,85110;69,95580;27,38058
-485;0,001615972;9,25672994848556;0,0149586164090829;0,02974746;318,00510;210,87520;81,65768;145,72400;92,81863;51,00467;149,11700;69,98382;28,37478
-480;0,0003420046;9,15962498718967;0,00313263426554397;0,02974746;317,26050;212,63940;78,82528;145,72510;92,91362;48,33777;149,37030;70,06480;32,65208
-475;-0,004309259;9,06820531397798;-0,039077242809927;0,0297291;315,65830;214,44530;78,98148;145,73200;93,02131;47,00307;149,60200;70,19498;34,80198
-470;-0,01271402;8,95599563272901;-0,113866739246193;0,02967408;313,27670;216,25350;82,82338;145,74390;93,13331;43,16957;149,80500;70,36791;35,94588
-465;-0,02225596;8,80399808893017;-0,195941380090452;0,02954569;310,23730;218,02750;84,33147;145,76010;93,24007;39,49707;149,97510;70,57497;38,74308
-460;-0,03131053;8,60788070415151;-0,269517294690736;0,02939901;306,69600;219,73540;87,49068;145,77900;93,33163;37,33357;150,11080;70,80608;40,90018
-455;-0,0369365;8,37052361770855;-0,309177882263167;0,0292156;302,83050;221,35000;89,82417;145,79900;93,39838;35,00027;150,21380;71,05048;41,86248
-450;-0,04200672;8,10199190237871;-0,340338130812672;0,02899554;298,82650;222,84920;92,83737;145,81840;93,43188;31,33487;150,28830;71,29751;42,36128
-445;-0,04960778;7,81731833095944;-0,387799777676582;0,0287571;294,86480;224,21530;94,16348;145,83560;93,42553;28,16327;150,34050;71,53728;42,85028
-440;-0,06171474;7,53339269477236;-0,464921389408657;0,02844533;291,10940;225,43440;95,03057;145,84970;93,37509;26,99717;150,37770;71,76121;44,82658
-435;-0,07869527;7,26880689861015;-0,572020739078513;0,02806017;287,69810;226,49550;93,21548;145,86000;93,27895;23,82827;150,40760;71,96233;46,13738
-430;-0,09638546;7,04151486831474;-0,67869967083298;0,027565;284,73680;227,39010;90,90898;145,86720;93,13817;21,15637;150,43770;72,13546;46,96438
-425;-0,1108523;6,86803067566844;-0,76133671364355;0,02701479;282,29790;228,11200;87,25778;145,87260;92,95615;17,33157;150,47470;72,27708;47,79048
-420;-0,1221555;6,76244312399215;-0,826069709517385;0,02640957;280,42070;228,65700;84,29077;145,87850;92,73814;16,99807;150,52390;72,38521;46,80058
-415;-0,130509;6,73571847634252;-0,879071738172842;0,02574936;279,11670;229,02440;80,47168;145,88810;92,49046;14,83137;150,58940;72,45904;49,60138
-410;-0,1398115;6,79522770890249;-0,950051020744554;0,02505243;278,37550;229,21740;79,80998;145,90530;92,21963;16,16087;150,67360;72,49865;51,58828
-405;-0,1508583;6,94444060965167;-1,04762620555289;0,02430046;278,17240;229,24480;77,14998;145,93420;91,93143;13,32687;150,77790;72,50470;52,89708
-400;-0,1653165;7,18287754606644;-1,18744821810096;0,02347517;278,47580;229,12220;76,00168;145,97890;91,63013;12,33007;150,90260;72,47813;53,73969
-395;-0,1831862;7,50619377016724;-1,37503148092545;0,02255818;279,25390;228,87320;75,33548;146,04300;91,31779;11,66327;151,04680;72,41995;53,23428
-390;-0,198414;7,90643502524554;-1,56874745545585;0,02156782;280,47960;228,52950;74,65338;146,12910;90,99393;12,00107;151,20940;72,33121;56,20628
-385;-0,2074087;8,37241695996059;-1,73651236783536;0,02052245;282,13310;228,13090;73,84538;146,23850;90,65557;12,49707;151,38850;72,21288;56,87278
