timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;0,02926705;789,756276536059;23,1138370763146;-0,004841775;365,05010;149,02470;153,18480;163,82470;19,90841;236,64370;137,90300;139,43560;372,76610
-495;0,02973731;755,72772582459;22,4733073057437;-0,004695058;371,39080;147,48560;147,53380;164,29140;20,67064;236,82780;137,71430;139,63980;372,59740
-490;0,02535537;745,043603577654;18,8908574325069;-0,004566669;382,41310;150,40480;146,71920;164,33990;20,31519;234,52400;137,42790;139,21630;376,76550
-485;0,02059296;748,196421896508;15,4075761274117;-0,004456639;389,34810;149,68030;145,07140;163,09880;21,08533;237,16510;137,14380;138,97640;380,26210
-480;0,01817755;758,457041679645;13,7868892284406;-0,004383281;397,64810;152,48460;145,58590;162,99350;20,89874;239,29540;135,98750;139,24310;381,43690
-475;0,01927196;770,869821590837;14,8561745542047;-0,004273236;406,09560;152,20810;143,94500;162,70470;21,13980;240,28420;135,72510;139,10640;385,60580
-470;0,02303401;782,601075162643;18,0264444197989;-0,004163206;416,26310;154,68820;142,45910;162,84010;21,08429;240,94230;135,25420;139,44400;386,94500
-465;0,0257615;791,888354258858;20,4002331781895;-0,004034817;417,62370;155,75120;143,79450;161,74040;21,04990;242,58050;134,70460;139,16560;390,94360
-460;0,02409423;797,978156899947;19,2266684507831;-0,003906444;421,66320;157,58130;143,30610;161,35220;21,27281;243,73290;134,27820;138,94230;394,61410
-455;0,02333327;800,738898627767;18,6838555919213;-0,003796399;416,63700;160,18700;147,28920;160,61700;21,22495;247,99780;134,70310;138,84910;395,44510
-450;0,02273476;800,512489923503;18,1994593602832;-0,003686339;415,10510;158,79010;148,96490;160,61590;21,24138;250,29780;134,22490;138,76580;395,12180
-445;0,02447898;797,891238831812;19,5315671169813;-0,00355798;414,10350;158,09270;151,14040;160,63270;20,55377;252,24650;134,16780;138,35980;394,94290
-440;0,02631726;793,564015518991;20,8844301992969;-0,003429592;410,07540;158,43230;150,79200;160,52520;20,56183;254,70870;134,02420;138,54330;393,28070
-435;0,02516299;788,260780853432;19,8350010096504;-0,003301218;408,44160;158,69220;149,78460;160,57780;20,61484;254,05370;134,17280;138,43480;391,11080
-430;0,021666;782,648290398167;16,9568546588694;-0,003191173;408,98390;159,25830;146,60020;160,23350;20,31628;252,56340;134,55710;138,44260;388,61120
-425;0,01876751;777,294863383319;14,5878862597691;-0,003099471;411,20090;158,34410;144,43910;160,47250;20,47480;251,91370;134,08110;138,86320;384,77480
-420;0,01936601;772,643912773008;14,9630333164092;-0,00300777;413,00400;158,36420;141,76200;160,34620;20,40116;248,95760;134,50040;138,56390;384,27110
-415;0,02128124;769,001406868138;16,3653039873468;-0,002897725;412,88570;156,89700;140,43710;161,14220;20,12456;247,14580;134,82960;138,70180;381,60680
-410;0,02447898;766,539202845615;18,7641008037904;-0,002769351;409,76660;155,30950;138,75630;161,28990;19,94020;245,50310;134,91170;138,80980;378,26490
-405;0,02414553;765,303804931658;18,4786657289804;-0,002659306;406,54670;154,44660;135,23430;161,87490;20,51473;246,34170;134,89490;138,81130;376,93140
-400;0,02319647;765,236048879771;17,7507726261422;-0,002530932;400,34560;155,33030;134,04310;161,62820;20,24665;246,98920;135,29640;139,24310;374,43440
-395;0,02120429;766,191670755372;16,2465499962105;-0,002439231;388,97860;152,35380;133,85570;162,39470;20,49914;247,82010;135,48330;138,88320;374,26500
-390;0,01957122;767,965348378287;15,0300168754859;-0,002329201;385,29590;152,07170;133,67310;162,52930;20,16425;249,28430;135,19130;138,68100;375,76240
-385;0,01595452;770,314011326546;12,289988744583;-0,002255827;377,09870;151,70700;136,32950;162,78740;20,06167;250,59910;136,00880;138,66950;376,93050
-380;0,01360324;772,980074100274;10,5150303467991;-0,002182469;376,63280;152,15660;137,49580;161,88740;20,41251;251,42530;135,98770;138,98650;374,93230
-375;0,01211552;775,711843292122;9,39814907934289;-0,002127454;374,81820;150,32930;137,16030;162,47040;19,90117;249,93350;135,93280;138,87310;375,42460
-370;0,01518501;778,281204081684;11,8182059665956;-0,002054095;373,65140;149,16660;135,82850;162,90910;19,62206;248,12110;136,53910;139,22380;374,10000
-365;0,01697198;780,497723681571;13,2465934271472;-0,001962394;368,78130;149,86640;139,15110;163,70990;19,63710;246,65180;136,72490;139,14450;373,93400
-360;0,01829725;782,218882603065;14,3124548712519;-0,001870692;367,21630;148,21500;139,48900;163,10690;20,19342;245,01910;136,51600;139,51330;371,43140
-355;0,01569802;783,356310461275;12,297138938111;-0,001797333;364,78630;150,18300;139,64400;163,64950;20,44063;243,39000;137,49960;139,62810;368,10050
-350;0,01343223;783,878077762428;10,529233535087;-0,001723975;365,25590;148,52870;139,98070;164,47770;20,11789;240,75710;137,86170;139,74610;364,77090
-345;0,01245752;783,807261493178;9,76429488956293;-0,001668945;359,13330;147,61980;140,79860;164,82270;19,77347;238,28580;137,52880;139,60470;361,92610
-340;0,01330398;783,217139678843;10,4199066676222;-0,001595587;355,41190;146,28190;139,62930;164,11250;19,82605;237,62680;137,19260;139,42070;359,75930
-335;0,01604002;782,326304942167;12,5485292451887;-0,001522243;351,91160;146,11100;142,62120;163,84490;20,00861;239,44010;137,83380;139,57030;358,42360
-330;0,0182545;779,272264998962;14,2252254173828;-0,001430526;347,27700;145,65840;143,44300;164,78730;19,85594;238,61550;137,75960;139,45890;356,24890
-325;0,01624522;778,573884511957;12,6481056118824;-0,001338825;346,17760;146,30510;144,44080;164,41820;19,39710;237,45190;137,42370;139,38100;354,74710
-320;0,01254302;780,703431010192;9,79237979268768;-0,001283824;344,47170;145,72540;144,61020;165,08150;19,27459;237,61590;137,59740;139,64190;351,25420
-315;0,007763506;784,380870179589;6,08954571635079;-0,001247138;341,44210;145,49870;147,27020;164,10210;19,72097;241,56320;137,53990;139,40520;352,41770
-310;0,006352737;787,714855171583;5,00414530331844;-0,001210451;337,03010;145,82590;150,59250;164,68760;19,33056;242,37640;137,67570;139,51490;353,08370
-305;0,008917772;787,435440027999;7,02216965351235;-0,001173779;331,05310;146,87370;152,74280;164,63040;19,64372;243,86050;137,69280;138,97210;355,40970
-300;0,009336728;786,026355245735;7,33891371426182;-0,001118749;330,80520;145,87640;155,41480;164,29460;19,28019;244,34050;138,08070;139,32200;355,08730
-295;0,01019174;786,240884558609;8,01316196639526;-0,001063719;325,14790;147,26300;158,40550;164,20580;19,83464;248,13040;138,02510;138,95960;356,58050
-290;0,0109698;787,37456977557;8,63734151512759;-0,001027063;322,38930;147,60560;161,22020;163,92470;19,22858;249,09740;138,22640;138,78380;357,40950
-285;0,01138021;792,133747180093;9,01464497059237;-0,0009536892;321,54190;147,11580;163,39750;164,14000;19,41877;250,74630;137,83350;139,16910;357,75020
-280;0,01155976;794,672418384869;9,18622067410582;-0,0008986741;317,40350;147,59650;164,04780;164,12620;19,22752;251,89190;138,29790;138,80870;359,24570
-275;0,01177351;794,931525775609;9,35913461942816;-0,0008436441;314,09510;146,94360;166,37500;164,09050;19,30529;252,22020;138,16670;139,02820;359,24820
-270;0,01113225;795,37920611997;8,85436166821788;-0,0007886291;310,39230;148,02490;168,35920;164,15080;18,83282;251,55000;138,16600;139,57440;359,92070
-265;0,01364599;797,08123072426;10,8769598496592;-0,0007152706;310,31880;146,08670;170,21540;164,09380;19,67522;254,20350;138,43030;139,27790;361,25580
-260;0,01582627;800,763408493655;12,6730952226813;-0,0006419122;307,79580;145,62850;170,69750;164,30960;19,32538;254,68300;137,92870;139,05620;363,91920
-255;0,01748499;804,849229202699;14,0727801742705;-0,0005502105;303,52830;146,61400;174,02400;164,09270;19,45924;256,98350;138,06080;138,87450;364,58440
-250;0,01876751;806,907047289638;15,143633397366;-0,0004585236;300,35970;147,16370;176,17340;163,83940;19,83190;258,79980;138,12960;139,02450;366,08830
-245;0,01855375;806,356536158485;14,9609406173656;-0,000366807;298,00150;145,56480;178,51410;163,30290;19,32294;258,78230;137,68060;139,14320;365,58870
-240;0,01671548;805,868697408518;13,4704811507767;-0,0002751052;295,60830;147,16760;179,00340;163,45510;19,54957;257,14980;138,32110;139,08810;365,91660
-235;0,01672403;805,782417897443;13,4759284285262;-0,0002017617;293,09470;145,77790;181,50210;164,09270;19,61734;258,95960;138,19540;138,96200;366,25010
-230;0,0182545;809,237884043447;14,7722325060377;-0,0001100451;290,24540;146,35420;181,98870;163,73550;19,41353;258,95180;138,18400;139,20000;363,92070
-225;0,02093924;812,799090041485;17,0193917330917;0,00000;288,72960;147,27640;181,64210;163,95600;19,57928;259,44930;137,67230;138,96770;363,58070
-220;0,0217515;813,746058221921;17,7001943077735;0,0001100302;288,17110;147,83360;182,97180;163,60100;19,47759;259,44510;138,30420;139,38610;361,91940
-215;0,02239276;808,774485954118;18,1106890290859;0,0002200752;285,83990;146,88460;184,13630;164,02070;19,52871;258,79350;137,79030;139,02370;361,91910
-210;0,02423103;801,792031286644;19,4282474601536;0,0003301054;285,04610;147,95940;185,63570;164,06670;19,33377;257,31020;138,17020;138,90060;359,57540
-205;0,02566745;793,22075626243;20,3599546909708;0,0004768372;285,31510;147,43260;185,46300;163,53400;19,64063;257,31870;137,96940;139,00180;358,74930
-200;0,02730052;790,31167706417;21,5759224456323;0,0006052107;285,83580;147,31810;184,79680;163,97870;19,24653;254,35130;137,89670;139,23320;357,58720
