timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,000142502;615,343299043505;-0,0876876207530756;-0,002384193;276,59770;135,76250;123,19710;135,39110;26,90881;191,80960;132,41050;132,51500;245,03570
-495;0,0003063792;603,473550479435;0,184891740608999;-0,002384193;274,15310;137,19320;126,69330;136,14410;27,63020;193,46760;132,41370;132,30170;245,02900
-490;0,00006697592;601,564853095079;0,0402903577010289;-0,002384193;273,06560;135,23480;127,19910;134,45900;27,26542;193,12440;133,12740;132,27810;246,86670
-485;-0,0002821539;605,091838651813;-0,170728999936909;-0,002384193;276,81070;134,99580;129,21210;136,15470;27,99045;193,80450;133,33580;132,02920;247,52940
-480;-0,0003420047;610,95336647424;-0,208948912311447;-0,002384193;276,45980;135,28100;129,37610;135,37530;27,63729;191,49310;133,09160;132,39810;249,03060
-475;-0,00008550117;616,852634300611;-0,0527416223833039;-0,002384193;279,67270;132,69870;129,23400;136,55900;27,88027;189,86270;133,18150;132,27500;248,86340
-470;0,001197016;621,666326936355;0,744144782346786;-0,002384193;281,85540;135,00020;131,89910;135,63460;27,17022;187,05190;132,60620;132,66360;248,53680
-465;0,002385483;624,749989225729;1,4903302524901;-0,002365865;284,34960;134,03900;131,07340;135,73750;27,71189;186,24130;133,01530;132,69240;249,87520
-460;0,003325996;625,952918283146;2,08191665541855;-0,002347521;288,22060;132,18110;131,59540;136,47640;27,81328;185,59140;133,15930;132,56520;251,70220
-455;0,004993268;625,400898286741;3,12279453353921;-0,002329178;287,52900;133,53770;131,58490;136,53260;27,61839;182,13900;133,08010;132,61630;252,20120
-450;0,007079497;623,434685872512;4,41360383560334;-0,002292506;291,07930;133,54820;131,59390;136,67250;28,69383;182,65360;132,76710;133,12610;251,03960
-445;0,01036274;620,480740008347;6,42988140832276;-0,002237476;289,55040;134,12170;133,26120;135,87550;28,89748;181,33850;133,23020;132,68990;250,86850
-440;0,01138876;616,973116692233;7,02655579496691;-0,002182461;289,65630;131,15130;131,26830;137,14090;28,33269;180,34930;133,13060;132,88210;250,70640
-435;0,01061924;613,33674280797;6,51317304191413;-0,002127446;290,06020;131,08170;130,43720;137,37160;28,04689;179,35630;133,44780;132,71890;252,20570
-430;0,00802001;609,930306909746;4,89164693671923;-0,00209076;291,15400;133,65880;130,59190;137,10220;28,34922;178,37710;134,06810;132,91390;251,03880
-425;0,006096234;607,034704069593;3,70062529092221;-0,002054088;294,11040;133,78240;129,59830;136,73750;28,86094;178,88230;133,56200;132,69920;253,03520
-420;0,005463525;604,844343559129;3,30458211531884;-0,002035744;294,99550;134,19490;131,43830;136,55100;28,70407;177,06590;133,48330;133,50590;253,88030
-415;0,006309987;603,464863894999;3,80785506799292;-0,001999058;300,06240;133,52090;130,78500;136,82940;29,09810;177,40590;133,26320;133,50950;256,04590
-410;0,007079497;602,920181967312;4,26837157975888;-0,001962371;299,77250;131,72630;130,28640;136,68010;28,78648;176,57760;133,51660;133,28530;259,05170
-405;0,007806257;603,161105382799;4,70843053171326;-0,001925699;300,87680;133,75110;130,11850;137,20700;28,93696;176,58320;133,17760;134,08900;260,05570
-400;0,007207748;604,080547727009;4,35406077664053;-0,001889028;308,45210;133,48010;129,96950;136,51430;29,29018;174,45370;132,81530;133,57970;263,22170
-395;0,007336;605,527962104825;4,4421534002055;-0,001852341;309,47480;133,46270;128,63020;136,49340;29,36218;173,14290;133,03280;133,73300;264,89240
-390;0,007464252;607,325546467562;4,53323103289038;-0,001815669;314,84990;132,85740;128,82060;136,74320;29,98767;172,17010;132,95620;134,07650;265,39270
-385;0,006993996;609,283259785136;4,26132457734207;-0,001778983;320,33730;133,98520;128,66590;136,21240;30,84098;172,51160;133,37790;134,04980;268,39640
-380;0,007250499;611,213511994645;4,43160313586156;-0,001742296;321,17310;133,86410;128,33160;137,38250;30,09204;170,69350;133,04890;133,71950;269,06090
-375;0,008533017;612,943622186296;5,23025813789109;-0,001705624;320,43420;132,93080;128,33460;136,73030;30,19556;171,84340;133,32580;133,89050;269,90080
-370;0,009593231;614,326331678642;5,89337428180491;-0,001650609;318,75680;132,98290;127,83060;136,31660;30,34152;171,02560;132,98540;134,58960;266,73420
-365;0,011004;615,247844095391;6,77018723845796;-0,001595579;318,97610;133,66990;127,15420;136,05380;29,67093;171,34120;132,88650;134,44720;266,23190
-360;0,01228652;615,633267607968;7,56398900553295;-0,001540564;320,40100;132,83920;124,82850;135,39820;30,22871;172,49490;132,48260;134,06010;267,39580
-355;0,01368874;615,44942238604;8,42472548899642;-0,001467206;315,53700;134,54030;124,96700;136,22240;29,72161;172,82090;132,29960;133,73450;267,06440
-350;0,01518501;614,705075401926;9,33430141637905;-0,001393847;316,66100;132,34430;124,81980;136,37650;29,82616;173,97170;132,75690;133,90760;267,89800
-345;0,01403074;613,448763063718;8,60714129870483;-0,001320481;314,24880;133,54230;125,47820;135,99420;29,83472;174,79080;133,08240;133,35300;270,39600
-340;0,01087575;611,764442511622;6,65339627759922;-0,001265466;316,87370;133,53080;124,14310;135,21590;30,16901;175,45010;132,61890;133,73480;269,23110
-335;0,008447516;609,740231493272;5,15079000842118;-0,00122878;317,91520;134,14490;123,14440;134,72600;30,59606;176,44360;132,48950;133,78780;270,89980
-330;0,006438238;607,05373724631;3,90835655729171;-0,0011921;322,35600;133,92090;121,15570;134,96550;30,41144;175,78310;132,29620;134,01890;270,23960
-325;0,007507003;605,705567905063;4,54703339661049;-0,001155429;320,74550;134,31640;120,30150;135,34290;29,80693;174,95380;131,80860;133,91510;271,23850
-320;0,008148261;604,241992966282;4,92352171553472;-0,001118742;320,50200;135,08410;120,97700;135,76010;30,32428;175,45990;132,59590;133,95850;271,73600
-315;0,009122974;604,26921377408;5,51273267287622;-0,001063719;323,94020;133,71980;119,98430;134,67920;30,13397;174,79370;132,09960;134,01880;272,40270
-310;0,009772783;604,075105226633;5,90349512881865;-0,001027048;324,51620;133,77690;119,48210;134,97270;31,00984;175,79610;132,04520;133,92830;273,57530
-305;0,008524466;603,852332975362;5,14751896422082;-0,0009720251;322,28460;136,17480;119,14090;134,59730;30,47756;176,27890;131,69510;133,80320;273,24190
-300;0,008746769;604,0241740038;5,28326027300303;-0,0009353384;321,84060;133,76470;118,13980;135,61340;29,75118;175,28160;131,50220;134,12950;272,57880
-295;0,008490266;605,86728084572;5,14397434940794;-0,0008986667;323,09840;138,17900;119,13130;135,29860;30,02242;178,07870;131,55380;134,12370;271,40910
-290;0,007712205;607,944338074179;4,68859160421267;-0,0008436441;323,76180;136,12520;118,30740;134,27800;29,76259;178,72610;131,92890;133,63220;272,40560
-285;0,006831544;610,597503229957;4,17132327904887;-0,0008253008;319,24350;135,35020;117,62830;134,47080;29,61287;180,53250;131,15260;133,61830;272,24200
-280;0,005283972;611,183533940374;3,22947686388498;-0,0007886216;317,97740;137,02880;116,61820;134,87850;29,62445;181,35530;131,71490;134,09320;271,07890
-275;0,004950518;611,396027015114;3,02672695933854;-0,0007702783;320,37240;136,52420;116,62630;134,54710;29,95990;182,84020;131,61480;133,62550;273,41030
-270;0,007250499;611,146120770456;4,43111449096182;-0,0007336065;313,70470;136,85730;117,60820;134,89900;29,75020;182,34080;132,00600;134,00220;272,24640
-265;0,006822994;612,195610590809;4,1770066090977;-0,0006969199;315,27500;134,31190;117,61990;134,06920;29,79739;183,81930;131,72470;133,70010;274,24190
-260;0,006181735;613,254006969607;3,79097359399485;-0,0006602407;311,59400;136,05700;119,61130;134,45000;29,62877;183,98130;131,29370;133,68550;274,07820
-255;0,006062033;613,939548191301;3,7217217578591;-0,0006418973;315,35600;139,56290;118,77750;133,81810;29,93960;183,82120;131,12050;134,16500;274,08250
-250;0,006865744;613,835433394673;4,21443686838499;-0,0006052256;313,61900;136,97270;117,94010;135,23690;29,95546;184,65220;131,11650;133,52600;276,58100
-245;0,008994723;613,438145809611;5,51770607229171;-0,000550203;315,74880;137,50170;120,11920;133,78520;30,10959;186,29030;130,75670;133,84870;275,91420
-240;0,009644532;612,676634856617;5,90897922986266;-0,0005135164;315,83970;138,48180;117,10930;134,26600;29,79466;185,63070;131,01770;133,38680;276,07870
