timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,2014037;735,807004775282;-148,194244341093;0,06165922;282,13790;550,77210;191,42390;149,39000;64,36185;219,33580;143,97690;107,75850;259,19810
-495;-0,2142674;577,681535182852;-123,778294766507;0,06059527;279,28400;546,53340;186,09940;149,42040;64,38223;211,34760;144,03860;107,77400;259,20670
-490;-0,2322269;504,693045799482;-117,203288498263;0,05942166;276,36410;542,17150;181,46090;149,44950;64,40501;208,34530;144,11420;107,78910;260,21100
-485;-0,2510101;482,770636762837;-121,180281292252;0,05817449;273,40980;537,62970;178,80360;149,47700;64,42984;208,51790;144,20320;107,80430;264,34630
-480;-0,267935;488,26521317626;-130,823340585424;0,05683565;270,45030;532,87380;179,14360;149,50280;64,45672;206,35270;144,30410;107,82030;269,18050
-475;-0,2812817;504,807395162806;-141,993098440515;0,0554235;267,50920;527,89920;180,65650;149,52680;64,48599;202,69720;144,41430;107,83800;272,16780
-470;-0,293782;522,92538540458;-153,626072174034;0,05395627;264,60300;522,73300;180,00200;149,54870;64,51826;200,36640;144,53050;107,85830;274,49320
-465;-0,3055555;537,250089206305;-164,159730047173;0,05243409;261,73940;517,43270;177,35250;149,56830;64,55428;195,70280;144,64910;107,88210;278,31570
-460;-0,3180045;545,830334439284;-173,576495378562;0,05083847;258,91840;512,08030;172,86600;149,58570;64,59486;190,53840;144,76620;107,91020;283,78890
-455;-0,3334032;548,809460040618;-182,974851240492;0,04916954;256,13340;506,77410;175,05950;149,60080;64,64082;185,72100;144,87810;107,94320;287,79280
-450;-0,3505975;547,749177962957;-192,039505683085;0,04742706;253,37360;501,61810;177,23860;149,61380;64,69282;184,22380;144,98180;107,98150;291,12400
-445;-0,368416;544,931515987444;-200,761474824888;0,04557478;250,62750;496,71190;176,25370;149,62490;64,75134;180,57490;145,07480;108,02500;294,96150
-440;-0,3862088;542,817383021156;-209,6408347845;0,04364932;247,88520;492,14080;174,09770;149,63470;64,81655;179,73410;145,15590;108,07370;300,27460
-435;-0,3989998;543,795299941869;-216,974184906467;0,0416503;245,14150;487,96970;173,44470;149,64350;64,88820;178,25020;145,22480;108,12690;304,93170
-430;-0,4098327;549,880401273631;-225,358996887715;0,0395962;242,39770;484,23780;174,61040;149,65190;64,96556;179,58050;145,28210;108,18370;308,41650
-425;-0,4214866;562,595159973543;-237,126298808161;0,03750527;239,66240;480,95870;179,09870;149,66040;65,04739;182,40900;145,32920;108,24290;309,90360
-420;-0,4341407;582,898275023609;-253,059885842393;0,0353229;236,95150;478,12240;181,91820;149,66930;65,13187;188,23330;145,36850;108,30270;312,21570
-415;-0,4441273;611,170621205642;-271,437539527396;0,03310359;234,28650;475,70060;183,89640;149,67870;65,21674;192,55710;145,40230;108,36120;311,68910
-410;-0,450822;647,248453499011;-291,793846242522;0,03084803;231,69250;473,65380;188,36520;149,68860;65,29927;200,04120;145,43340;108,41600;311,49840
-405;-0,449206;690,482052149154;-310,168694645205;0,02861035;229,19530;471,93930;194,66260;149,69860;65,37649;208,02950;145,46410;108,46470;311,81290
-400;-0,4442042;739,821627558026;-328,631871525512;0,02637291;226,81810;470,51890;204,13000;149,70780;65,44531;216,51130;145,49620;108,50450;311,79870
