timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,3556449;803,009693692944;-285,586344939974;0,06219095;403,82970;585,12880;170,02780;119,50370;107,14690;206,40950;142,84090;40,79366;330,06730
-495;-0,3347185;812,152537898549;-271,842502657711;0,06052196;403,02860;583,61360;174,33950;119,63200;107,10970;206,07680;142,95260;40,73740;324,01590
-490;-0,3208331;811,778846839278;-260,445559045223;0,0589081;401,82880;582,02890;175,74380;119,76990;107,07230;208,59260;143,07180;40,68183;317,94130
-485;-0,3134216;806,76042487797;-252,856163695315;0,05734921;400,26190;580,51170;175,05310;119,91410;107,03700;212,93530;143,19400;40,62916;312,52500
-480;-0,3108395;800,38570305566;-248,791487554219;0,05579031;398,38820;579,20510;184,33870;120,06060;107,00610;215,10300;143,31410;40,58171;309,60060
-475;-0,3115321;794,067100086619;-247,377348402131;0,05424976;396,29310;578,24470;185,88020;120,20540;106,98210;215,94640;143,42750;40,54178;309,09560
-470;-0,3069919;788,827214034847;-242,163593133936;0,0526908;394,08140;577,74590;184,16830;120,34470;106,96720;217,27870;143,52980;40,51158;310,09090
-465;-0,2972363;784,662708946227;-233,230200956168;0,05120528;391,86990;577,79130;184,67160;120,47480;106,96350;216,28070;143,61730;40,49305;310,89890
-460;-0,2836416;781,36893336196;-221,628706253482;0,04981142;389,77850;578,42100;187,96550;120,59220;106,97270;210,60140;143,68720;40,48772;313,04520
-455;-0,2697562;778,427086584784;-209,985516749766;0,04843593;387,92090;579,62590;186,06060;120,69400;106,99550;206,08540;143,73750;40,49652;313,68480
-450;-0,26248;775,278462332834;-203,495117152661;0,0471338;386,39590;581,34560;183,43530;120,77800;107,03220;202,07190;143,76770;40,51966;314,17790
-445;-0,2626083;771,423174808678;-202,582117799114;0,04583168;385,27870;583,47120;181,55330;120,84250;107,08170;197,22020;143,77810;40,55652;315,82730
-440;-0,2632837;766,412963153838;-201,784071170282;0,0445112;384,61580;585,85250;178,10430;120,88650;107,14190;195,21800;143,77040;40,60562;314,98690
-435;-0,2635317;759,980390998147;-200,278914865484;0,04317236;384,42020;588,31020;180,71550;120,90980;107,20960;193,20840;143,74720;40,66460;315,47140
-430;-0,2574525;752,003008168098;-193,605096670054;0,04190695;384,67120;590,65090;176,41390;120,91290;107,28060;191,53340;143,71170;40,73041;313,16910
-425;-0,24874;742,526492591572;-184,696037816006;0,04065979;385,31590;592,68540;176,38480;120,89670;107,35010;190,53670;143,66790;40,79943;309,39550
-420;-0,24072;731,749428342376;-176,146715925676;0,03944933;386,27390;594,24590;174,64900;120,86280;107,41280;188,19230;143,62000;40,86779;303,97720
-415;-0,2357353;720,002257682045;-169,729924493711;0,0382756;387,44370;595,20320;173,27650;120,81320;107,46380;187,35060;143,57200;40,93163;299,54490
-410;-0,2305282;707,719563612621;-163,149344247697;0,03712016;388,71190;595,48070;169,66740;120,75040;107,49880;187,19240;143,52780;40,98745;294,77980
-405;-0,2318108;695,406409271653;-161,202685902464;0,03596473;389,96240;595,06240;169,84430;120,67710;107,51460;186,01270;143,49060;41,03244;289,53530
-400;-0,235949;683,606771769294;-161,296346231275;0,03479099;391,08570;593,99760;167,76840;120,59640;107,50950;184,52200;143,46310;41,06472;286,23660
-395;-0,2388817;672,870129154418;-160,736371808158;0,0335806;391,98780;592,39640;166,22160;120,51150;107,48370;185,68120;143,44700;41,08351;286,90780
-390;-0,2397025;663,720910459206;-159,095580630446;0,03238845;392,59760;590,42130;164,67540;120,42580;107,43930;186,01390;143,44330;41,08926;287,41170
-385;-0,2399163;656,630682765235;-157,536388244658;0,03119636;392,87150;588,27200;160,17810;120,34290;107,38010;182,00520;143,45220;41,08359;286,07780
