timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;0,00000;305,882392093825;0,00000;-0,0002199411;74,98375;101,42310;64,10361;113,61070;31,64293;104,78920;103,29790;137,26430;99,41509
-495;0,00000;303,670808270873;0,00000;-0,0002199411;74,03888;101,26780;64,26941;112,84170;31,76693;103,64310;103,29820;137,26420;100,91690
-490;0,00000;302,669010137832;0,00000;-0,0002199411;73,58958;101,18350;63,77441;112,08230;31,88228;104,80200;103,29830;137,26410;101,08230
-485;0,00000;302,492999773252;0,00000;-0,0002199411;73,64982;101,17360;61,42381;111,34400;31,98781;101,66400;103,29820;137,26400;102,58480
-480;0,00000;302,866294886275;0,00000;-0,0002199411;74,20901;101,23990;61,60371;110,63770;32,08310;103,32610;103,29770;137,26390;101,75160
-475;0,00000;303,430595921672;0,00000;-0,0002199411;75,23390;101,38130;62,93192;109,97320;32,16841;102,49430;103,29700;137,26380;102,75280
-470;0,00000;304,069820713012;0,00000;-0,0002199411;76,67150;101,59390;61,59681;109,35840;32,24452;103,15460;103,29610;137,26380;102,41970
-465;0,00000;304,639346672659;0,00000;-0,0002199411;78,45303;101,86990;63,08481;108,79940;32,31256;102,83360;103,29510;137,26370;101,58780
-460;0,00000;305,072812975758;0,00000;-0,0002199411;80,49836;102,19810;63,60051;108,29990;32,37376;103,64090;103,29400;137,26370;102,75540
-455;0,00000;305,324954677499;0,00000;-0,0002199411;82,72064;102,56380;63,44761;107,86090;32,42930;104,14740;103,29290;137,26370;101,75910
-450;0,00000;305,39435286523;0,00000;-0,0002199411;85,03099;102,94890;64,62111;107,48080;32,48009;103,64590;103,29200;137,26370;102,09090
-445;0,00000;305,29887970201;0,00000;-0,0002199411;87,34270;103,33310;63,78281;107,15580;32,52668;104,15000;103,29140;137,26380;101,92180
-440;0,00000;305,060622776022;0,00000;-0,0002199411;89,57507;103,69450;64,96261;106,87950;32,56910;103,98470;103,29120;137,26400;103,09030
-435;0,00000;304,719320665242;0,00000;-0,0002199411;91,65649;104,01130;64,79382;106,64410;32,60688;103,31690;103,29140;137,26410;102,75920
-430;0,00000;304,314257641988;0,00000;-0,0002199411;93,52699;104,26250;65,78711;106,44080;32,63908;105,13300;103,29210;137,26430;103,75750
-425;0,00000;303,885357637904;0,00000;-0,0002199411;95,13995;104,42930;66,29051;106,26040;32,66430;104,62330;103,29320;137,26440;101,75400
-420;0,00000;303,470290503284;0,00000;-0,0002199411;96,46329;104,49700;66,96001;106,09420;32,68087;104,95020;103,29460;137,26460;102,41610
-415;0,00000;303,101655201663;0,00000;-0,0002199411;97,47991;104,45490;65,79071;105,93480;32,68697;105,77200;103,29630;137,26460;101,08700
-410;0,00000;302,806092018089;0,00000;-0,0002199411;98,18754;104,29820;66,64851;105,77650;32,68077;107,09350;103,29810;137,26470;101,41510
-405;0,00000;302,602531691205;0,00000;-0,0002199411;98,59785;104,02750;66,13522;105,61590;32,66064;107,41940;103,29990;137,26470;100,92200
-400;0,00000;302,502691476021;0,00000;-0,0002199411;98,73485;103,64950;67,45982;105,45210;32,62532;107,74310;103,30130;137,26460;101,92090
-395;0,00000;302,510787018975;0,00000;-0,0002199411;98,63272;103,17640;68,30651;105,28650;32,57399;109,57130;103,30240;137,26450;102,08740
-390;0,00000;302,624165306939;0,00000;-0,0002199411;98,33296;102,62490;67,46851;105,12280;32,50647;109,22960;103,30280;137,26430;103,08910
-385;0,00000;302,833834044394;0,00000;-0,0002199411;97,88126;102,01550;66,96631;104,96660;32,42325;110,22760;103,30260;137,26400;103,59080
-380;0,00000;303,125602558859;0,00000;-0,0002199411;97,32432;101,37110;68,29601;104,82440;32,32552;110,21380;103,30160;137,26380;102,92390
-375;0,00000;303,481126509518;0,00000;-0,0002199411;96,70695;100,71520;67,46221;104,70360;32,21512;109,71690;103,29990;137,26350;103,58930
-370;0,00000;303,879153135069;0,00000;-0,0002199411;96,06986;100,07090;68,46181;104,61130;32,09446;110,20950;103,29760;137,26330;103,92910
-365;0,00000;304,296794527955;0,00000;-0,0002199411;95,44827;99,45910;67,79951;104,55410;31,96636;109,54770;103,29480;137,26320;103,42830
-360;0,00000;304,710794572992;0,00000;-0,0002199411;94,87173;98,89783;67,95602;104,53760;31,83385;110,53590;103,29190;137,26310;105,25810
-355;0,00000;305,098743987635;0,00000;-0,0002199411;94,36491;98,40110;68,80212;104,56580;31,69994;111,35660;103,28900;137,26310;104,09390
-350;0,00000;305,44019944627;0,00000;-0,0002199411;93,94926;97,97872;69,29652;104,64160;31,56738;111,85570;103,28660;137,26320;104,92120
-345;0,00000;305,717669776741;0,00000;-0,0002199411;93,64525;97,63627;67,28621;104,76610;31,43852;111,68290;103,28480;137,26340;104,76110
-340;0,00000;305,917437006546;0,00000;-0,0002199411;93,47463;97,37551;66,79871;104,93910;31,31515;111,36430;103,28400;137,26370;105,26240
-335;0,0001282518;306,091688843092;0,0392567966073452;-0,0002199411;93,46220;97,19513;65,29572;105,15920;31,19845;112,36700;103,28420;137,26410;106,25640
-330;-0,0004702564;306,266997523691;-0,144024027596104;-0,0002199411;93,63676;97,09173;66,79781;105,42440;31,08902;110,54290;103,28570;137,26450;106,76740
-325;0,0002565035;306,320748509356;0,0785723478235665;-0,0002199411;94,03069;97,06084;66,95971;105,73190;30,98699;111,70230;103,28840;137,26490;105,92760
-320;0,001154266;306,630757874446;0,353933398415244;-0,0002199411;94,67850;97,09803;66,95941;106,07890;30,89211;110,87960;103,29200;137,26530;106,76200
-315;0,001658723;306,756354192092;0,508823731631668;-0,0002015829;95,61389;97,19975;68,61711;106,46260;30,80400;109,89180;103,29640;137,26550;106,42850
