timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;0,03322575;639,020461932461;21,2319352195847;0,003631324;308,65780;133,65950;387,90400;141,82880;106,31050;160,02730;158,02290;34,76370;142,54990
-495;0,02513307;679,869098828599;17,0871968117119;0,003759712;310,35530;134,15390;386,08260;141,82380;106,30980;160,02590;158,52470;36,09871;142,39030
-490;0,02582563;694,715383372742;17,9414613021022;0,0038881;311,51120;134,40500;382,23800;141,97230;107,06420;160,87080;158,82430;35,86477;138,88900
-485;0,02971166;693,987609798623;20,6195207833022;0,004034787;312,33200;135,35980;378,22370;141,40440;107,33950;160,21160;159,67180;36,78557;137,56640
-480;0,03296925;685,265050674167;22,5926740836585;0,004199862;314,10430;136,09750;374,89120;140,81190;107,16740;161,19730;158,48170;36,81398;138,89330
-475;0,033354;673,406510124948;22,4608031768596;0,004364938;314,28010;136,35060;372,88690;140,82320;107,32210;162,19780;158,89890;36,34302;137,06130
-470;0,03164398;661,871356042499;20,944244341366;0,004529983;315,39020;137,28010;370,38100;141,10930;107,53010;162,86610;157,99860;36,85935;138,72790
-465;0,02807003;652,503065382624;18,315782586636;0,004658371;316,75310;138,01060;366,70940;140,81030;107,99450;163,86370;157,97020;37,74681;137,57090
-460;0,02353847;646,22771598646;15,2112129142584;0,00478676;319,14290;138,00590;360,72320;141,37920;107,62200;164,19240;158,17940;37,85447;138,56790
-455;0,01936601;643,195480520252;12,4561333439943;0,004878461;320,33340;139,59710;357,03450;139,97910;107,98350;164,85830;158,33420;38,54694;136,07330
-450;0,01539876;643,105522467661;9,90302790720502;0,004951835;321,34300;140,26230;351,52530;140,94310;107,79670;167,34100;158,19380;37,23763;135,90190
-445;0,008909222;645,37230464176;5,74976496984227;0,00500682;322,83950;141,06630;347,85670;140,66910;107,69670;167,00740;157,99370;37,96764;136,07330
-440;0,004608513;649,240894192086;2,99203502730018;0,005025148;323,16220;141,81740;345,18170;139,55430;108,04950;167,66940;156,28950;37,60981;134,57340
-435;0,001282517;653,952560334407;0,838705605115707;0,005025148;322,83270;142,46930;342,33190;140,11020;108,09340;168,33580;157,48070;38,14599;134,73750
-430;0,00221448;658,790653630638;1,45887899723801;0,005043507;324,24930;142,75200;340,83580;140,39640;108,55860;168,34830;158,39730;37,63197;133,07590
-425;0,004694014;663,148681585594;3,1128293593188;0,005061835;324,59990;143,06950;341,33560;139,16540;108,26910;170,48970;156,95470;37,54128;133,40830
-420;0,006010732;666,562234522361;4,00652715323635;0,005098522;323,81790;143,03380;340,99890;140,80560;108,59200;169,51020;157,09270;38,05333;135,07100
-415;0,004779515;668,723120829714;3,19617248258888;0,00511685;323,70700;144,16210;340,82320;139,99040;108,89880;169,51370;156,73950;38,44619;135,07900
-410;0,002855739;669,481039355876;1,9118631817653;0,005135208;324,57250;144,66050;340,49220;138,89350;108,53400;169,83220;156,89140;38,39881;135,24570
-405;0,0005985082;668,831509662286;0,400301139549466;0,005135208;324,23720;144,84190;338,81590;139,71400;108,57520;170,49890;156,20330;38,55553;136,73510
-400;0,00004275058;666,899264532871;0,0285103339289222;0,005135208;324,65090;145,15030;340,98810;139,43820;108,15850;171,15080;156,16600;38,07847;137,06810
-395;-0,0007267599;663,913660518289;-0,482505843149842;0,005135208;324,13350;145,49880;341,82100;138,76530;108,41440;170,98850;155,45010;37,60519;137,40120
