timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,4094679;582,202183900048;-238,393130810741;0,06118226;240,51870;558,17710;77,55379;130,80630;38,87972;280,48670;143,62940;116,05200;271,23580
-495;-0,4117636;636,884627075061;-262,245917501512;0,05914652;240,50790;558,21430;79,37579;130,80210;38,91881;283,15200;143,60560;116,10160;273,22770
-490;-0,4019695;667,736624570044;-268,409727682513;0,05711079;240,49910;558,25190;80,70309;130,78830;38,97392;281,82360;143,58120;116,16100;273,21630
-485;-0,3878461;683,30937216978;-265,018873492404;0,05518514;240,49370;558,28610;80,37209;130,76540;39,04312;279,65810;143,55760;116,22810;271,40860
-480;-0,3747687;689,742220102535;-258,493797228679;0,05329609;240,49250;558,31300;81,19508;130,73480;39,12398;282,98740;143,53620;116,30030;273,73090
-475;-0,3647138;690,798666621493;-251,943781963012;0,05148041;240,49590;558,32920;82,02529;130,69790;39,21378;290,80710;143,51870;116,37560;279,05170
-470;-0,3611313;689,257092089168;-248,912286075891;0,04968309;240,50430;558,33170;84,18999;130,65660;39,30961;295,46170;143,50650;116,45180;280,86590
-465;-0,3592417;686,569513614485;-246,644398269946;0,04786742;240,51710;558,31920;84,53358;130,61250;39,40850;296,13060;143,50040;116,52750;281,33610
-460;-0,3594298;683,584816098697;-245,70075768188;0,04608852;240,53350;558,29120;82,03669;130,56710;39,50754;294,45970;143,50120;116,60110;277,00790
-455;-0,3541287;680,604214040701;-241,021511278332;0,04430944;240,55230;558,24900;79,37399;130,52170;39,60393;294,79090;143,50880;116,67180;273,53580
-450;-0,3428682;677,670975819652;-232,351848663334;0,04258549;240,57160;558,19570;80,05158;130,47730;39,69510;293,62500;143,52260;116,73870;273,86170
-445;-0,3331125;674,691871625163;-224,748323412215;0,04093486;240,58970;558,13550;82,73138;130,43450;39,77866;295,62920;143,54140;116,80100;275,68600
-440;-0,3197145;671,493960252359;-214,686356179312;0,03933936;240,60440;558,07390;83,06989;130,39380;39,85251;296,45390;143,56360;116,85810;276,18010
-435;-0,3104034;667,955288730318;-207,335606233005;0,03776211;240,61400;558,01720;83,07169;130,35550;39,91479;296,28930;143,58700;116,90890;274,20440
-430;-0,3034351;664,00443999481;-201,482241786301;0,03627652;240,61690;557,97160;80,56848;130,31970;39,96390;294,29300;143,60930;116,95240;270,22260
-425;-0,2968857;659,655234987369;-195,842206843596;0,03477263;240,61220;557,94290;80,91119;130,28620;39,99851;292,62880;143,62760;116,98710;267,54680
-420;-0,293782;655,007847496327;-192,4295245154;0,03330541;240,59950;557,93600;82,43039;130,25500;40,01758;292,44890;143,63940;117,01140;261,24440
-415;-0,2924653;650,238934316374;-190,172323094827;0,03185666;240,57930;557,95360;85,11409;130,22540;40,02041;295,27590;143,64190;117,02340;256,24540
-410;-0,2860527;645,585022853024;-184,671339832106;0,03040779;240,55310;557,99650;86,10499;130,19700;40,00670;295,11220;143,63280;117,02140;254,76050
-405;-0,280307;641,318327185789;-179,76602777949;0,02901393;240,52280;558,06280;85,62138;130,16870;39,97666;290,29140;143,60980;117,00390;251,10950
-400;-0,272116;637,724098738307;-173,534932847187;0,02765679;240,49110;558,14810;83,45759;130,13970;39,93105;282,46970;143,57180;116,96990;249,77660
-395;-0,2663532;635,075594667568;-169,154431496337;0,02631795;240,46110;558,24550;82,79679;130,10860;39,87136;278,31250;143,51800;116,91940;248,79570
-390;-0,2661908;633,611980995674;-168,661664842281;0,02499741;240,43620;558,34630;82,29039;130,07410;39,79984;273,32800;143,44870;116,85310;249,31330
-385;-0,266225;633,518792429322;-168,658528244609;0,02365863;240,41940;558,44040;83,12778;130,03490;39,71955;268,33800;143,36530;116,77320;249,82090
