timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,0183913;399,359146990719;-7,34473449850713;0,01126075;184,23400;154,99600;65,58942;176,22240;124,70920;97,62577;189,58060;23,34533;186,03780
-495;-0,02193105;409,659420120998;-8,98426078873598;0,01115072;184,64640;154,99960;63,93652;176,19770;124,66360;97,46046;189,48740;23,33484;188,69990
-490;-0,02172157;416,042280971731;-9,03709203697272;0,01104069;185,09180;155,00100;63,93831;176,16170;124,60990;93,32837;189,38890;23,31960;189,20430
-485;-0,01941304;419,805235710191;-8,14969590232849;0,01094902;185,52800;154,99990;62,78401;176,11300;124,55130;94,47837;189,28720;23,30154;191,53220
-480;-0,01637347;421,914877506806;-6,90821226104874;0,01085722;185,90920;154,99600;63,96441;176,05060;124,49190;93,28548;189,18370;23,28325;190,53300
-475;-0,01348353;422,849112892193;-5,70150051558509;0,01080227;186,19060;154,98960;62,31091;175,97380;124,43600;92,46597;189,07940;23,26781;190,03610
-470;-0,01274822;423,111690288831;-5,3939226648621;0,01072896;186,33300;154,98090;61,31581;175,88290;124,38840;91,29687;188,97480;23,25860;192,52740
-465;-0,01250027;422,939051875745;-5,2868527136493;0,01067388;186,30730;154,97070;61,14011;175,77880;124,35350;90,96236;188,86980;23,25890;190,19930
-460;-0,01351773;422,503272402607;-5,71128712784693;0,01060057;186,09860;154,95970;61,48041;175,66290;124,33540;90,12466;188,76380;23,27168;190,53870
-455;-0,01130325;421,880661463515;-4,76862438889107;0,01054561;185,70900;154,94900;57,81152;175,53750;124,33710;89,46886;188,65620;23,29926;188,70270
-450;-0,01070475;421,120571649358;-4,50798878727329;0,01049054;185,15940;154,93970;59,64431;175,40560;124,36060;89,81107;188,54620;23,34306;189,20100
-445;-0,008618518;420,243608056818;-3,62187692536209;0,01045382;184,48910;154,93300;57,30331;175,27040;124,40660;91,13017;188,43310;23,40343;189,36670
-440;-0,009165725;419,244089122768;-3,84267611248342;0,01039886;183,75370;154,92960;57,80761;175,13540;124,47410;91,46718;188,31670;23,47960;189,69940
-435;-0,009174275;418,125869357412;-3,83600181121822;0,01036215;183,02130;154,93040;57,30721;175,00410;124,56090;90,32138;188,19710;23,56966;189,36780
-430;-0,009721483;416,890651831115;-4,05279527795322;0,01030707;182,36670;154,93570;56,45391;174,87950;124,66360;91,97377;188,07510;23,67072;189,53780
-425;-0,007635254;415,548086080604;-3,17281535823999;0,01027048;181,86450;154,94560;57,29282;174,76440;124,77760;91,96347;187,95220;23,77914;188,36970
-420;-0,007036746;414,117081797811;-2,91403683296346;0,01023376;181,58200;154,95940;55,95982;174,66050;124,89790;91,13297;187,83010;23,89087;189,03780
-415;-0,00507877;412,624664061634;-2,09562561211475;0,0102154;181,57120;154,97640;56,64371;174,56900;125,01920;90,79498;187,71100;24,00177;189,19950
-410;-0,005155721;411,105267910843;-2,11954388575371;0,0101788;181,86240;154,99530;56,97171;174,48970;125,13660;89,31377;187,59730;24,10802;187,70850
-405;-0,005549026;409,59738001467;-2,27286650245081;0,01016033;182,45860;155,01440;58,80631;174,42160;125,24580;89,97858;187,49110;24,20644;187,70560
-400;-0,006651991;408,142052938804;-2,71495729577233;0,01012373;183,33300;155,03200;56,97411;174,36290;125,34340;88,80016;187,39440;24,29480;187,37000
-395;-0,007079497;406,77970257593;-2,87979564731534;0,01008713;184,42810;155,04620;61,31131;174,31090;125,42750;88,31017;187,30830;24,37194;187,53720
-390;-0,007464252;405,547751092414;-3,02711072063458;0,0100503;185,65890;155,05540;59,97951;174,26230;125,49710;88,14977;187,23350;24,43787;188,03670
-385;-0,007250499;404,478053142858;-2,93266784774326;0,01001358;186,91780;155,05820;59,80501;174,21370;125,55270;87,46367;187,16960;24,49367;186,36830
-380;-0,00806276;403,595263692197;-3,25409180016732;0,009976983;188,08350;155,05350;60,46911;174,16150;125,59540;86,49347;187,11540;24,54128;185,70680
-375;-0,009849735;402,915392287411;-3,96860958101446;0,009921908;189,03140;155,04080;59,13792;174,10270;125,62740;86,99067;187,06910;24,58322;185,86830
-370;-0,01228652;402,445063968357;-4,94464840594354;0,009866834;189,64470;155,02050;62,14061;174,03460;125,65110;87,81617;187,02790;24,62225;186,87040
-365;-0,01347498;402,18134905315;-5,41938734969747;0,009793639;189,82690;154,99330;60,31261;173,95560;125,66890;89,47826;186,98880;24,66099;187,86470
-360;-0,01501401;402,112168560634;-6,03731434719924;0,009720087;189,51270;154,96070;59,46981;173,86470;125,68290;88,48537;186,94830;24,70156;186,69890
-355;-0,01595452;402,217233824039;-6,41718226824102;0,009646893;188,67680;154,92470;58,97781;173,76210;125,69480;88,15057;186,90320;24,74533;184,54140
-350;-0,01564671;402,469451319036;-6,2973244914414;0,009555101;187,34000;154,88770;58,81531;173,64910;125,70550;88,64366;186,85060;24,79274;184,87110
-345;-0,01680953;402,836706956583;-6,77149572923271;0,009481788;185,57110;154,85240;59,47491;173,52760;125,71530;88,13687;186,78810;24,84316;183,20390
-340;-0,01872476;403,283928181904;-7,55139310863034;0,009390116;183,48490;154,82140;57,80672;173,40050;125,72350;85,65997;186,71430;24,89501;181,87770
-335;-0,02008422;402,473645026567;-8,08337079049621;0,009279966;181,23550;154,79730;56,14841;173,27080;125,72920;83,32558;186,62890;24,94584;182,20440
