timestamp;Barbell velocity;Barbell force;Barbell power;Barbell position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,3197687;695,456718178234;-222,385260103428;0,06558377;282,54650;150,76460;27,82077;136,75720;124,21590;339,28890;122,78350;33,50531;281,36260
-495;-0,3166735;694,132395000895;-219,813341352634;0,06398821;282,54650;150,76460;26,15977;136,74390;124,18110;335,12260;122,81400;33,47528;283,15570
-490;-0,3180501;694,835289078554;-220,992417976973;0,06241101;282,54650;150,76460;27,14857;136,72240;124,14900;333,28310;122,84150;33,44761;283,64940
-485;-0,319877;695,962966193479;-222,622514661511;0,06081539;282,54630;150,76460;26,48507;136,69240;124,12170;332,61410;122,86400;33,42448;282,82590
-480;-0,3197487;696,8437391638;-222,814883921002;0,05920148;282,54610;150,76450;27,15638;136,65360;124,10120;331,94600;122,87950;33,40793;279,21240
-475;-0,317158;696,872005486649;-221,018547468294;0,05762422;282,54590;150,76450;25,82067;136,60660;124,08970;332,45120;122,88620;33,39963;274,45560
-470;-0,3122075;696,296505809569;-217,388993418137;0,05606532;282,54570;150,76440;25,83178;136,55190;124,08870;333,95560;122,88270;33,40070;268,40680
-465;-0,3071287;695,257203761907;-213,53346395116;0,05452478;282,54540;150,76440;25,82787;136,49120;124,09930;335,63020;122,86820;33,41153;262,65940
-460;-0,3081548;694,116501914335;-213,895296864296;0,05298418;282,54520;150,76430;25,34037;136,42640;124,12170;342,30390;122,84280;33,43169;260,22200
-455;-0,3109763;693,164656450521;-215,557768210114;0,05144364;282,54500;150,76430;25,35117;136,36000;124,15530;346,47450;122,80710;33,45991;258,09720
-450;-0,3140287;692,674585192721;-217,519680493015;0,04984808;282,54490;150,76430;26,36967;136,29530;124,19860;350,64340;122,76290;33,49415;257,12110
-445;-0,3191245;692,84897876717;-221,10511373628;0,04827088;282,54490;150,76430;25,86808;136,23550;124,24900;352,98320;122,71250;33,53176;254,66450
-440;-0,3203985;693,758659670756;-222,279243597358;0,04667521;282,54500;150,76430;26,36757;136,18420;124,30320;357,81030;122,65880;33,56973;252,69850
-435;-0,3166707;695,413067157415;-220,21691979774;0,04506135;282,54520;150,76430;27,71828;136,14470;124,35750;359,64100;122,60540;33,60496;253,67670
-430;-0,3132848;697,726589120239;-218,587148144046;0,04352075;282,54550;150,76440;28,54248;136,11990;124,40780;362,47390;122,55550;33,63460;256,63580
-425;-0,3080693;700,553690599394;-215,819046374363;0,04198021;282,54590;150,76450;27,71107;136,11210;124,45060;365,47680;122,51250;33,65633;261,56740
-420;-0,3054187;703,708979379716;-214,925890592402;0,04043961;282,54630;150,76450;31,38477;136,12280;124,48260;366,80640;122,47900;33,66862;266,32400
-415;-0,3063678;706,989841091306;-216,598912970316;0,03891742;282,54670;150,76460;32,37448;136,15240;124,50180;366,30370;122,45700;33,67088;266,64050
-410;-0,3043158;710,200050935853;-216,125070819706;0,03739518;282,54710;150,76470;33,87477;136,20010;124,50730;365,96690;122,44740;33,66352;269,59510
-405;-0,3031187;713,16835621974;-216,174698597078;0,035873;282,54740;150,76480;33,37318;136,26410;124,49970;365,80780;122,45030;33,64790;270,42870
